# ;HEARTS OF IRON! Doomsday;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the English original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the colour of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;Note that the colour change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a colour change, put the code in front of each of them to be on the safe side. If only one word should have a colour change, make sure to reset the colour after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the English original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#########################################;;;;;;;;;;;X
######### GENERAL TEXT STRINGS #########;;;;;;;;;;;X
#########################################;;;;;;;;;;;X
##;;;;;;;;;;;X
TRAIT_DSRFOX;Desert Fox;Renard de désert;Volpe del Deserto;Zorro del desierto;Wüstenfuchs;Pustynny list;;;;;X
TRAIT_JUNGLE;Jungle Rat;Rat de jungle;Topo di Giungla;Rata de la jungla;Dschungelratte;Szczur d¿ungli;;;;;X
TRAIT_URBAN;Urban Warfare Specialist;Spécialiste de Guerre urbaine;Specialista di Guerra Urbana;Combatiente urbano;Stadtkampfspezialist;Spec. w wal. ter. zurb.;;;;;X
TRAIT_FOREST;Ranger;Spécialiste forestier;Esploratore;Comando;Waldjäger;Myœliwy ;;;;;X
TRAIT_MOUNTAIN;Mountaineer;Combattant de montagnes;Specialista di Montagna;Montañero;Gebirgsjäger;Spec. w wal. w gór.;;;;;X
TRAIT_HILLS;Hills Fighter;Combattant de collines;Specialista di Collina;Especialista en colinas;Hügelkämpfer;Spec. w wal. na wy¿.;;;;;X
TRAIT_COUNTER;Counter Attacker;Spécialiste de contre assaut;Specialista del Contrattacco;Experto en contraataques;Gegenangriffsspezialist;Mistrz kontrataku;;;;;X
TRAIT_ASSAULT;Assaulter;Spécialiste d'assaut;Specialista degli Assalti;Experto en asaltos;Erstürmer;Mistrz szturmowania;;;;;X
TRAIT_ENCIRCL;Encircler;Entoureur;Specialista degli Accerchiamenti;Experto en maniobras envolventes;Umzingler;Mistrz okr¹¿ania;;;;;X
TRAIT_AMBUSH;Ambusher;Embuscadeur;Specialista delle Imboscate;Emboscador;Hinterhaltspezialist;Mistrz zasadzek;;;;;X
TRAIT_DELAY;Disciplined;Discipliné;Disciplinato;Disciplinado;Verzögerer;Mistrz dyscypliny;;;;;X
TRAIT_TATICAL;Elastic Defence Specialist;Spécialiste de la défense élastique;Esperto di difesa elastica;Especialista en defensa elástica;Rückzugsspezialist;Spec. w elastycznej obronie.;;;;;x
TRAIT_BREAK;Blitzer;Blitzeur;Specialista delle Incursioni;Guerrillero;Blitzkrieger;Mistrz wojny b³ysk.;;;;;X
#;;;;;;;;;;;x
DIP_BAN_FROM_ALLIANCE;Ban from alliance;Exclure de l'alliance;Escludi dall'allenza;Expulsar de alianza;Aus der Allianz verbannen;Wyklucz z sojuszu ;;;;;X
DIPROL_BA_0;We are not the leaders of any military alliance and thus cannot ban anyone;Seul le chef de d'une alliance militaire peut exclure une nation de celle.;Non siamo a capo di nessuna alleanza militare e quindi non possiamo escludere nessuna nazione.;No somos los líderes de ninguna alianza militar, por lo que no podemos expulsar a nadie.;Wir sind nicht der Anführer einer Allianz und können daher niemanden ausschließen.;Nie jesteœmy przywódcami ¿adnego sojuszu militarnego, wiêc nie mo¿emy nikogo wykluczyæ  ;;;;;X
DIPROL_BA_1;%s can not be banned from our alliance.;%s ne peut pas être exclut de notre alliance.;%s non puo' essere esclusa dalla nostra alleanza.;No podemos expulsar a %s de la alianza.;%s kann nicht aus unserer Allianz verbannt werden.;Nie mo¿na wykluczyæ z sojuszu: %s;;;;;X
DIPROL_BA_2;This will ban %s from our alliance.;Cela va exclure %s de notre alliance.;Questo portera' all'esclusione di %s dalla nostra allenza.;Con esto expulsaremos a %s de la alianza.;Dies wird %s aus unserer Allianz verbannen.;Spowoduje to wykluczenie z naszego sojuszu: %s  ;;;;;X
BAN_FROM_ALLIANCE_TITLE;Ban %s from alliance ?;Exclure %s de l'alliance;Escludi %s dall'alleanza?;¿Expulsamos a %s de la alianza?;%s aus der Allianz verbannen?;Wykluczyæ z naszego sojuszu: %s ?;;;;;X
SHARE_UNITS;Divisions;Divisions;Divisioni;Divisiones;Divisionen;Dywizje;;;;;X
#;;;;;;;;;;;X
LEADTR_SETUP;When one of your leaders has gained a new trait;quand un de tes leaders a gagné un trait de combat.;Quando una nostra unita' aerea ha terminato la missione assegnatale.;cuándo uno de sus líderes ha ganado un nuevo rasgo;Wenn einer Ihrer Kommandeure eine neue Eigenschaft errang;mie? zyskiwa? Nowa zdolnoœæ dowódcy ;;;;;X
