Quote;Author;FR;FR;ITA?;ITA?;SPA?;SPA?;GER;GER;POL?;POL?
'In one word: we do not want to place anyone into the shadow, but we also claim our place in the sun.';German Foreign Minister Bernhard von BÃ¼low, 1897;'In one word: we do not want to place anyone into the shadow, but we also claim our place in the sun.';German Foreign Minister Bernhard von BÃ¼low, 1897;'In one word: we do not want to place anyone into the shadow, but we also claim our place in the sun.';German Foreign Minister Bernhard von BÃ¼low, 1897;'In one word: we do not want to place anyone into the shadow, but we also claim our place in the sun.';German Foreign Minister Bernhard von BÃ¼low, 1897;'In one word: we do not want to place anyone into the shadow, but we also claim our place in the sun.';German Foreign Minister Bernhard von BÃ¼low, 1897;'In one word: we do not want to place anyone into the shadow, but we also claim our place in the sun.';German Foreign Minister Bernhard von BÃ¼low, 1897
'Despite the fact that we have no such fleet as we should have, we conquered for ourselves a place in the sun. It will be my task to see; that this place in the sun shall remain our undisputed possession' - Kaiser Wilhelm II;'Despite the fact that we have no such fleet as we should have, we conquered for ourselves a place in the sun. It will be my task to see; that this place in the sun shall remain our undisputed possession' - Kaiser Wilhelm II;'Despite the fact that we have no such fleet as we should have, we conquered for ourselves a place in the sun. It will be my task to see; that this place in the sun shall remain our undisputed possession' - Kaiser Wilhelm II;'Despite the fact that we have no such fleet as we should have, we conquered for ourselves a place in the sun. It will be my task to see; that this place in the sun shall remain our undisputed possession' - Kaiser Wilhelm II;'Despite the fact that we have no such fleet as we should have, we conquered for ourselves a place in the sun. It will be my task to see; that this place in the sun shall remain our undisputed possession' - Kaiser Wilhelm II;'Despite the fact that we have no such fleet as we should have, we conquered for ourselves a place in the sun. It will be my task to see; that this place in the sun shall remain our undisputed possession' - Kaiser Wilhelm II
'My Share Our Wealth program is the only defense this country's got against Syndicalism.';Huey Long;'My Share Our Wealth program is the only defense this country's got against Syndicalism.';Huey Long;'My Share Our Wealth program is the only defense this country's got against Syndicalism.';Huey Long;'My Share Our Wealth program is the only defense this country's got against Syndicalism.';Huey Long;'My Share Our Wealth program is the only defense this country's got against Syndicalism.';Huey Long;'My Share Our Wealth program is the only defense this country's got against Syndicalism.';Huey Long
'We, who are Socialists, must hope that out of this horror of bloodshed and dire destruction will come far-reaching social changes;and a long step forward towards our goal of Peace among Men.' - Jack Reed, 1914;'We, who are Socialists, must hope that out of this horror of bloodshed and dire destruction will come far-reaching social changes;and a long step forward towards our goal of Peace among Men.' - Jack Reed, 1914;'We, who are Socialists, must hope that out of this horror of bloodshed and dire destruction will come far-reaching social changes;and a long step forward towards our goal of Peace among Men.' - Jack Reed, 1914;'We, who are Socialists, must hope that out of this horror of bloodshed and dire destruction will come far-reaching social changes;and a long step forward towards our goal of Peace among Men.' - Jack Reed, 1914;'We, who are Socialists, must hope that out of this horror of bloodshed and dire destruction will come far-reaching social changes;and a long step forward towards our goal of Peace among Men.' - Jack Reed, 1914;'We, who are Socialists, must hope that out of this horror of bloodshed and dire destruction will come far-reaching social changes;and a long step forward towards our goal of Peace among Men.' - Jack Reed, 1914
'Pax Christi in regno Christi' (the peace of Christ in the reign of Christ);Pius XI;'Pax Christi in regno Christi' (the peace of Christ in the reign of Christ);Pius XI;'Pax Christi in regno Christi' (the peace of Christ in the reign of Christ);Pius XI;'Pax Christi in regno Christi' (the peace of Christ in the reign of Christ);Pius XI;'Pax Christi in regno Christi' (the peace of Christ in the reign of Christ);Pius XI;'Pax Christi in regno Christi' (the peace of Christ in the reign of Christ);Pius XI
'Our aim is the creation in our country of a society of free and equal man, where no man will ever;exploit another man.' - Palmiro Togliatti;'Our aim is the creation in our country of a society of free and equal man, where no man will ever;exploit another man.' - Palmiro Togliatti;'Our aim is the creation in our country of a society of free and equal man, where no man will ever;exploit another man.' - Palmiro Togliatti;'Our aim is the creation in our country of a society of free and equal man, where no man will ever;exploit another man.' - Palmiro Togliatti;'Our aim is the creation in our country of a society of free and equal man, where no man will ever;exploit another man.' - Palmiro Togliatti;'Our aim is the creation in our country of a society of free and equal man, where no man will ever;exploit another man.' - Palmiro Togliatti
'Together in Britain we have lit a flame that the ages shall not extinguish.';Oswald Mosley;'Together in Britain we have lit a flame that the ages shall not extinguish.';Oswald Mosley;'Together in Britain we have lit a flame that the ages shall not extinguish.';Oswald Mosley;'Together in Britain we have lit a flame that the ages shall not extinguish.';Oswald Mosley;'Together in Britain we have lit a flame that the ages shall not extinguish.';Oswald Mosley;'Together in Britain we have lit a flame that the ages shall not extinguish.';Oswald Mosley
'I am not, and never have been, a man of the right. My position was on the left and is now in the centre of politics.';Oswald Mosley;'I am not, and never have been, a man of the right. My position was on the left and is now in the centre of politics.';Oswald Mosley;'I am not, and never have been, a man of the right. My position was on the left and is now in the centre of politics.';Oswald Mosley;'I am not, and never have been, a man of the right. My position was on the left and is now in the centre of politics.';Oswald Mosley;'I am not, and never have been, a man of the right. My position was on the left and is now in the centre of politics.';Oswald Mosley;'I am not, and never have been, a man of the right. My position was on the left and is now in the centre of politics.';Oswald Mosley
'To prevent a catastrophe the Tsar himself must be removed, by force if there is no other way.';Alexandr Kerensky, 1917;'To prevent a catastrophe the Tsar himself must be removed, by force if there is no other way.';Alexandr Kerensky, 1917;'To prevent a catastrophe the Tsar himself must be removed, by force if there is no other way.';Alexandr Kerensky, 1917;'To prevent a catastrophe the Tsar himself must be removed, by force if there is no other way.';Alexandr Kerensky, 1917;'To prevent a catastrophe the Tsar himself must be removed, by force if there is no other way.';Alexandr Kerensky, 1917;'To prevent a catastrophe the Tsar himself must be removed, by force if there is no other way.';Alexandr Kerensky, 1917
'The policy of the Bolsheviks is demagogic and criminal, in their exploitation of the popular discontent.';Alexander Kerensky, 1917;'The policy of the Bolsheviks is demagogic and criminal, in their exploitation of the popular discontent.';Alexander Kerensky, 1917;'The policy of the Bolsheviks is demagogic and criminal, in their exploitation of the popular discontent.';Alexander Kerensky, 1917;'The policy of the Bolsheviks is demagogic and criminal, in their exploitation of the popular discontent.';Alexander Kerensky, 1917;'The policy of the Bolsheviks is demagogic and criminal, in their exploitation of the popular discontent.';Alexander Kerensky, 1917;'The policy of the Bolsheviks is demagogic and criminal, in their exploitation of the popular discontent.';Alexander Kerensky, 1917
'Without the Empire we should be tossed like a cork in the cross current of world politics. It is at once our sword and our shield.';Billy Hughes;'Without the Empire we should be tossed like a cork in the cross current of world politics. It is at once our sword and our shield.';Billy Hughes;'Without the Empire we should be tossed like a cork in the cross current of world politics. It is at once our sword and our shield.';Billy Hughes;'Without the Empire we should be tossed like a cork in the cross current of world politics. It is at once our sword and our shield.';Billy Hughes;'Without the Empire we should be tossed like a cork in the cross current of world politics. It is at once our sword and our shield.';Billy Hughes;'Without the Empire we should be tossed like a cork in the cross current of world politics. It is at once our sword and our shield.';Billy Hughes
'Conscription if necessary, but not necessarily conscription.';William Lyon Mackenzie King;'Conscription if necessary, but not necessarily conscription.';William Lyon Mackenzie King;'Conscription if necessary, but not necessarily conscription.';William Lyon Mackenzie King;'Conscription if necessary, but not necessarily conscription.';William Lyon Mackenzie King;'Conscription if necessary, but not necessarily conscription.';William Lyon Mackenzie King;'Conscription if necessary, but not necessarily conscription.';William Lyon Mackenzie King
'I look upon him as the greatest criminal known for having plunged the world into war.';George V of United Kingdom about his cousin Kaiser Wilhelm II of Germany;'I look upon him as the greatest criminal known for having plunged the world into war.';George V of United Kingdom about his cousin Kaiser Wilhelm II of Germany;'I look upon him as the greatest criminal known for having plunged the world into war.';George V of United Kingdom about his cousin Kaiser Wilhelm II of Germany;'I look upon him as the greatest criminal known for having plunged the world into war.';George V of United Kingdom about his cousin Kaiser Wilhelm II of Germany;'I look upon him as the greatest criminal known for having plunged the world into war.';George V of United Kingdom about his cousin Kaiser Wilhelm II of Germany;'I look upon him as the greatest criminal known for having plunged the world into war.';George V of United Kingdom about his cousin Kaiser Wilhelm II of Germany
'After I am dead, the boy will ruin himself in twelve months.';attributed to George V of United Kingdom about his son Edward, Prince of Wales;'After I am dead, the boy will ruin himself in twelve months.';attributed to George V of United Kingdom about his son Edward, Prince of Wales;'After I am dead, the boy will ruin himself in twelve months.';attributed to George V of United Kingdom about his son Edward, Prince of Wales;'After I am dead, the boy will ruin himself in twelve months.';attributed to George V of United Kingdom about his son Edward, Prince of Wales;'After I am dead, the boy will ruin himself in twelve months.';attributed to George V of United Kingdom about his son Edward, Prince of Wales;'After I am dead, the boy will ruin himself in twelve months.';attributed to George V of United Kingdom about his son Edward, Prince of Wales
'I would like to see the word nationalization banned from the socialist vocabulary.';Philip Snowden;'I would like to see the word nationalization banned from the socialist vocabulary.';Philip Snowden;'I would like to see the word nationalization banned from the socialist vocabulary.';Philip Snowden;'I would like to see the word nationalization banned from the socialist vocabulary.';Philip Snowden;'I would like to see the word nationalization banned from the socialist vocabulary.';Philip Snowden;'I would like to see the word nationalization banned from the socialist vocabulary.';Philip Snowden
'Ah, goddamit, it’s time to put an end to this, We've moaned and suffered long enough, No half-way war, No more cowardly pity, Death to the bourgeoisie!';Sébastien Faure, La Ravachole;'Ah, goddamit, it’s time to put an end to this, We've moaned and suffered long enough, No half-way war, No more cowardly pity, Death to the bourgeoisie!';Sébastien Faure, La Ravachole;'Ah, goddamit, it’s time to put an end to this, We've moaned and suffered long enough, No half-way war, No more cowardly pity, Death to the bourgeoisie!';Sébastien Faure, La Ravachole;'Ah, goddamit, it’s time to put an end to this, We've moaned and suffered long enough, No half-way war, No more cowardly pity, Death to the bourgeoisie!';Sébastien Faure, La Ravachole;'Ah, goddamit, it’s time to put an end to this, We've moaned and suffered long enough, No half-way war, No more cowardly pity, Death to the bourgeoisie!';Sébastien Faure, La Ravachole;'Ah, goddamit, it’s time to put an end to this, We've moaned and suffered long enough, No half-way war, No more cowardly pity, Death to the bourgeoisie!';Sébastien Faure, La Ravachole
'The old world is dying away, and the new world struggles to come forth: now is the time of monsters.';Antonio Gramsci;'The old world is dying away, and the new world struggles to come forth: now is the time of monsters.';Antonio Gramsci;'The old world is dying away, and the new world struggles to come forth: now is the time of monsters.';Antonio Gramsci;'The old world is dying away, and the new world struggles to come forth: now is the time of monsters.';Antonio Gramsci;'The old world is dying away, and the new world struggles to come forth: now is the time of monsters.';Antonio Gramsci;'The old world is dying away, and the new world struggles to come forth: now is the time of monsters.';Antonio Gramsci
