#;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost column while still having the string names/comments and the English original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the colour of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
ALLIANCE_ENTENTE1948;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;Euroasia;;;X
## Generic strings;;;;;;;;;;;X
##;;;;;;;;;;;X
ACTION_NAME_OK;OK;OK;Ok;Muy Bien;Ok;OK;;Îê;;;X
ACTION_NAME_GREAT;Great!;Super!;Ottimo!;¡Estupendo!;Großartig!;Wspaniale!;;Âåëèêîëåïíî !;;;X
ACTION_NAME_ACCEPT;Accept;Accepter;Accetta;Aceptar;Wir akzeptieren;ZgódŸ siê;;Ïðèíÿòü !;;;X
ACTION_NAME_REFUSE;Refuse;Refuser;Rifiuta;Rechazar;Wir weigern uns;Odmów;;Îòêàçàòüñÿ !;;;X
ACTION_NAME_DAMN;Damn!;Nom de dieu !;Dannazione!;¡Maldición!;Verdammt!;Do diab³a!;;Ïðîêëÿòüå!;;;X
ACTION_NAME_YES;Yes!;Oui !;Sì!;¡Sí!;Ja!;Tak!;;Äà!;;;X
ACTION_NAME_NO;No!;Non !;No!;¡No!;Nein!;Nie!;;Íåò!;;;X
ACTION_NAME_HURRAH;Hurrah!;Hourrah !;Urrà!;Hurrah!;Ausgezeichnet;Hurra!;;Óðà!;;;X
ACTION_NAME_OF_COURSE;Of course;Bien sûr;Certamente;Fuera los Yankees!;Natürlich;Oczywiœcie;;Êîíå÷íî !;;;X
ACTION_NAME_GOOD;Good!;Bien !;Bene!;¡Bien!;Gut!;Œwietnie!;;Õîðîøî !;;;X
ACTION_NAME_DECLINE;Decline;Refuser;Rifiuta;Rehusar;Wir lehnen ab;Odmów;;Îòêëîíèòü !;;;X
ACTION_NAME_EXCELLENT;Excellent!;Excellent !;Eccellente!;¡Excelente!;Ausgezeichnet!;Doskonale!;;Îòëè÷íî !;;;X
ACTION_NAME_PRELUDE;Prelude;Prélude;Preludio;Preludio;Auftakt;Preludium;;Íà÷àòü !;;;X
ACTION_NAME_NEVER;Never!;Jamais!;Mai!;¡Nunca!;Niemals!;Nigdy!;;Íèêîãäà !;;;X
ACTION_NAME_FIGHT;Fight!;Combattre!;Combatti!;¡Luchar!;Wir kämpfen;Walcz!;;Âîéíà !;;;X
ACTION_NAME_AGREE;Agree;Accepter;Accetta;Acceder;Einverstanden;Zgoda;;Ñîãëàñèòüñÿ !;;;X
##;;;;;;;;;;;X
#Minister personalities;;;;;;;;;;;X
##;;;;;;;;;;;X
NPERSONALITY_CLEMENCEAU;The Tiger;Le Tigre;La Tigre;El Tigre;Der Tiger;Tygrys;;Òèãð;;;X
DPERSONALITY_CLEMENCEAU;Georges Benjamin Clemenceau was a French statesman, physician, journalist who became Prime Minister of France. He is commonly nicknamed Le Tigre (The Tiger) for his determination as a wartime leader.;Georges Benjamin Clemenceau était un homme d'état français, physicien et journaliste qui est devenu premier ministre de la France. Il est communément appelé 'Le Tigre' pour sa détermination en temps que chef de guerre. ;Georges Benjamin Clemenceau fu uno statista francese, medico, giornalista che divenne Primo Ministro di Francia. Egli è comunemente soprannominato Le Tigre (La tigre) per la sua determinazione come leader in tempo di guerra.;Georges Benjamin Clemenceau fue un estadista. médico, periodista que se convirtió en Primer Ministro de Francia. Es comúnmente apodado Le Tigre (El Tigre) por su determinación como un líder en tiempos de guerra. ;Georges Benjamin Clemenceau war französischer Staatsmann, Physiker und Journalist, bevor er zum Premierminister ernannt wurde. Aufgrund seiner Entschlosseneheit als Regierungschef einer kriegführenden nation erhielt er den Beinamen 'der Tiger'.;Georges Benjamin Clemenceau by³ francuskim mê¿em stanu, fizykiem i dziennikarzem, wreszcie zaœ premierem rz¹du francuskiego. Znany by³ powszechnie jako Le Tigre (Tygrys) z uwagi na swoj¹ determinacjê w charakterze wodza czasu wojny.;;Æîðæ Áåíæàìåí Êëåìàíñî áûë ôðàíöóçñêèì ãîñóäàðñòâåííûì äåÿòåëåì, âðà÷îì, æóðíàëèñòîì, ñòàâøèì ïðåìüåð-ìèíèñòðîì Ôðàíöèè. Ó íåãî áûëî ïðîçâèùå Le Tigre (Òèãð), îïðåäåëÿþùåå åãî ÷åðòû âîåííîãî ëèäåðà.;;;X
NPERSONALITY_MAD_BARON;The Mad Baron;The Mad Baron;The Mad Baron;The Mad Baron;The Mad Baron;The Mad Baron;The Mad Baron;The Mad Baron;;;X
DPERSONALITY_MAD_BARON;Baron Khan Roman Friederich Nickolaus von Ungern-Sternberg, also known as Mad Baron or Bloody Baron, is the autocratic and ruthless ruler of Mongolia.;Baron Khan Roman Friederich Nickolaus von Ungern-Sternberg, also known as Mad Baron or Bloody Baron, is the autocratic and ruthless ruler of Mongolia.;Baron Khan Roman Friederich Nickolaus von Ungern-Sternberg, also known as Mad Baron or Bloody Baron, is the autocratic and ruthless ruler of Mongolia.;Baron Khan Roman Friederich Nickolaus von Ungern-Sternberg, also known as Mad Baron or Bloody Baron, is the autocratic and ruthless ruler of Mongolia.;Baron Khan Roman Friederich Nickolaus von Ungern-Sternberg, also known as Mad Baron or Bloody Baron, is the autocratic and ruthless ruler of Mongolia.;Baron Khan Roman Friederich Nickolaus von Ungern-Sternberg, also known as Mad Baron or Bloody Baron, is the autocratic and ruthless ruler of Mongolia.;Baron Khan Roman Friederich Nickolaus von Ungern-Sternberg, also known as Mad Baron or Bloody Baron, is the autocratic and ruthless ruler of Mongolia.;Baron Khan Roman Friederich Nickolaus von Ungern-Sternberg, also known as Mad Baron or Bloody Baron, is the autocratic and ruthless ruler of Mongolia.;;;X
NPERSONALITY_SOUTHERN_DEMAGOGUE;Southern Demagogue;Southern Demagogue;Southern Demagogue;Southern Demagogue;Southern Demagogue;Southern Demagogue;Southern Demagogue;Southern Demagogue;;;X
