country;main color;leader language;ArmyNationalitySprite;END;;;
AFG;White;ENG;MIN;;;;X
ALB;DarkBrown;ENG;ITA;;;;X
ALG;LightYellow;FRA;MIN;;;;X
ANG;LightGreen;POR;ENG;;;;X
ARA;Brown;TUR;ENG;;;;X
ARG;LightBlue;SPA;GER;;;;X
ARM;DarkBlue;SOV;MIN;;;;X
AST;Darkblue;AST;ENG;;;;X
AUS;White;AUS;GER;;;;X
AZB;Yellow;TUR;SOV;;;;X
BEL;Lightgray;BEL;GER;;;;X
BEN;LightBlue;ENG;ENG;;;;X
BHU;Darkgray;ENG;MIN;;;;X
BLR;LightBrown;SOV;GER;;;;X
BOL;Lightgray;SPA;USA;;;;X
BOS;DarkGreen;YUG;GER;;;;X
BRA;UserColor2;POR;USA;;;;X
BRU;LightRed;ENG;MIN;;;;X
BUL;LightBrown;BUL;GER;;;;X
BUR;DarkGreen;ENG;MIN;;;;X
CAL;Green;USA;USA;;;;X
CAM;Brown;FRA;GER;;;;X
CAN;DarkRed;ENG;ENG;;;;X
CGX;LightBrown;CHI;GER;;;;X
CHC;LightYellow;CHI;SOV;;;;X
CHI;Blue;CHI;CHI;;;;X
CHL;DarkGreen;SPA;USA;;;;X
CMB;Brown;ENG;MIN;;;;X
COL;DarkYellow;SPA;USA;;;;X
CON;Green;GER;GER;;;;X
COS;White;SPA;MIN;;;;X
CRO;Darkgray;YUG;GER;;;;X
CSA;Red;USA;USA;;;;X
CSX;DarkBlue;CHI;GER;;;;X
CUB;Lightgray;CUB;USA;;;;X
CXB;brown;CHI;MIN;;;;X
CYN;yellow;CHI;MIN;;;;X
CYP;Yellow;ENG;ENG;;;;X
CZE;Blue;ENG;GER;;;;X
DDR;LightGreen;GER;GER;;;;X
DEN;brown;DEN;MIN;;;;X
DFR;gray;GER;GER;;;;X
DOM;Darkgray;SPA;USA;;;;X
EAF;LightBlue;ENG;ENG;;;;X
ECU;Brown;SPA;ENG;;;;X
EGY;DarkYellow;TUR;ITA;;;;X
ENG;LightRed;ENG;ENG;;;;X
EQA;DarkBlue;FRA;MIN;;;;X
EST;White;EST;SOV;;;;X
ETH;Brown;ENG;GER;;;;X
EUS;LightOrange;SPA;GER;;;;X
FIN;Lightgray;FIN;GER;;;;X
FLA;Blue;BEL;MIN;;;;X
FRA;DarkBlue;FRA;FRA;;;;X
GAB;Darkgray;FRA;FRA;;;;X
GEO;LightYellow;ENG;SOV;;;;X
GER;gray;GER;GER;;;;X
GLD;Yellow;POL;GER;;;;X
GRE;LightBlue;ENG;GRE;;;;X
GUA;DarkRed;SPA;FRA;;;;X
GUI;Blue;FRA;MIN;;;;X
GUY;Brown;ENG;ENG;;;;X
HAI;LightBlue;ENG;USA;;;;X
HOL;LightYellow;HOL;MIN;;;;X
HON;LightGreen;SPA;MIN;;;;X
HUN;DarkYellow;HUN;GER;;;;X
ICL;Lightgray;ENG;GER;;;;X
IDC;LightBlue;ENG;FRA;;;;X
IND;Darkyellow;ENG;GER;;;;X
INO;Green;ENG;JAP;;;;X
IRE;LightGreen;IRE;MIN;;;;X
IRQ;Red;TUR;GER;;;;X
ISR;LightBrown;ENG;MIN;;;;X
ITA;Green;ITA;ITA;;;;X
JAP;Lightorange;JAP;JAP;;;;X
JOR;DarkGreen;ENG;MIN;;;;X
KAZ;LightBlue;CHI;MIN;;;;X
KOR;LightGreen;ENG;JAP;;;;X
KUR;DarkOrange;TUR;SOV;;;;X
KYG;Green;TUR;MIN;;;;X
LAO;DarkBrown;ENG;JAP;;;;X
LAT;DarkBrown;LAT;GER;;;;X
LBY;LightGreen;ENG;ITA;;;;X
LEB;Lightgray;ENG;MIN;;;;X
LIB;Lightgray;ENG;USA;;;;X
LIT;LightGreen;LIT;GER;;;;X
LUX;LightBrown;ENG;MIN;;;;X
MAD;DarkOrange;FRA;GER;;;;X
MAL;LightOrange;FRA;MIN;;;;X
