CATEGORY;VERYEASY;EASY;NORMAL;HARD;VERYHARD;BLANK;X
HUMAN;;;;;;;X
INDUSTRY;40;20;0;-20;-40;;X
RESOURCES;40;20;0;-20;-40;;X
MANPOWER;30;15;0;-15;-30;;X
RESEARCH;20;10;0;-10;-20;;X
ORGANISATION;30;15;0;-15;-30;;X
COMBAT;10;5;0;-5;-10;;X
MOVE_SPEED;10;5;0;-5;-10;;X
DISSENT;40;20;0;-20;-40;;X
DIPLOMACY;50;25;0;-25;-50;;X
INTELLIGENCE;10;5;0;-5;-10;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
AI;;;;;;;X
INDUSTRY;-20;-10;0;20;40;;X
RESOURCES;-20;-10;0;20;40;;X
MANPOWER;-20;-10;0;20;40;;X
RESEARCH;-20;-10;0;20;40;;X
ORGANISATION;-20;-10;0;20;40;;X
COMBAT;-20;-10;0;20;40;;X
MOVE_SPEED;-20;-10;0;20;40;;X
DISSENT;-10;0;20;40;80;;X
DIPLOMACY;-20;-10;0;20;40;;X
INTELLIGENCE;-20;-10;0;20;40;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
AXIS;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
ALLIES;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
COMINTERN;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
NEUTRAL;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
EOF;;;;;;;X
