Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adam;52500;CAN;1930;1930;1942;1990;2;6;513;2;0;5;0;L1001;1930;1946;1999;x
Alexander H.;52501;CAN;1930;1940;1942;1944;1;9;7;5;0;5;0;L1006;1930;1960;1999;x
Allfrey;52502;CAN;1941;1944;1990;1990;3;6;2;2;0;5;0;L1007;1941;1960;1999;x
Arkwright-Hore-Ruthven;52503;CAN;1942;1990;1990;1990;3;5;128;1;0;5;0;L1013;1942;1960;1999;x
Auchinleck;52504;CAN;1930;1930;1939;1942;0;8;7;5;0;5;0;L1014;1930;1960;1999;x
Baird of Stonehaven;52505;CAN;1930;1930;1930;1990;1;5;514;1;0;5;0;L1016;1930;1940;1999;x
Balerno of Currie;52506;CAN;1942;1990;1990;1990;3;4;0;1;0;5;0;L1017;1942;1945;1999;x
Balfour;52507;CAN;1930;1941;1990;1990;2;5;0;2;0;5;0;L1018;1930;1942;1999;x
Banks-MacDonald;52508;CAN;1939;1990;1990;1990;3;4;516;1;0;5;0;L1021;1939;1945;1999;x
Barker  M.G.H.;52509;CAN;1930;1940;1990;1990;2;4;528;2;0;5;0;L1023;1930;1941;1999;x
Bartholomew;52510;CAN;1930;1937;1990;1990;2;5;0;2;0;5;0;L1024;1930;1940;1999;x
Bastyan;52511;CAN;1942;1943;1990;1990;2;5;4;2;0;5;0;L1026;1942;1960;1999;x
Bernard;52512;CAN;1930;1939;1990;1990;2;4;544;1;0;5;0;L1034;1930;1941;1999;x
Blakiston-Houston;52513;CAN;1930;1990;1990;1990;3;5;576;1;0;5;0;L1039;1930;1941;1999;x
Bourne of Atherstone;52514;CAN;1943;1990;1990;1990;2;6;257;1;0;5;0;L1044;1943;1960;1999;x
Bradshaw;52515;CAN;1942;1990;1990;1990;3;5;0;1;0;5;0;L1046;1942;1946;1999;x
Broad;52516;CAN;1930;1940;1990;1990;2;5;640;2;0;5;0;L1049;1930;1942;1999;x
Brocas-Burrows;52517;CAN;1940;1942;1990;1990;2;5;4;2;0;5;0;L1050;1940;1946;1999;x
Brooke-Popham;52518;CAN;1930;1930;1930;1990;1;6;513;3;0;5;0;L1051;1930;1941;1999;x
Campbell of Achalader;52519;CAN;1941;1990;1990;1990;3;5;4;1;0;5;0;L1062;1941;1946;1999;x
Campbell of Airds;52520;CAN;1943;1990;1990;1990;3;6;0;1;0;5;0;L1063;1943;1945;1999;x
Carton de Wiart;52521;CAN;1930;1941;1990;1990;2;5;768;2;0;5;0;L1068;1930;1943;1999;x
Cassels  R.A.;52522;CAN;1930;1930;1930;1990;1;4;513;1;0;5;0;L1071;1930;1941;1999;x
Christie-Miller;52523;CAN;1930;1930;1990;1990;2;5;513;1;0;5;0;L1073;1930;1939;1999;x
Churchill;52524;CAN;1942;1990;1990;1990;3;6;1;1;0;5;0;L1075;1942;1960;1999;x
Clarke;52525;CAN;1942;1990;1990;1990;3;5;128;1;0;5;0;L1077;1942;1946;1999;x
Collett;52526;CAN;1930;1990;1990;1990;3;5;514;1;0;5;0;L1079;1930;1939;1999;x
Cox;52527;CAN;1943;1990;1990;1990;3;6;0;1;0;5;0;L1083;1943;1960;1999;x
Craven-Vicary-Brevett;52528;CAN;1930;1990;1990;1990;3;4;514;1;0;5;0;L1084;1930;1938;1999;x
Dalrymple-Fanshawe;52529;CAN;1939;1990;1990;1990;3;5;128;1;0;5;0;L1090;1939;1945;1999;x
de Burgh;52530;CAN;1930;1930;1939;1990;1;5;528;2;0;5;0;L1094;1930;1941;1999;x
de la Poer Beresford-Peirse;52531;CAN;1940;1942;1990;1990;2;6;5;2;0;5;0;L1095;1940;1947;1999;x
de la Poer Gough;52532;CAN;1930;1990;1990;1990;3;5;514;1;0;5;0;L1096;1930;1942;1999;x
de L'Isle;52533;CAN;1930;1930;1930;1990;1;5;513;1;0;5;0;L1097;1930;1939;1999;x
de Renzy-Channer;52534;CAN;1930;1990;1990;1990;3;4;768;1;0;5;0;L1098;1930;1943;1999;x
de Riemer-Morgan;52535;CAN;1943;1990;1990;1990;3;7;0;1;0;5;0;L1101;1943;1960;1999;x
Deverell;52536;CAN;1930;1930;1930;1937;0;5;514;2;0;5;0;L1103;1930;1939;1999;x
Dickinson;52537;CAN;1930;1990;1990;1990;3;5;544;1;0;5;0;L1104;1930;1944;1999;x
Dobbie;52538;CAN;1930;1939;1990;1990;2;5;545;2;0;5;0;L1106;1930;1942;1999;x
Drew;52539;CAN;1930;1990;1990;1990;3;4;576;1;0;5;0;L1111;1930;1945;1999;x
Fergusson;52540;CAN;1938;1990;1990;1990;3;5;1;1;0;5;0;L1118;1938;1943;1999;x
Fitzpatrick;52541;CAN;1939;1941;1946;1990;2;5;2;4;0;5;0;L1122;1939;1960;1999;x
Fortune;52542;CAN;1938;1990;1990;1990;3;5;0;1;0;5;0;L1124;1938;1940;1999;x
Franklyn;52543;CAN;1930;1938;1990;1990;2;5;2;2;0;5;0;L1127;1930;1945;1999;x
Giffard;52544;CAN;1940;1942;1943;1990;1;5;4;3;0;5;0;L1134;1940;1946;1999;x
Godley;52545;CAN;1930;1930;1930;1990;1;5;513;1;0;5;0;L1135;1930;1939;1999;x
Godwin-Austin;52546;CAN;1939;1945;1946;1990;3;6;1;3;0;5;0;L1136;1939;1950;1999;x
Gordon-Finlayson;52547;CAN;1930;1930;1939;1990;1;5;528;2;0;5;0;L1137;1930;1941;1999;x
Gough;52548;CAN;1930;1930;1930;1990;1;5;513;1;0;5;0;L1140;1930;1938;1999;x
Gowrie;52549;CAN;1930;1930;1930;1990;1;5;514;1;0;5;0;L1141;1930;1937;1999;x
Grant  C.J.C.;52550;CAN;1930;1930;1937;1990;1;5;513;2;0;5;0;L1144;1930;1940;1999;x
Harvey;52551;CAN;1930;1990;1990;1990;3;5;0;1;0;5;0;L1155;1930;1940;1999;x
Hayman-Joyce;52552;CAN;1941;1990;1990;1990;3;5;0;1;0;5;0;L1157;1941;1947;1999;x
Hilton-Green;52553;CAN;1930;1990;1990;1990;3;5;4;1;0;5;0;L1164;1930;1938;1999;x
Huxley-Waller;52554;CAN;1930;1990;1990;1990;3;5;544;1;0;5;0;L1173;1930;1940;1999;x
Ironside;52555;CAN;1930;1930;1930;1939;0;6;1;2;0;5;0;M1118;1930;1940;1999;x
Ismay;52556;CAN;1939;1942;1944;1990;2;8;2;3;0;5;0;L1176;1939;1960;1999;x
Kavanagh;52557;CAN;1930;1930;1990;1990;2;5;513;1;0;5;0;L1178;1930;1938;1999;x
Lawsom;52558;CAN;1930;1990;1990;1990;3;5;64;1;0;5;0;L1185;1930;1941;1999;x
Lawson of Burnham;52559;CAN;1940;1990;1990;1990;3;5;2;1;0;5;0;L1186;1940;1943;1999;x
Laycock;52560;CAN;1944;1990;1990;1990;3;8;256;2;0;5;0;L1187;1944;1960;1999;x
Loftus-Tottenham;52561;CAN;1943;1990;1990;1990;3;6;256;1;0;5;0;L1197;1943;1960;1999;x
Loyd;52562;CAN;1930;1940;1943;1990;2;6;6;3;0;5;0;L1200;1930;1960;1999;x
Lyttleton;52563;CAN;1938;1990;1990;1990;3;5;4;1;0;5;0;L1202;1938;1941;1999;x
Mackesy;52564;CAN;1930;1990;1990;1990;3;5;514;1;0;5;0;L1207;1930;1941;1999;x
Massey;52565;CAN;1930;1939;1990;1990;2;5;0;2;0;5;0;L1213;1930;1943;1999;x
Mendel-Taylor;52566;CAN;1937;1990;1990;1990;3;5;513;1;0;5;0;L1219;1937;1942;1999;x
Miller;52567;CAN;1930;1939;1990;1990;2;5;1;2;0;5;0;L1222;1930;1943;1999;x
Norrie;52568;CAN;1930;1939;1941;1990;1;6;128;2;0;5;0;L1223;1930;1944;1999;x
Montgomery-Massingberd;52569;CAN;1930;1930;1930;1930;0;5;514;1;0;5;0;L1225;1930;1938;1999;x
Morris-Colvin;52570;CAN;1930;1990;1990;1990;3;5;516;1;0;5;0;L1227;1930;1940;1999;x
Morrison of Dunrossil;52571;CAN;1939;1941;1990;1990;2;5;4;2;0;5;0;L1228;1939;1960;1999;x
Mosely-Mayne;52572;CAN;1939;1941;1943;1990;2;6;2;3;0;5;0;L1229;1939;1947;1999;x
Mountbatten;52573;CAN;1930;1942;1946;1990;2;6;2048;3;0;5;1;L1230;1930;1960;1999;x
Neame;52574;CAN;1930;1940;1990;1990;2;5;1;2;0;5;0;L1233;1930;1941;1999;x
Wingate;52575;CAN;1938;1943;1948;1990;2;7;272;3;0;5;0;L1239;1942;1960;1999;x
Palairet-Scobell;52576;CAN;1930;1990;1990;1990;3;5;515;1;0;3;0;L1243;1930;1939;1999;x
Robertson of Oakridge;52577;CAN;1940;1942;1944;1990;2;6;4;3;0;5;0;L1268;1940;1960;1999;x
Schreiber;52578;CAN;1938;1941;1990;1990;2;5;66;2;0;5;0;L1276;1938;1947;1999;x
Smyth;52579;CAN;1937;1990;1990;1990;3;5;513;1;0;5;0;L1282;1937;1941;1999;x
Brind;52580;CAN;1930;1930;1930;1990;1;6;576;1;0;5;0;L1285;1930;1937;1999;x
St.Clair-Ford;52581;CAN;1944;1990;1990;1990;3;5;4;1;0;5;0;L1286;1944;1960;1999;x
