Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ayub Khan;564000;PAK;1936;1947;1959;1990;1;5;1;2;0;5;0;L505005;1945;1960;1999;x
Joshi;564183;PAK;1930;1990;1990;1990;3;4;128;0;0;0;0;PRKJos;1945;1990;1999;x
Sajjan Singh;564179;PAK;1930;1930;1941;1949;;6;608;3;0;0;0;PAKSaj;1930;1950;1999;x
Barrow;564180;PAK;1930;1930;1990;1990;;3;516;2;0;0;0;PAKBar;1930;1943;1999;x
Hanut Singh;564182;PAK;1930;1941;1953;1990;1;7;5;4;0;0;0;PAKHan;1930;1990;1999;x
Mosley Mayne;564001;PAK;1930;1930;1990;1990;2;6;272;2;0;5;0;PAKMay;1930;1943;1999;x
Cochrane Wilson;564002;PAK;1930;1930;1990;1990;2;5;514;1;0;5;0;PAKCoc;1930;1945;1999;x
Clutterbuck;564004;PAK;1941;1990;1990;1990;3;4;0;0;0;5;0;L1078;1941;1960;1999;x
Hitay Khan;564005;PAK;1930;1939;1990;1990;2;3;16;1;0;5;0;L505046;1930;1960;1999;x
Janjuh Khan;564006;PAK;1941;1990;1990;1990;3;5;64;0;0;5;0;L564006;1941;1960;1999;x
Nawab Khanji;564007;PAK;1930;1990;1990;1990;3;3;8;0;0;5;0;L564007;1930;1960;1999;x
Nawab Manowar;564008;PAK;1930;1930;1990;1990;2;2;0;0;0;5;0;M564014;1930;1943;1999;x
Mohammad Khan V;564009;PAK;1930;1940;1942;1990;1;6;0;1;0;5;0;PAKSad;1930;1990;1999;x
Nawaz Khan;564010;PAK;1943;1947;1990;1990;3;4;16;0;0;5;0;L505065;1943;1990;1999;x
Mir Dast;564011;PAK;1930;1990;1990;1990;3;4;1;2;0;5;0;PAKDast;1930;1956;1999;x
Rakshak;564012;PAK;1940;1990;1990;1990;3;4;128;0;0;5;0;L564012;1940;1990;1999;x
Shareef Khan;564013;PAK;1941;1990;1990;1990;3;4;16;0;0;2;0;L505070;1941;1990;1999;x
Shriman VIII;564014;PAK;1930;1930;1930;1990;1;4;0;1;0;5;0;M564031;1930;1947;1999;x
Shuja ul-Mulk;564015;PAK;1930;1950;1990;1990;3;3;2;0;0;5;0;M564012;1930;1940;1999;x
Khudadad Khan;564016;PAK;1930;1990;1990;1990;3;4;1;0;0;5;0;PAKKha;1930;1945;1999;x
Yahya Khan;564017;PAK;1940;1944;1945;1990;1;5;128;3;0;5;0;L505086;1940;1990;1999;x
Noronha;564191;PAK;1930;1941;1947;1990;;5;1024;2;0;0;1;PAKNoh;1930;1990;1999;x
Karimullah;564018;PAK;1943;1945;1990;1990;2;4;4096;1;0;5;1;L564018;1943;1990;1999;x
McIlree Williamson;564019;PAK;1930;1941;1990;1990;2;4;2048;0;0;5;1;PAKMcl;1930;1990;1999;x
Rehman Khan;564020;PAK;1941;1944;1990;1990;2;3;0;1;0;5;1;L505113;1941;1990;1999;x
Talbot-Savignac-Hall;564021;PAK;1936;1945;1946;1990;1;6;1024;3;0;5;1;L1394;1936;1990;1999;x
