Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alexander;532000;U16;1930;1990;1990;1990;0;9;519;5;0;5;0;Alexander;1930;1990;1999;x
Auchinleck;532001;U16;1930;1990;1990;1990;0;8;7;5;0;5;0;Auchinleck;1930;1990;1999;x
Vereker;532002;U16;1930;1990;1990;1990;0;8;517;4;0;5;0;Vereker;1930;1990;1999;x
Montgomery;532003;U16;1930;1990;1990;1990;0;9;69;4;0;5;0;Montgomery;1930;1990;1999;x
Wavell;532004;U16;1930;1990;1990;1990;0;9;3;4;0;5;0;Wavell;1930;1990;1999;x
Wilson;532005;U16;1930;1990;1990;1990;0;7;1;4;0;5;0;Wilson;1930;1990;1999;x
Beresford-Peirse;532006;U16;1930;1990;1990;1990;1;6;0;2;0;5;0;Beresford-Peirse;1930;1990;1999;x
Browning;532007;U16;1930;1990;1990;1990;1;7;256;2;0;5;0;Browning;1930;1990;1999;x
Crocker;532008;U16;1930;1990;1990;1990;1;6;128;3;0;5;0;Crocker;1930;1990;1999;x
Dempsey;532009;U16;1930;1990;1990;1990;1;6;68;2;0;5;0;Dempsey;1930;1990;1999;x
Harding;532010;U16;1930;1990;1990;1990;1;8;6;3;0;5;0;Harding;1930;1990;1999;x
Jacomb;532011;U16;1930;1990;1990;1990;2;6;0;2;0;5;0;Jacomb;1930;1990;1999;x
Ismay;532012;U16;1930;1990;1990;1990;2;8;2;3;0;5;0;Ismay;1930;1990;1999;x
Mervyn;532013;U16;1930;1990;1990;1990;1;6;514;1;0;5;0;Mervyn;1930;1990;1999;x
Lathbury;532014;U16;1930;1990;1990;1990;3;6;256;1;0;5;0;Lathbury;1930;1990;1999;x
Leese;532015;U16;1930;1990;1990;1990;3;8;130;4;0;5;0;Leese;1930;1990;1999;x
Morgan;532016;U16;1930;1990;1990;1990;1;6;0;3;0;5;0;Morgan;1930;1990;1999;x
Murray-Lyon;532017;U16;1930;1990;1990;1990;3;6;2;1;0;5;0;Murray-Lyon;1930;1990;1999;x
Neame;532018;U16;1930;1990;1990;1990;3;5;1;2;0;5;0;Neame;1930;1990;1999;x
Norrie;532019;U16;1930;1990;1990;1990;3;6;128;2;0;5;0;Norrie;1930;1990;1999;x
Percival;532020;U16;1930;1990;1990;1990;3;5;3;2;0;5;0;Percival;1930;1990;1999;x
Crowther;532021;U16;1930;1990;1990;1990;3;5;0;1;0;5;0;Crowther;1930;1990;1999;x
Robertson;532022;U16;1930;1990;1990;1990;3;6;16;3;0;5;0;Robertson;1930;1990;1999;x
Slim;532023;U16;1930;1990;1990;1990;2;8;17;4;0;5;0;Slim;1930;1990;1999;x
Templer;532024;U16;1930;1990;1990;1990;3;7;257;4;0;5;0;Templer;1930;1990;1999;x
Bader;532025;U16;1930;1990;1990;1990;3;7;4096;1;0;5;2;Bader;1930;1990;1999;x
Beamont;532026;U16;1930;1990;1990;1990;3;5;0;1;0;5;2;Beamont;1930;1990;1999;x
Duke;532027;U16;1930;1990;1990;1990;3;5;0;1;0;5;2;Duke;1930;1990;1999;x
Johnson;532028;U16;1930;1990;1990;1990;3;5;0;1;0;5;2;Johnson;1930;1990;1999;x
Jones;532029;U16;1930;1990;1990;1990;3;5;0;1;0;5;2;Jones;1930;1990;1999;x
O'Meara;532030;U16;1930;1990;1990;1990;3;5;0;1;0;5;2;Omeara;1930;1990;1999;x
Tuck;532031;U16;1930;1990;1990;1990;3;5;0;1;0;5;2;Tuck;1930;1990;1999;x
Baxter;532032;U16;1930;1990;1990;1990;3;5;0;1;0;5;2;Baxter;1930;1990;1999;x
Cheshire;532033;U16;1930;1990;1990;1990;3;5;0;1;0;5;2;Cheshire;1930;1990;1999;x
Cundy;532034;U16;1930;1990;1990;1990;3;5;131072;1;0;5;2;Cundy;1930;1990;1999;x
Currant;532035;U16;1930;1990;1990;1990;3;5;0;1;0;5;2;Currant;1930;1990;1999;x
Esmonde;532036;U16;1930;1990;1990;1990;3;5;0;1;0;5;2;Esmonde;1930;1990;1999;x
Twiss;532037;U16;1930;1990;1990;1990;3;5;131072;1;0;5;2;Twiss;1930;1990;1999;x
Unwin;532038;U16;1930;1990;1990;1990;3;5;0;1;0;5;2;Unwin;1930;1990;1999;x
Baldwin;532039;U16;1930;1990;1990;1990;0;7;32768;1;0;5;2;Baldwin;1930;1990;1999;x
Richard Peirse;532040;U16;1930;1990;1990;1990;1;6;16384;3;0;5;2;Peirse;1930;1990;1999;x
Loius Mountbatten;532041;U16;1930;1990;1990;1990;1;5;1024;1;0;5;1;Mountbatten;1930;1990;1999;x
Portal;532042;U16;1930;1990;1990;1990;3;7;98304;5;0;5;2;Portal;1930;1990;1999;x
Sholto-Douglas;532043;U16;1930;1990;1990;1990;1;9;0;4;0;5;2;Douglas;1930;1990;1999;x
Salmond;532044;U16;1930;1990;1990;1990;0;5;512;1;0;5;2;Salmond;1930;1990;1999;x
Leigh-Mallory;532045;U16;1930;1990;1990;1990;0;9;69632;4;0;5;2;Trafford_Leigh-Mallory;1930;1990;1999;x
Alexander;532046;U16;1930;1990;1990;1990;3;5;2;1;0;5;0;Bill_Alexander;1930;1990;1999;x
Pound;532047;U16;1930;1990;1990;1990;1;5;4608;1;0;5;1;Dudley_Pound;1930;1990;1999;x
Cunningham;532048;U16;1930;1990;1990;1990;0;9;6144;5;0;5;1;Cunningham;1930;1990;1999;x
Woods;532049;U16;1930;1990;1990;1990;3;1;0;0;0;5;2;U16_Woods;1930;1990;1999;x
