Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
H.H. Shriman VIII Maharaja of Kashmir;1215001;U54;1930;1930;1930;1990;1;4;516;1;0;5;0;Kashmir Maharaja Hari Singh Uniform;1930;1960;1999;x
Rajinder Singh Jamwal;1215002;U54;1930;1951;1990;1990;2;6;2;2;0;5;0;Kashmir Rajinder Singh;1930;1964;1999;x
Aslam Khan;1215003;U54;1930;1963;1990;1990;2;5;272;1;0;5;0;Kashmir Aslam Khan;1930;1970;1999;x
Janak Singh;1215004;U54;1930;1930;1930;1990;2;5;514;3;0;5;0;Kashmir Janak Singh;1930;1947;1999;x
Kashmir Singh Katoch;1215005;U54;1930;1960;1963;1990;2;6;4194560;1;0;5;0;Kashmir Kashmir Singh Katoch;1930;1970;1999;x
Ghansar Singh;1215006;U54;1930;1930;1930;1990;2;5;2;1;0;5;0;Kashmir Ghansar Singh;1930;1999;1999;x
Mirza Hassan Khan;1215007;U54;1930;1990;1990;1990;3;5;256;1;0;5;0;Kashmir Mirza Hassan Khan;1930;1970;1999;x
Habib ur Rahman;1215008;U54;1930;1930;1990;1990;2;5;2;1;0;5;0;Kashmir Habib Ur Rahman;1930;1999;1999;x
William Alexander Brown;1215009;U54;1930;1930;1990;1990;2;5;2;1;0;5;0;Kashmir William Alexander Brown;1930;1999;1999;x
Sher Jung Thapa;1215010;U54;1930;1930;1990;1990;2;5;2;1;0;5;0;Kashmir Sher Jung Thapa;1930;1999;1999;x
