Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bernatchez;582000;QUE;1944;1990;1990;1990;3;5;4;0;0;5;0;L52005;1944;1960;1999;x
Boutet;582001;QUE;1930;1943;1990;1990;2;4;4;1;0;5;0;L52008;1930;1945;1999;x
Cabeldu;582002;QUE;1941;1945;1990;1990;3;6;4;1;0;5;0;L52011;1941;1960;1999;x
Gianelli;582003;QUE;1941;1990;1990;1990;3;7;128;1;0;5;0;L52022;1941;1960;1999;x
Hoffmeister;582004;QUE;1941;1944;1990;1990;3;5;0;1;0;5;0;L52026;1941;1945;1999;x
Leclerc;582005;QUE;1930;1943;1990;1990;3;6;2;1;0;5;0;L52035;1930;1945;1999;x
Legér;582006;QUE;1939;1990;1990;1990;3;4;2;0;0;5;0;L52036;1939;1946;1999;x
Moncel;582008;QUE;1942;1945;1990;1990;3;6;128;0;0;5;0;L52117;1942;1960;1999;x
Patage;582009;QUE;1940;1990;1990;1990;3;4;256;0;0;5;0;L582009;1940;1960;1999;x
Brodeur;582010;QUE;1930;1942;1990;1990;3;5;0;1;0;5;1;L52082;1930;1946;1999;x
Petitpas;582011;QUE;1941;1990;1990;1990;3;5;1024;0;0;5;1;L52091;1941;1960;1999;x
Powell;582012;QUE;1930;1990;1990;1990;3;3;2048;0;0;5;1;M582009;1930;1960;1999;x
Fultz;582013;QUE;1942;1946;1990;1990;3;5;131584;1;0;5;2;L52103;1942;1960;1999;x
Langlois;582014;QUE;1945;1990;1990;1990;3;4;0;0;0;5;2;L52108;1945;1960;1999;x
Louis Napoleon;582015;QUE;1930;1930;1943;1990;1;3;0;1;0;5;2;M582001;1930;1960;1999;x
Patage;582016;QUE;1940;1990;1990;1990;3;3;0;0;0;5;2;L582009;1940;1960;1999;x
