Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bircher;129000;SCH;1938;1990;1990;1990;3;4;0;0;0;3;0;L129000;1938;1946;1999;x
Borel;129001;SCH;1930;1990;1990;1990;3;4;0;0;0;5;0;L129001;1930;1941;1999;x
Brunner;129002;SCH;1941;1990;1990;1990;3;5;4;0;0;5;0;L129002;1941;1960;1999;x
Castelli;129003;SCH;1939;1990;1990;1990;3;4;128;0;0;5;0;L129003;1939;1960;1999;x
Constam;129004;SCH;1930;1930;1990;1990;2;7;258;2;0;5;0;L129004;1930;1955;1999;x
de Crousaz;129005;SCH;1930;1990;1990;1990;3;5;256;0;0;5;0;L129005;1930;1943;1999;x
Flückiger;129006;SCH;1937;1990;1990;1990;3;4;0;0;0;5;0;L129006;1937;1960;1999;x
Gugger;129007;SCH;1941;1990;1990;1990;3;4;0;0;0;5;0;L129007;1941;1960;1999;x
Guisan;129008;SCH;1930;1930;1930;1990;1;8;6;2;0;5;0;L129008;1930;1960;1999;x
Huber  J.;129009;SCH;1930;1990;1990;1990;3;5;0;0;0;5;0;L129009;1930;1940;1999;x
Huber  J.I.;129010;SCH;1938;1941;1943;1990;1;6;3;2;0;5;0;L129010;1938;1960;1999;x
Isler A.;129011;SCH;1930;1934;1990;1990;2;5;0;1;0;5;2;L129011;1930;1942;1999;x
Jahn;129012;SCH;1942;1990;1990;1990;3;4;0;0;0;5;0;L129012;1942;1960;1999;x
Jenne;129013;SCH;1944;1990;1990;1990;3;5;16;0;0;5;0;L129013;1944;1960;1999;x
Furrer;129014;SCH;1930;1930;1990;1990;2;3;0;1;0;5;0;L129014;1930;1943;1999;x
Kammel;129015;SCH;1940;1990;1990;1990;3;4;64;0;0;5;0;L129015;1940;1946;1999;x
Labhart;129016;SCH;1939;1943;1990;1990;2;4;0;1;0;5;0;L129016;1939;1960;1999;x
Lardelli;129017;SCH;1930;1939;1990;1990;2;4;0;1;0;5;0;L129017;1930;1943;1999;x
Le Pierre;129018;SCH;1944;1990;1990;1990;3;5;1;0;0;5;0;L129018;1944;1960;1999;x
Mamin;129019;SCH;1930;1990;1990;1990;3;4;2;0;0;5;0;L129019;1930;1941;1999;x
