Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Oo Wan-hien;875410;U30;1930;1941;1990;1990;2;3;4194304;0;0;4;0;L157305;1930;1960;1999;x
Lin Tien-fu;875411;U30;1930;1941;1990;1990;2;3;0;0;0;4;0;L157304;1930;1960;1999;x
Lin Shao-mao;875412;U30;1930;1930;1930;1990;1;4;512;1;0;5;0;MLin;1930;1960;1999;x
Lee Teng-chin;875414;U30;1930;1930;1940;1990;2;4;4096;1;0;4;1;M750004;1930;1960;1999;x
Chiu Chin-chuen;875415;U30;1930;1930;1940;1990;2;3;8192;1;0;4;2;M750003;1930;1960;1999;x
Zang Fakui;875416;U30;1930;1930;1990;1990;2;5;0;1;0;4;0;M750009;1930;1960;1999;x
Sun Yuan-liang;875417;U30;1930;1940;1990;1990;3;2;0;1;0;4;0;M750010;1930;1960;1999;x
Tong Li-she;875418;U30;1930;1930;1990;1990;2;3;4;1;0;4;0;L157306;1930;1960;1999;x
Meng Bao-li;875419;U30;1930;1990;1990;1990;3;2;0;0;0;5;1;L157303;1930;1960;1999;x
Kong Bin-ning;875420;U30;1930;1990;1990;1990;3;2;0;0;0;4;1;L157308;1930;1960;1999;x
Lee Dao-wang;875421;U30;1930;1944;1990;1990;2;2;0;1;0;5;0;L157300;1930;1960;1999;x
Mai Yi-shen;875422;U30;1930;1990;1990;1990;3;2;0;0;0;4;0;L157313;1930;1960;1999;x
Dai Meng-tian;875423;U30;1930;1990;1990;1990;3;3;0;1;0;5;2;L157312;1930;1960;1999;x
Mao Kang-bao;875424;U30;1930;1945;1990;1990;2;2;32;0;0;4;0;L157301;1930;1960;1999;x
Kong Ai-li;875425;U30;1930;1990;1990;1990;3;3;0;0;0;5;0;L157302;1930;1960;1999;x
Tu Tiao-mao;875426;U30;1930;1990;1990;1990;3;2;0;0;0;5;0;L157310;1930;1960;1999;x
Teng Rou-bao;875427;U30;1930;1930;1990;1990;2;3;128;0;0;4;0;L157311;1930;1960;1999;x
Pan Kang-min;875428;U30;1930;1990;1990;1990;3;3;0;1;0;4;1;L157309;1930;1960;1999;x
Kong Xian-ming;875429;U30;1930;1990;1990;1990;3;2;0;0;0;3;0;L157307;1930;1960;1999;x
