Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Armstrong;451000;U49;1940;1990;1990;1990;3;5;1;1;0;5;0;L450000;1940;1960;1999;x
Bester;451001;U49;1945;1990;1990;1990;3;5;1;1;0;5;0;L450001;1945;1960;1999;x
Beyers;451002;U49;1930;1930;1940;1990;1;6;513;2;0;5;0;L450002;1930;1945;1999;x
Borain;451003;U49;1940;1990;1990;1990;3;4;0;1;0;5;0;L450003;1940;1943;1999;x
Botha;451004;U49;1940;1942;1990;1990;2;6;128;2;0;5;0;L450004;1940;1960;1999;x
Brink  A.J.E.;451005;U49;1930;1930;1930;1990;1;7;768;2;0;5;0;L450005;1930;1946;1999;x
Brink  G.E.;451006;U49;1939;1941;1946;1990;2;6;1;3;0;5;0;L450006;1939;1960;1999;x
Buchanan;451007;U49;1940;1990;1990;1990;3;4;0;1;0;5;0;L450007;1940;1942;1999;x
Cooper;451008;U49;1938;1990;1990;1990;3;5;4;1;0;5;0;L450008;1938;1942;1999;x
de Villiers;451009;U49;1939;1943;1990;1990;3;5;2;2;0;5;0;L450009;1939;1946;1999;x
de Weenburg du Toit;451010;U49;1942;1946;1990;1990;3;7;128;2;0;5;0;L450010;1942;1960;1999;x
Furstenburg;451011;U49;1940;1946;1990;1990;3;6;128;2;0;5;0;L450011;1940;1960;1999;x
Gilbert;451012;U49;1944;1990;1990;1990;3;5;256;1;0;5;0;L450012;1944;1946;1999;x
Hartshorn;451013;U49;1942;1990;1990;1990;3;4;0;1;0;4;0;L450013;1942;1945;1999;x
Hayton;451014;U49;1941;1990;1990;1990;3;5;1;1;0;5;0;L450014;1941;1944;1999;x
Hoare;451015;U49;1930;1930;1990;1990;2;5;514;1;0;5;0;L450015;1930;1938;1999;x
Johnston-Collyer;451016;U49;1930;1930;1990;1990;2;6;514;1;0;5;0;L450016;1930;1941;1999;x
Klopper;451017;U49;1942;1944;1946;1990;2;5;4;3;0;5;0;L450017;1942;1960;1999;x
Kriegler;451018;U49;1941;1990;1990;1990;3;5;4;1;0;5;0;L450018;1941;1943;1999;x
Mitchell-Baker;451019;U49;1930;1930;1990;1990;2;4;513;1;0;5;0;L450019;1930;1945;1999;x
Newton-King;451020;U49;1943;1990;1990;1990;3;6;128;1;0;5;0;L450020;1943;1960;1999;x
Palmer;451021;U49;1942;1945;1990;1990;3;6;1;2;0;5;0;L450021;1942;1960;1999;x
Pienaar;451022;U49;1938;1990;1990;1990;3;5;4;1;0;5;0;L450022;1938;1942;1999;x
Poole;451023;U49;1939;1943;1990;1990;2;7;128;2;0;5;0;L450023;1939;1960;1999;x
Ray;451024;U49;1942;1945;1990;1990;3;6;32;2;0;5;0;L450024;1942;1960;1999;x
Senescall;451025;U49;1942;1990;1990;1990;3;5;129;1;0;5;0;L450025;1942;1946;1999;x
Smuts;451026;U49;1930;1930;1930;1930;0;7;772;3;0;5;0;L450026;1930;1960;1999;x
Theron;451027;U49;1930;1940;1943;1990;1;7;4;2;0;5;0;L450027;1930;1960;1999;x
Thompson;451028;U49;1944;1990;1990;1990;3;4;0;1;0;5;0;L450028;1944;1960;1999;x
van Blankenroode;451029;U49;1942;1990;1990;1990;3;6;257;2;0;5;0;L450029;1942;1946;1999;x
van der Spuy;451030;U49;1941;1945;1990;1990;3;5;0;2;0;5;0;L450030;1941;1947;1999;x
Wakefield;451031;U49;1930;1930;1990;1990;2;5;513;1;0;5;0;L450031;1930;1939;1999;x
Breedt;451032;U49;1943;1990;1990;1990;3;5;1024;1;0;5;1;L450032;1943;1960;1999;x
Davis;451033;U49;1930;1940;1990;1990;2;6;2048;2;0;5;1;L450033;1930;1944;1999;x
de la Tourier;451034;U49;1944;1947;1990;1990;3;5;0;2;0;5;1;L450034;1944;1960;1999;x
Groenenwald;451035;U49;1943;1946;1990;1990;3;5;0;2;0;5;1;L450035;1943;1960;1999;x
Oliver-Knoll;451036;U49;1930;1930;1939;1990;1;6;2048;2;0;5;1;L450036;1930;1946;1999;x
van Osterkemp;451037;U49;1941;1990;1990;1990;3;5;0;1;0;5;1;L450037;1941;1943;1999;x
van den Huizenklopper;451038;U49;1943;1946;1990;1990;3;5;0;2;0;5;1;L450038;1943;1960;1999;x
van Zuigenbrogge;451039;U49;1940;1944;1990;1990;3;6;1024;2;0;5;1;L450039;1940;1960;1999;x
Frost;451040;U49;1942;1990;1990;1990;3;6;32768;1;0;5;2;L450040;1942;1946;1999;x
Larsen;451041;U49;1945;1990;1990;1990;3;4;0;1;0;5;2;L450041;1945;1960;1999;x
Le Roux;451042;U49;1940;1990;1990;1990;3;5;16384;1;0;5;2;L450042;1940;1960;1999;x
Malan;451043;U49;1941;1945;1990;1990;3;6;4096;2;0;5;2;L450043;1941;1960;1999;x
Reynolds;451044;U49;1942;1944;1947;1990;3;5;0;3;0;5;2;L450044;1942;1960;1999;x
St.John Pattle;451045;U49;1940;1990;1990;1990;3;6;4096;1;0;5;2;L450045;1940;1946;1999;x
van der Spuy;451046;U49;1941;1945;1990;1990;3;5;0;2;0;5;2;L450046;1941;1947;1999;x
van Osterkemp;451047;U49;1945;1990;1990;1990;3;5;131072;1;0;5;2;L450047;1945;1960;1999;x
Venter;451048;U49;1930;1940;1990;1990;2;6;0;2;0;5;2;L450048;1930;1946;1999;x
van Ryneveld;451049;U49;1930;1930;1938;1990;1;6;0;3;0;5;2;L450049;1930;1960;1999;x
