Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Tokhay;280000;AFG;1936;1936;1936;1936;0;2;262161;1;0;5;0;unknown;1936;1964;1999;x
Seraj Khan;280001;AFG;1938;1943;1946;1951;0;4;262182;2;0;5;0;L280010;1938;1964;1999;x
Gholam Wali;280002;AFG;1936;1936;1938;1942;0;3;5;1;0;5;0;L280005;1936;1964;1999;x
Safi;280003;AFG;1936;1936;1936;1936;0;2;262146;1;0;5;0;unknown;1936;1964;1999;x
Rasul;280004;AFG;1936;1936;1936;1936;0;3;262336;1;0;5;0;unknown;1936;1964;1999;x
Yahya Tarzi;280005;AFG;1936;1936;1936;1936;0;3;537133090;2;0;5;0;Tarzi;1936;1964;1999;x
Ghani Khan;280006;AFG;1936;1939;1944;1949;0;2;262182;1;0;5;0;Ghani;1936;1964;1999;x
Khyber;280007;AFG;1945;1950;1955;1960;0;3;262336;1;0;5;0;Khyber;1945;1964;1999;x
Momand;280008;AFG;1936;1936;1936;1936;0;2;262161;1;0;5;0;Momand;1936;1964;1999;x
Daoud;280009;AFG;1936;1941;1945;1950;0;5;536870928;3;0;5;0;L280002;1936;1964;1999;x
Nowroz;280010;AFG;1945;1950;1955;1960;0;3;262336;1;0;5;0;M54044;1945;1964;1999;x
Husain;280011;AFG;1940;1945;1950;1955;0;2;262336;1;0;5;1;L280018;1940;1964;1999;x
Bahram;280012;AFG;1936;1936;1936;1936;0;3;537133090;2;0;5;0;unknown;1936;1964;1999;x
Shah Ghazi;280013;AFG;1936;1936;1936;1936;0;3;262182;2;0;5;0;L280012;1936;1964;1999;x
Turabaz Khan;280014;AFG;1936;1936;1936;1936;0;2;262146;1;0;5;0;Khan;1936;1964;1999;x
Akbar Khan;280015;AFG;1936;1936;1936;1936;0;4;262146;1;0;5;0;L280000;1936;1964;1999;x
Etemadi Khan;280016;AFG;1945;1990;1990;1990;3;3;16;0;0;5;0;L280003;1945;1964;1999;x
Hashim Khan;280017;AFG;1930;1937;1943;1948;0;4;2;3;0;5;0;L280007;1936;1964;1999;x
Mazharam Khan;280018;AFG;1945;1990;1990;1990;3;4;16;0;0;5;0;L280009;1945;1964;1999;x
Rauf Tarzi;280019;AFG;1943;1947;1990;1990;3;3;16;1;0;5;0;L280014;1943;1964;1999;x
Yunus Khalis;280020;AFG;1939;1990;1990;1990;3;4;17;1;0;5;0;Khalis;1939;1964;1999;x
Zahir;280021;AFG;1936;1936;1936;1936;0;4;0;2;0;5;0;L280017;1930;1964;1999;x
Ghozham Khan;280022;AFG;1930;1937;1990;1990;2;3;514;2;0;2;0;L280006;1930;1939;1999;x
Suleiman Khan;280023;AFG;1930;1930;1990;1990;2;4;16;0;0;5;0;L280013;1930;1942;1999;x
Rashad;280024;AFG;1941;1946;1951;1956;0;2;8192;1;0;5;1;Rashad;1941;1964;1999;x
Gholam Wali;280025;AFG;1936;1936;1938;1942;0;2;8192;1;0;5;1;L280005;1936;1964;1999;x
Yaqta;280026;AFG;1936;1939;1944;1949;0;2;8192;1;0;5;1;Yaqta;1936;1964;1999;x
Hashim;280027;AFG;1936;1936;1936;1936;0;2;2048;1;0;5;1;M54002;1936;1964;1999;x
Angar;280028;AFG;1936;1936;1936;1936;0;2;2048;1;0;5;1;unknown;1936;1964;1999;x
Wahab Tarzi;280029;AFG;1936;1936;1936;1938;0;2;2048;1;0;5;1;Tarzi1;1936;1964;1999;x
Husain;280030;AFG;1936;1936;1936;1936;0;2;4096;1;0;5;1;M54019;1936;1964;1999;x
Khadem;280031;AFG;1936;1936;1936;1936;0;2;4096;1;0;5;1;unknown;1936;1964;1999;x
Rauf Tarzi;280032;AFG;1936;1936;1936;1936;0;2;4096;1;0;5;1;L280014;1936;1964;1999;x
Zahir;280033;AFG;1936;1936;1936;1936;0;2;1024;1;0;5;1;L280020;1936;1964;1999;x
Etemadi Khan;280034;AFG;1941;1946;1951;1956;0;2;1024;1;0;5;1;M54016;1941;1964;1999;x
Rasul Pashtun;280035;AFG;1936;1936;1936;1936;0;2;1024;1;0;5;1;unknown;1936;1964;1999;x
Khalili;280036;AFG;1936;1936;1937;1942;0;2;1024;1;0;5;1;Khalili;1936;1964;1999;x
Rasuli;280037;AFG;1939;1944;1949;1954;0;2;4096;1;0;5;1;unknown;1939;1964;1999;x
Sharq;280038;AFG;1945;1950;1955;1960;0;2;4096;1;0;5;1;Sharq;1945;1964;1999;x
Muhammed Khan;280039;AFG;1939;1944;1949;1954;0;2;4096;1;0;5;1;M54020;1936;1964;1999;x
Yunus Khalis;280040;AFG;1939;1944;1949;1954;0;2;4096;1;0;5;2;Khalis;1939;1964;1999;x
Ulfat;280041;AFG;1936;1936;1939;1944;0;2;4096;1;0;5;2;unknown;1936;1964;1999;x
Siddiq Tarzi;280042;AFG;1936;1936;1936;1940;0;2;4096;1;0;5;2;Tarzi2;1936;1964;1999;x
Zahir;280043;AFG;1936;1936;1936;1936;0;2;16384;1;0;5;2;L280025;1936;1964;1999;x
Daoud;280044;AFG;1936;1936;1939;1944;0;2;16384;1;0;5;2;L280021;1936;1964;1999;x
Bahram;280045;AFG;1936;1936;1936;1936;0;2;16384;1;0;5;2;unknown;1936;1964;1999;x
Turabaz Khan;280046;AFG;1936;1936;1936;1936;0;2;16384;1;0;5;2;Khan;1936;1964;1999;x
Wali Khan;280047;AFG;1936;1936;1936;1936;0;2;32768;0;0;5;2;M54042;1936;1964;1999;x
Zurmulwal;280048;AFG;1936;1936;1936;1936;0;2;32768;0;0;5;2;unknown;1936;1964;1999;x
