Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abdullah I;558000;ARA;1930;1930;1930;1930;0;3;4;0;0;5;0;M556008;1930;1960;1999;x
Abrash;558001;ARA;1942;1990;1990;1990;3;2;0;0;0;5;0;M528054;1942;1960;1999;x
Aflatan Pasha;558002;ARA;1930;1930;1941;1990;2;3;0;1;0;5;0;M512083;1930;1943;1999;x
Ahti;558003;ARA;1930;1940;1990;1990;2;3;2;1;0;5;0;M556029;1930;1960;1999;x
al-Gawzi;558004;ARA;1930;1930;1930;1990;1;3;576;1;0;5;0;M528024;1930;1946;1999;x
al-Hashimi;558005;ARA;1939;1990;1990;1990;3;5;16;0;0;5;0;L556003;1939;1960;1999;x
al-Hasic;558006;ARA;1930;1990;1990;1990;3;2;1;0;0;5;0;L529002;1930;1946;1999;x
al-Jafaar;558007;ARA;1930;1990;1990;1990;3;2;0;0;0;5;0;M556031;1930;1943;1999;x
al-Nasser;558008;ARA;1945;1990;1990;1990;3;5;256;0;0;5;0;L512001;1945;1960;1999;x
al-Quawugji;558009;ARA;1930;1943;1990;1990;2;2;2;1;0;5;0;M528049;1930;1960;1999;x
al-Shishakli;558010;ARA;1937;1942;1945;1990;2;3;0;2;0;5;0;M528051;1937;1960;1999;x
al-Wali;558011;ARA;1940;1990;1990;1990;3;2;2;0;0;5;0;M556028;1940;1960;1999;x
al-Zaim;558012;ARA;1930;1942;1945;1990;2;3;0;2;0;5;0;M528047;1930;1960;1999;x
Amer;558013;ARA;1945;1990;1990;1990;3;4;4;0;0;5;0;L512002;1945;1960;1999;x
an-Nukraishi;558014;ARA;1930;1930;1990;1990;2;3;513;1;0;5;0;M512016;1930;1942;1999;x
Aoun;558015;ARA;1944;1990;1990;1990;3;2;128;0;0;5;0;L529003;1944;1960;1999;x
as-Sadat;558016;ARA;1944;1946;1990;1990;2;5;4;1;0;3;0;L512004;1944;1960;1999;x
Azzam;558017;ARA;1930;1990;1990;1990;3;2;256;0;0;5;0;M529057;1930;1946;1999;x
Barakat;558018;ARA;1943;1945;1990;1990;2;2;2;1;0;5;0;L529005;1943;1960;1999;x
ben Jamil;558019;ARA;1938;1941;1990;1990;3;3;32;1;0;5;0;L556006;1938;1960;1999;x
Chakour;558020;ARA;1939;1944;1990;1990;2;2;2;1;0;5;0;L528012;1939;1960;1999;x
Chehab  A.;558021;ARA;1944;1990;1990;1990;3;2;32;0;0;5;0;L529009;1944;1960;1999;x
Chehab  F.;558022;ARA;1939;1942;1944;1990;1;3;0;2;0;5;0;M529056;1939;1960;1999;x
Daher;558023;ARA;1930;1990;1990;1990;3;2;1;0;0;5;0;L529011;1930;1945;1999;x
el-Hamza Makkawi;558024;ARA;1946;1990;1990;1990;3;3;128;0;0;5;0;L512007;1946;1960;1999;x
el-Nizar Ali;558025;ARA;1938;1942;1990;1990;2;4;256;1;0;5;0;L556009;1938;1960;1999;x
