Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Asadorian;515000;ARM;1930;1990;1990;1990;3;3;32;0;0;5;0;L515000;1930;1960;1999;x
Babajanian;515001;ARM;1930;1930;1941;1990;2;4;128;1;0;5;0;M515024;1930;1960;1999;x
Baghramyan;515002;ARM;1930;1930;1941;1990;2;9;4;4;0;5;0;L515002;1930;1960;1999;x
Kalaydjian;515003;ARM;1930;1990;1990;1990;3;4;1;0;0;5;0;L515005;1930;1960;1999;x
Kanyan;515004;ARM;1930;1930;1930;1990;1;2;1;0;0;5;0;L515006;1930;1960;1999;x
Kardashian;515005;ARM;1930;1990;1990;1990;3;2;0;0;0;5;0;L515007;1930;1960;1999;x
Khachatrian;515006;ARM;1930;1990;1990;1990;3;2;0;0;0;5;0;L515008;1930;1960;1999;x
Nzdek;515007;ARM;1930;1930;1990;1990;2;2;0;0;0;5;0;M515017;1930;1960;1999;x
Osanian;515008;ARM;1930;1930;1930;1930;0;2;513;1;0;5;0;M515008;1930;1960;1999;x
Osebian;515009;ARM;1930;1939;1990;1990;2;2;0;1;0;5;0;M515021;1930;1960;1999;x
Razmik;515010;ARM;1930;1990;1990;1990;3;3;4;0;0;5;0;L515012;1930;1960;1999;x
Rubene;515011;ARM;1930;1990;1990;1990;3;2;256;0;0;5;0;L515013;1930;1960;1999;x
Safaryan;515012;ARM;1930;1990;1990;1990;3;3;4;0;0;5;0;L515014;1930;1960;1999;x
Seviahian;515013;ARM;1930;1990;1990;1990;3;2;16;0;0;5;0;L515015;1930;1960;1999;x
Betche;515014;ARM;1930;1990;1990;1990;3;4;1536;1;0;5;1;M515009;1930;1960;1999;x
Gadow;515015;ARM;1930;1990;1990;1990;3;3;0;0;0;5;1;L515021;1930;1960;1999;x
Isahakian;515016;ARM;1930;1930;1942;1990;2;4;0;1;0;5;1;M515026;1930;1960;1999;x
Rubene;515017;ARM;1930;1990;1990;1990;3;2;0;0;0;5;1;L515013;1930;1960;1999;x
Agazarian;515018;ARM;1930;1990;1990;1990;3;2;4096;0;0;5;2;M515006;1930;1960;1999;x
Silikyan;515019;ARM;1930;1990;1990;1990;1;2;1;0;0;5;0;AWM_Silikyan;1930;1960;1999;x
Pastermadjian;515020;ARM;1930;1990;1990;1990;3;4;32;1;0;5;0;AWM_Pasterbadjian;1930;1960;1999;x
Seremjian;515021;ARM;1930;1990;1990;1990;2;5;4096;1;0;5;2;L582037;1930;1960;1999;x
Bitlistsi;515022;ARM;1930;1990;1990;1990;2;5;256;2;0;5;0;L582038;1930;1960;1999;x
Nubar Pasha;515023;ARM;1930;1990;1990;1990;1;5;64;2;0;5;0;L582039;1930;1960;1999;x
Ter-Harutiunian;515024;ARM;1930;1990;1990;1990;1;5;262144;2;0;5;0;L582041;1930;1960;1999;x
Chan Poladian;515025;ARM;1930;1990;1990;1990;2;5;0;0;0;5;0;L582042;1930;1960;1999;x
Chavoush;515026;ARM;1930;1990;1990;1990;2;5;8;0;0;5;0;L582043;1930;1960;1999;x
Manoug;515027;ARM;1930;1990;1990;1990;2;5;1;1;0;5;0;L582044;1930;1960;1999;x
Khrimiyan;515028;ARM;1930;1990;1990;1990;3;5;0;1;0;5;0;L582045;1930;1960;1999;x
Touman;515029;ARM;1930;1990;1990;1990;2;5;32768;1;0;5;2;L582046;1930;1960;1999;x
Gragosian;515030;ARM;1930;1990;1990;1990;1;5;512;1;0;5;0;L582047;1930;1960;1999;x
Mehrabian;515031;ARM;1930;1990;1990;1990;2;5;16;1;0;5;0;L582048;1930;1960;1999;x
Mourad;515032;ARM;1930;1990;1990;1990;3;5;512;2;0;5;0;L582049;1930;1960;1999;x
Vratsian;515033;ARM;1930;1990;1990;1990;3;5;8192;0;0;5;2;L582051;1930;1960;1999;x
Telirian;515034;ARM;1930;1990;1990;1990;2;5;1024;2;0;5;1;L582052;1930;1960;1999;x
Zoran;515035;ARM;1930;1990;1990;1990;1;5;4096;1;0;5;1;L582053;1930;1960;1999;x
Khitcho;515036;ARM;1930;1990;1990;1990;1;5;2;2;0;5;0;L582054;1930;1960;1999;x
Zoulloumat;515037;ARM;1930;1990;1990;1990;3;5;0;1;0;5;0;L582055;1930;1960;1999;x
