Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Allen, A.S.;54000;AST;1938;1941;1990;1990;2;6;2;2;0;5;0;L54000;1938;1959;1999;x
Anderson;54001;AST;1942;1946;1990;1990;2;5;1;2;0;5;0;L54001;1942;1960;1999;x
Barker;54002;AST;1941;1990;1990;1990;3;5;6;1;0;5;0;L54002;1941;1960;1999;x
Beavis;54003;AST;1940;1942;1990;1990;2;5;1;2;0;5;0;L54003;1940;1960;1999;x
Bennett;54004;AST;1929;1930;1942;1990;1;6;1;2;0;5;0;L54004;1929;1952;1999;x
Berryman;54005;AST;1939;1942;1944;1990;1;7;6;2;0;5;0;L54005;1939;1959;1999;x
Bessell-Browne;54006;AST;1918;1940;1990;1990;3;6;518;4;0;5;0;LAlfred_Joseph_Bessell-Browne;1918;1943;1999;x
Birdwood;54007;AST;1909;1911;1915;1917;0;7;512;4;0;5;0;6960;1909;1938;1999;x
Bruche;54008;AST;1920;1923;1990;1990;2;5;268435968;3;0;5;0;LJulius_Henry_Bruche;1920;1938;1999;x
Blackburn;54009;AST;1940;1990;1990;1990;3;5;536870912;1;0;5;0;L54007;1940;1957;1999;x
Blamey;54010;AST;1918;1931;1939;1941;0;8;1;4;0;5;0;AST_Blamey;1918;1949;1999;x
Boase;54011;AST;1940;1942;1949;1990;1;5;0;2;0;5;0;L54009;1940;1959;1999;x
Bridgeford;54012;AST;1940;1942;1951;1990;1;5;524293;2;0;5;0;L54010;1940;1960;1999;x
Brogan;54013;AST;1947;1962;1990;1990;2;7;33;2;0;5;0;LMervyn_Francis_Brogan;1947;1970;1999;x
Callaghan;54014;AST;1939;1942;1990;1990;3;4;64;1;0;5;0;L54012;1939;1956;1999;x
Cameron;54015;AST;1942;1990;1990;1990;3;4;524288;1;0;5;0;L54013;1942;1960;1999;x
Cannan;54016;AST;1920;1940;1990;1990;2;7;1;3;0;5;0;L54014;1920;1948;1999;x
Clowes;54017;AST;1938;1942;1990;1990;2;6;2;2;0;5;0;L54015;1938;1957;1999;x
Cremor;54018;AST;1942;1990;1990;1990;3;5;2;1;0;5;0;L54016;1942;1963;1999;x
Dougherty;54019;AST;1941;1952;1990;1990;2;5;256;1;0;5;0;L54017;1941;1970;1999;x
Eastick;54020;AST;1943;1990;1990;1990;3;6;2;1;0;5;0;L54018;1943;1965;1999;x
Eather;54021;AST;1941;1945;1990;1990;2;5;1073741828;1;0;5;0;L54019;1941;1970;1999;x
Evans;54022;AST;1942;1990;1990;1990;3;4;0;1;0;5;0;L54020;1942;1970;1999;x
Fergusson;54023;AST;1942;1990;1990;1990;3;4;128;1;0;5;0;L54021;1942;1961;1999;x
Field;54024;AST;1942;1990;1990;1990;3;4;32;1;0;5;0;L54022;1942;1964;1999;x
Godfrey;54025;AST;1941;1990;1990;1990;3;5;2;1;0;5;0;L54023;1941;1961;1999;x
Hassett;54026;AST;1946;1963;1990;1990;3;7;6;2;0;5;0;LFrancis_George_Hassett;1946;1961;1999;x
Herring;54027;AST;1939;1942;1944;1990;1;6;6;2;0;5;0;L54024;1939;1958;1999;x
Jess;54028;AST;1929;1935;1939;1990;1;5;513;3;0;5;0;LCarl_Herman_Jess;1929;1948;1999;x
Keatinge;54029;AST;1932;1938;1990;1990;3;5;96;1;0;5;0;L54025;1932;1953;1999;x
King;54030;AST;1941;1952;1990;1990;3;5;257;1;0;5;0;L54026;1941;1963;1999;x
Langley;54031;AST;1942;1990;1990;1990;3;4;262144;1;0;5;0;L54027;1942;1956;1999;x
Lavarack;54032;AST;1935;1935;1939;1990;2;7;6;3;0;5;0;L54028;1935;1951;1999;x
Hackett;54033;AST;1943;1956;1961;1966;1;7;132;2;0;5;0;L1150;1943;1970;1999;x
Hammer;54034;AST;1943;1956;1990;1990;2;5;524545;1;0;5;0;LHeathcote_Howard_Hammer;1943;1970;1999;x
Hopkins;54035;AST;1940;1950;1990;1990;2;6;128;1;0;5;0;LRonald_NL_Hopkins;1940;1962;1999;x
Lloyd, C.E.M.;54036;AST;1941;1943;1990;1990;3;5;1;1;0;5;0;L54030;1941;1964;1999;x
Lloyd, H.W.;54037;AST;1930;1943;1990;1990;2;6;514;2;0;5;0;L54031;1930;1949;1999;x
Lloyd, J.E.;54038;AST;1940;1990;1990;1990;3;4;256;1;0;5;0;L54032;1940;1959;1999;x
Mackay;54039;AST;1920;1937;1941;1990;1;6;576;3;0;5;0;L54033;1920;1947;1999;x
Macarthur-Onslow;54040;AST;1942;1955;1990;1990;2;5;8388736;1;0;5;0;LDenzil_Macarthur-Onslow;1942;1969;1999;x
McKenzie, K.A.;54041;AST;1942;1990;1990;1990;3;4;1;1;0;5;0;L54034;1942;1958;1999;x
Milford;54042;AST;1938;1941;1990;1990;2;6;65;2;0;5;0;L54035;1938;1960;1999;x
Morshead;54043;AST;1938;1941;1943;1990;1;7;6;3;0;5;0;L54036;1938;1955;1999;x
Murray;54044;AST;1938;1942;1990;1990;3;5;2;2;0;5;0;L54037;1938;1951;1999;x
Nimmo;54045;AST;1936;1946;1954;1990;2;6;132;1;0;5;0;LRobert_Harold_Nimmo;1936;1959;1999;x
North;54046;AST;1940;1990;1990;1990;3;4;0;1;0;5;0;L54038;1940;1959;1999;x
Northcott;54047;AST;1939;1941;1942;1990;1;6;0;2;0;5;0;L54039;1939;1955;1999;x
Phillips;54048;AST;1929;1936;1990;1990;2;5;546;3;0;5;0;L54040;1929;1947;1999;x
Plant;54049;AST;1939;1942;1990;1990;2;5;0;2;0;5;0;L54041;1939;1955;1999;x
Porter;54050;AST;1942;1948;1990;1990;3;5;256;1;0;5;0;L54042;1942;1964;1999;x
Potts;54051;AST;1942;1990;1990;1990;3;5;537395456;1;0;5;0;L54043;1942;1961;1999;x
Ramsay;54052;AST;1940;1944;1990;1990;2;6;66;1;0;5;0;L54044;1940;1960;1999;x
Risson;54053;AST;1943;1953;1990;1990;2;6;32;1;0;5;0;LRobert_Joseph_Henry_Risson;1943;1966;1999;x
Robertson;54054;AST;1940;1942;1948;1990;1;6;262272;2;0;5;0;L54045;1940;1960;1999;x
Rowell;54055;AST;1940;1942;1948;1990;2;7;268435456;2;0;5;0;L54046;1940;1961;1999;x
Sandover;54056;AST;1943;1990;1990;1990;3;4;0;1;0;5;0;L54047;1943;1970;1999;x
Savige;54057;AST;1938;1942;1944;1990;1;6;33554432;2;0;5;0;L54048;1938;1955;1999;x
Secombe;54058;AST;1941;1949;1990;1990;2;5;33;1;0;5;0;LSecombe;1941;1962;1990;x
Smart;54059;AST;1937;1939;1942;1990;1;4;96;2;0;5;0;L54049;1939;1956;1999;x
Squires;54060;AST;1932;1935;1938;1990;1;6;2;2;0;5;0;L54050;1932;1941;1999;x
Steele, W.A.B.;54061;AST;1941;1944;1990;1990;3;4;1;1;0;5;0;L54051;1941;1960;1999;x
Steele, C.S.;54062;AST;1939;1942;1990;1990;2;5;33;2;0;5;0;L54052;1939;1956;1999;x
Stevens;54063;AST;1940;1942;1990;1990;3;4;256;1;0;5;0;L54053;1940;1961;1999;x
Strutt;54064;AST;1941;1990;1990;1990;3;5;134217730;1;0;5;0;L54054;1941;1969;1999;x
