Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bardolff;2700;AUS;1930;1930;1990;1990;2;5;516;1;0;3;0;L2700;1930;1940;1999;x
Barger;2701;AUS;1930;1940;1990;1990;3;4;0;1;0;4;0;L2701;1930;1957;1999;x
Bassler;2702;AUS;1930;1939;1990;1990;2;4;1;1;0;5;0;L2702;1930;1941;1999;x
Beyer;2703;AUS;1930;1930;1930;1990;1;6;528;2;0;4;0;L2703;1930;1941;1999;x
Bornemann;2704;AUS;1930;1941;1990;1990;3;5;0;1;0;4;0;L2704;1930;1960;1999;x
Britzelmayr;2705;AUS;1944;1990;1990;1990;3;5;1;0;0;2;0;L2705;1944;1960;1999;x
Eglseer;2706;AUS;1930;1943;1990;1990;3;7;8388864;2;0;3;0;L2706;1930;1960;1999;x
Eppich;2707;AUS;1930;1990;1990;1990;3;5;256;0;0;5;0;L2707;1930;1960;1999;x
Ernst;2708;AUS;1930;1930;1939;1990;2;7;513;1;0;5;0;L2708;1930;1941;1999;x
Feurstein;2709;AUS;1930;1930;1990;1990;2;8;4194560;3;0;4;0;L2709;1930;1955;1999;x
Gebauer;2710;AUS;1930;1930;1930;1990;1;4;513;1;0;5;0;L2710;1930;1940;1999;x
Glaise-Horstenau;2711;AUS;1930;1930;1990;1990;2;3;0;0;0;3;0;L2711;1930;1950;1999;x
Gräser;2712;AUS;1939;1990;1990;1990;3;5;0;0;0;5;0;L2712;1939;1960;1999;x
Hammer;2713;AUS;1930;1990;1990;1990;3;4;32;0;0;5;0;L2713;1930;1955;1999;x
Haselmayr;2714;AUS;1930;1990;1990;1990;3;5;12;0;0;3;0;L2714;1930;1951;1999;x
Hickmann;2715;AUS;1930;1939;1944;1990;2;5;32;2;0;4;0;L2715;1930;1960;1999;x
Kienbauer;2716;AUS;1930;1990;1990;1990;3;5;0;1;0;4;0;L2716;1930;1950;1999;x
