Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bardolff;620000;U24;1930;1930;1990;1990;2;5;516;1;0;3;0;L2700;1930;1960;1999;x
Barger;620001;U24;1930;1940;1990;1990;3;4;0;1;0;4;0;L2701;1930;1960;1999;x
Bassler;620002;U24;1930;1939;1990;1990;2;4;1;1;0;5;0;L2702;1930;1941;1999;x
Beyer;620003;U24;1930;1930;1930;1990;1;6;528;2;0;4;0;L2703;1930;1960;1999;x
Bornemann;620004;U24;1930;1941;1990;1990;3;5;0;1;0;4;0;L2704;1930;1960;1999;x
Britzelmayr;620005;U24;1944;1990;1990;1990;3;4;0;0;0;2;0;L2705;1944;1960;1999;x
Eglseer;620006;U24;1930;1990;1990;1990;3;5;256;1;0;3;0;L2706;1930;1960;1999;x
Eppich;620007;U24;1930;1990;1990;1990;3;5;256;0;0;5;0;L2707;1930;1960;1999;x
Ernst;620008;U24;1930;1930;1939;1990;2;7;513;1;0;5;0;L2708;1930;1941;1999;x
Feurstein;620009;U24;1930;1930;1990;1990;2;5;256;1;0;4;0;L2709;1930;1960;1999;x
Gebauer;620010;U24;1930;1930;1930;1990;1;4;513;1;0;5;0;L2710;1930;1940;1999;x
Glaise-Horstenau;620011;U24;1930;1930;1990;1990;2;3;0;0;0;3;0;L2711;1930;1960;1999;x
Gräser;620012;U24;1939;1990;1990;1990;3;5;0;0;0;5;0;L2712;1939;1960;1999;x
Hammer;620013;U24;1930;1990;1990;1990;3;4;32;0;0;5;0;L2713;1930;1960;1999;x
Haselmayr;620014;U24;1930;1990;1990;1990;3;5;12;0;0;3;0;L2714;1930;1960;1999;x
Hickmann;620015;U24;1930;1939;1944;1990;2;5;32;2;0;4;0;L2715;1930;1960;1999;x
Kienbauer;620016;U24;1930;1990;1990;1990;3;4;0;0;0;4;0;L2716;1930;1960;1999;x
Kotik;620017;U24;1930;1930;1939;1990;2;3;513;1;0;3;0;L2717;1930;1960;1999;x
Kritek;620018;U24;1930;1930;1940;1990;2;5;514;1;0;5;0;L2718;1930;1943;1999;x
Kubena;620019;U24;1930;1930;1943;1945;2;5;0;3;0;4;0;L2719;1930;1960;1999;x
Leitner;620020;U24;1930;1930;1990;1990;2;3;0;0;0;3;0;L2720;1930;1960;1999;x
Martinek;620021;U24;1939;1990;1990;1990;3;6;384;1;0;5;0;L2721;1939;1941;1999;x
Materna;620022;U24;1930;1990;1990;1990;3;4;8;1;0;4;0;L2722;1930;1960;1999;x
Meixner von Zweienstamm;620023;U24;1930;1930;1938;1990;2;4;528;1;0;4;0;L2723;1930;1941;1999;x
Mickl;620024;U24;1939;1990;1990;1990;3;5;128;0;0;3;0;L2724;1939;1943;1999;x
Moyses;620025;U24;1938;1942;1990;1990;3;5;32;1;0;3;0;L2725;1938;1960;1999;x
Pohl;620026;U24;1930;1943;1990;1990;3;5;0;1;0;4;0;L2726;1930;1960;1999;x
Rendulic;620027;U24;1930;1990;1990;1990;3;6;128;1;0;2;0;L2727;1930;1960;1999;x
Schaffarz;620028;U24;1930;1930;1990;1990;2;4;0;0;0;4;0;L2728;1930;1960;1999;x
Schariczer von Rény;620029;U24;1930;1930;1939;1990;2;5;544;1;0;4;0;L2729;1930;1942;1999;x
Schilhawsky;620030;U24;1930;1930;1930;1990;1;5;516;1;0;5;0;L2730;1930;1943;1999;x
Schmidt;620031;U24;1941;1943;1990;1990;2;5;0;1;0;4;0;L2731;1941;1960;1999;x
Schubert;620032;U24;1930;1990;1990;1990;3;4;0;0;0;5;0;L2732;1930;1960;1999;x
Seebauer;620033;U24;1942;1945;1990;1990;2;5;128;1;0;5;0;L2733;1942;1960;1999;x
Stümpfl;620034;U24;1930;1990;1990;1990;3;4;0;0;0;4;0;L2734;1930;1960;1999;x
Towarek;620035;U24;1941;1990;1990;1990;3;6;64;0;0;5;0;L2735;1941;1960;1999;x
Vaugoin;620036;U24;1930;1930;1990;1990;2;3;1;0;0;5;0;L2736;1930;1960;1999;x
Vesely;620037;U24;1930;1990;1990;1990;3;3;0;0;0;5;0;L2737;1930;1960;1999;x
von Brudermann;620038;U24;1930;1930;1940;1990;2;4;521;2;0;4;0;L2738;1930;1943;1999;x
von Eimannsberger;620039;U24;1930;1930;1990;1990;2;4;513;1;0;5;0;L2739;1930;1960;1999;x
von Hegedüs;620040;U24;1940;1943;1990;1990;2;3;2;1;0;4;0;L2740;1940;1960;1999;x
von Hubicki;620041;U24;1930;1930;1990;1990;2;6;128;2;0;4;0;L2741;1930;1960;1999;x
von Jahn;620042;U24;1930;1941;1990;1990;2;5;16;1;0;5;0;L2742;1930;1960;1999;x
von Jansa;620043;U24;1930;1930;1939;1990;1;4;2;1;0;4;0;L2743;1930;1943;1999;x
von Schönburg-Hartenstein;620044;U24;1930;1930;1940;1990;2;5;576;2;0;5;0;L2744;1930;1941;1999;x
von Waldstätten;620045;U24;1930;1930;1990;1990;2;5;514;1;0;4;0;L2745;1930;1943;1999;x
von Wittas;620046;U24;1930;1942;1946;1990;2;5;260;2;0;5;0;L2746;1930;1960;1999;x
Wessely;620047;U24;1930;1939;1990;1990;2;5;528;2;0;4;0;L2747;1930;1941;1999;x
Zaiser;620048;U24;1930;1939;1943;1990;2;5;256;2;0;4;0;L2748;1930;1960;1999;x
Zborzil;620049;U24;1930;1943;1990;1990;3;5;0;1;0;4;0;L2749;1930;1960;1999;x
Zehner;620050;U24;1930;1930;1930;1930;0;3;2;0;0;5;0;L2750;1930;1960;1999;x
Hickmann;620051;U24;1939;1990;1990;1990;3;3;0;0;0;4;1;L2751;1939;1960;1999;x
von Brudermann;620052;U24;1930;1930;1990;1990;2;3;2560;0;0;5;1;L2752;1930;1943;1999;x
von Hegedüs;620053;U24;1930;1939;1990;1990;2;3;0;1;0;4;1;L2753;1930;1960;1999;x
von Klopfenburg;620054;U24;1930;1990;1990;1990;3;3;0;0;0;5;1;L2754;1930;1960;1999;x
Beyer;620055;U24;1930;1990;1990;1990;3;3;131584;1;0;4;2;L2755;1930;1941;1999;x
Brunner;620056;U24;1941;1990;1990;1990;3;4;16384;0;0;4;2;L2756;1941;1960;1999;x
Longin;620057;U24;1930;1990;1990;1990;3;4;32768;0;0;5;2;L2757;1930;1960;1999;x
Löhr;620058;U24;1930;1930;1990;1990;2;6;16384;1;0;3;2;L2758;1930;1960;1999;x
Schöbel;620059;U24;1939;1990;1990;1990;3;4;0;1;0;4;2;L2759;1939;1941;1999;x
Seebauer;620060;U24;1942;1945;1990;1990;2;5;4096;1;0;5;2;L2760;1942;1960;1999;x
Vodepp;620061;U24;1939;1990;1990;1990;3;4;0;0;0;5;2;L2761;1939;1943;1999;x
von Jahn;620062;U24;1941;1990;1990;1990;3;3;0;0;0;5;2;L2762;1941;1960;1999;x
von Klopfenburg;620063;U24;1940;1990;1990;1990;3;3;131072;0;0;5;2;L2763;1940;1960;1999;x
Yllam;620064;U24;1930;1930;1939;1990;2;5;4608;3;0;4;2;L2764;1930;1942;1999;x
Klimann;620065;U24;1930;1990;1990;1990;3;3;2;0;0;5;0;L2765;1930;1960;1999;x
KnU24;620066;U24;1930;1990;1990;1990;3;3;128;0;0;5;0;L2766;1930;1960;1999;x
Reinl;620067;U24;1930;1990;1990;1990;3;4;64;0;0;5;0;L2767;1930;1960;1999;x
Schenck;620068;U24;1930;1990;1990;1990;3;3;1;0;0;5;0;L2768;1930;1960;1999;x
Keil;620069;U24;1930;1990;1990;1990;3;5;0;1;0;5;0;Keil;1930;1990;1999;x
Klein;620070;U24;1930;1990;1990;1990;3;5;0;1;0;5;0;Klein;1930;1990;1999;x
Edler;620071;U24;1930;1990;1990;1990;3;5;0;1;0;5;0;Edler;1930;1990;1999;x
Leeb;620072;U24;1930;1990;1990;1990;3;5;0;1;0;5;0;U24_Leeb;1930;1990;1999;x
Meissner;620073;U24;1930;1990;1990;1990;3;5;0;1;0;5;0;Meissner;1930;1990;1999;x
von Niebecker;620074;U24;1930;1990;1990;1990;3;5;0;1;0;5;0;von_Niebecker;1930;1990;1999;x
Ortner;620075;U24;1930;1990;1990;1990;3;5;0;1;0;5;0;Ortner;1930;1990;1999;x
Osterroht;620076;U24;1930;1990;1990;1990;3;5;0;1;0;5;0;Osterroht;1930;1990;1999;x
Pichler;620077;U24;1930;1990;1990;1990;3;5;0;1;0;5;0;Pichler;1930;1990;1999;x
Seeger;620078;U24;1930;1990;1990;1990;3;6;0;1;0;5;0;Seeger;1930;1990;1999;x
Zellner;620079;U24;1930;1990;1990;1990;3;5;0;1;0;5;0;Zellner;1930;1990;1999;x
Nowotny;620080;U24;1930;1990;1990;1990;3;7;69632;2;1;5;2;Nowotny;1930;1990;1999;x
Stotz;620081;U24;1930;1990;1990;1990;3;6;12288;2;1;5;2;Stotz;1930;1990;1999;x
