Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Asbulatam;516000;AZB;1930;1990;1990;1990;3;3;16;0;0;5;0;L516000;1930;1960;1999;x
Berköz;516001;AZB;1930;1930;1939;1990;1;3;4;1;0;5;0;M516007;1930;1960;1999;x
Büsing;516002;AZB;1930;1990;1990;1990;3;3;256;0;0;5;0;L516003;1930;1960;1999;x
Dhambulatov;516003;AZB;1930;1990;1990;1990;3;2;2;0;0;5;0;L516004;1930;1960;1999;x
Gasparyan;516004;AZB;1930;1930;1990;1990;2;4;128;0;0;5;0;M516033;1930;1960;1999;x
Jumshu Kasparov;516005;AZB;1930;1942;1990;1990;3;5;20;1;0;5;0;L516008;1930;1960;1999;x
Kalzhin;516006;AZB;1930;1990;1990;1990;3;2;66;0;0;5;0;L516009;1930;1960;1999;x
Kamalyan;516007;AZB;1930;1990;1990;1990;3;2;0;0;0;5;0;L516010;1930;1960;1999;x
Kazaryan;516008;AZB;1930;1939;1990;1990;2;2;1;1;0;5;0;L516011;1930;1960;1999;x
Khamfertsyan;516009;AZB;1930;1930;1990;1990;2;3;1;0;0;5;0;L516012;1930;1960;1999;x
Khosrov Ebk;516010;AZB;1930;1990;1990;1990;3;2;0;0;0;5;0;M516028;1930;1960;1999;x
Makhov;516011;AZB;1930;1990;1990;1990;3;2;256;0;0;5;0;M516035;1930;1960;1999;x
Mamedov;516012;AZB;1930;1930;1941;1990;2;4;128;1;0;5;0;M516008;1930;1960;1999;x
Mehmandarov;516013;AZB;1930;1930;1990;1990;2;3;514;1;0;5;0;M516030;1930;1960;1999;x
Tereschenko;516014;AZB;1930;1990;1990;1990;3;3;2;0;0;5;0;L516018;1930;1960;1999;x
Thamzhakhalam;516015;AZB;1930;1990;1990;1990;3;2;0;0;0;5;0;L516019;1930;1960;1999;x
Vezirov;516016;AZB;1930;1941;1990;1990;2;3;8;1;0;5;0;L516020;1930;1960;1999;x
Krasnoshapka;516017;AZB;1930;1930;1930;1990;1;2;0;0;0;5;1;M516009;1930;1960;1999;x
Makhov;516018;AZB;1930;1990;1990;1990;3;2;1024;0;0;5;1;M516035;1930;1960;1999;x
Punt;516019;AZB;1930;1990;1990;1990;3;3;0;0;0;5;1;L516027;1930;1960;1999;x
Franssen;516020;AZB;1930;1930;1990;1990;2;3;0;0;0;5;2;L516030;1930;1960;1999;x
Golzhian;516021;AZB;1930;1990;1990;1990;3;2;16384;0;0;5;2;L516031;1930;1960;1999;x
Kamalyan;516022;AZB;1930;1990;1990;1990;3;2;4096;0;0;5;2;M516010;1930;1960;1999;x
Kazaryan;516023;AZB;1930;1990;1990;1990;3;4;65536;0;0;5;2;M516037;1930;1960;1999;x
Krasnoshapka;516024;AZB;1930;1930;1930;1990;1;2;131072;1;0;5;2;M516009;1930;1960;1999;x
