Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
David;596101;U05;1944;1946;1990;1990;2;3;4;1;0;5;0;L574000;1944;1960;1999;x
Defraiteur;596102;U05;1939;1943;1946;1990;1;5;128;2;0;5;0;M574028;1939;1960;1999;x
de Vlaminge;596103;U05;1930;1930;1930;1990;1;6;3;1;0;5;0;M574006;1930;1945;1999;x
Deruycke;596104;U05;1930;1930;1990;1990;2;4;2;0;0;5;0;M574005;1930;1946;1999;x
Gerima;596105;U05;1945;1990;1990;1990;3;3;256;0;0;5;0;L574004;1945;1960;1999;x
Kasavubu;596106;U05;1939;1941;1944;1990;1;4;32;2;0;5;0;M574027;1939;1960;1999;x
Lapierre;596107;U05;1930;1990;1990;1990;3;5;528;1;0;5;0;M574024;1930;1941;1999;x
LeMagnen;596108;U05;1930;1930;1990;1990;2;4;514;1;0;5;0;M574029;1930;1942;1999;x
Manera;596109;U05;1930;1990;1990;1990;3;4;64;0;0;5;0;L574008;1930;1960;1999;x
Mboma;596110;U05;1943;1945;1990;1990;2;3;5;1;0;5;0;L574009;1943;1960;1999;x
Micombero;596111;U05;1944;1990;1990;1990;3;4;256;0;0;5;0;M574022;1944;1960;1999;x
Mobutu;596112;U05;1943;1945;1946;1990;1;4;1;2;0;5;0;M574030;1943;1960;1999;x
Mutara III;596113;U05;1930;1930;1930;1930;0;2;1;0;0;5;0;M574001;1930;1960;1999;x
Renondeau;596114;U05;1930;1990;1990;1990;3;3;2;0;0;5;0;M574026;1930;1943;1999;x
Teissier;596115;U05;1930;1990;1990;1990;3;3;1;0;0;5;0;L574014;1930;1960;1999;x
van Reynden;596116;U05;1930;1930;1939;1990;1;5;0;1;0;5;0;M574008;1930;1960;1999;x
Berghen;596117;U05;1940;1990;1990;1990;3;3;1024;0;0;5;1;M574031;1940;1960;1999;x
Mbonyumutwa;596118;U05;1944;1990;1990;1990;3;2;0;0;0;5;1;M574032;1944;1960;1999;x
Nillesen;596119;U05;1941;1990;1990;1990;3;3;0;0;0;5;1;L574018;1941;1960;1999;x
Raffage;596120;U05;1943;1946;1990;1990;2;4;4096;1;0;5;1;M574033;1943;1960;1999;x
van Reynden;596121;U05;1930;1930;1990;1990;1;3;0;1;0;5;1;M574008;1930;1960;1999;x
Berghen;596122;U05;1940;1990;1990;1990;3;4;131072;0;0;5;2;M574031;1940;1960;1999;x
Gerima;596123;U05;1945;1990;1990;1990;3;3;0;0;0;5;2;L574004;1945;1960;1999;x
Mahongo;596124;U05;1943;1990;1990;1990;3;2;0;0;0;5;2;L574023;1943;1960;1999;x
Manera;596125;U05;1930;1990;1990;1990;3;3;0;0;0;5;2;L574008;1930;1960;1999;x
Mwambutsa IV;596126;U05;1930;1930;1939;1990;2;2;0;1;0;5;2;M574011;1930;1960;1999;x
Pascal;596127;U05;1930;1940;1990;1990;2;4;16384;1;0;5;2;M574010;1930;1960;1999;x
Dhanis;596128;U05;1897;1897;1935;1935;2;7;261;3;0;5;0;333;1897;1900;1999;x
Van Dorpe;596129;U05;1897;1935;1935;1935;3;5;256;1;0;5;0;unknown;1897;1914;1999;x
Dielman;596130;U05;1898;1935;1935;1935;3;5;256;1;0;5;0;unknown;1898;1914;1999;x
Tonglet;596131;U05;1898;1935;1935;1935;3;5;256;1;0;5;0;unknown;1900;1914;1999;x
Seghers;596132;U05;1901;1935;1935;1935;3;5;256;1;0;5;0;unknown;1903;1914;1999;x
Warnant;596133;U05;1902;1935;1935;1935;3;5;256;1;0;5;0;unknown;1904;1914;1999;x
Gomine;596134;U05;1904;1935;1935;1935;3;5;256;1;0;5;0;unknown;1906;1935;1999;x
Paternoster;596135;U05;1905;1935;1935;1935;3;5;256;1;0;5;0;unknown;1907;1935;1999;x
Rom;596136;U05;1897;1935;1935;1935;3;7;256;3;0;5;0;334;1897;1935;1999;x
Wahis;596137;U05;1897;1908;1935;1935;2;6;256;2;0;5;0;335;1897;1935;1999;x
Costermans;596138;U05;1897;1897;1935;1935;2;7;257;3;0;5;0;336;1897;1906;1999;x
Jacques;596139;U05;1897;1935;1935;1935;3;7;256;3;0;5;0;337;1897;1908;1999;x
Eichel;596140;U05;1930;1930;1990;1990;2;6;512;1;0;5;1;L843;1930;1945;1999;x
Faber;596141;U05;1930;1990;1990;1990;3;7;8704;1;0;5;1;L844;1930;1945;1999;x
