Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bastin;68000;BEL;1938;1990;1990;1990;3;4;0;0;0;5;0;L68000;1938;1960;1999;x
Beernaerts;68001;BEL;1930;1990;1990;1990;3;3;0;0;0;5;0;L68001;1930;1939;1999;x
Chardome;68002;BEL;1930;1930;1990;1990;2;5;264;0;0;2;0;L68002;1930;1950;1999;x
Collyns;68003;BEL;1930;1930;1938;1990;1;4;513;2;0;5;0;L68003;1930;1960;1999;x
Daufresne de la Chevalerie;68004;BEL;1930;1942;1990;1990;2;5;0;1;0;5;0;L68004;1930;1960;1999;x
de Boussu-Walcourt;68005;BEL;1930;1930;1945;1990;2;3;2;1;0;5;0;L68005;1930;1946;1999;x
de Grave;68006;BEL;1939;1990;1990;1990;3;3;0;0;0;5;0;L68006;1939;1960;1999;x
de Krahe;68007;BEL;1930;1930;1990;1990;2;3;2;0;0;5;0;L68007;1930;1939;1999;x
Deffontaine;68008;BEL;1930;1939;1990;1990;2;5;2;1;0;5;0;L68008;1930;1955;1999;x
Denis;68009;BEL;1930;1937;1990;1990;2;3;2;1;0;5;0;L68009;1930;1960;1999;x
Descamps;68010;BEL;1938;1990;1990;1990;3;5;257;0;0;5;0;L68010;1938;1960;1999;x
Drubbel;68011;BEL;1930;1990;1990;1990;3;6;513;2;0;5;0;L68011;1930;1938;1999;x
Duthoy;68012;BEL;1942;1990;1990;1990;3;3;64;0;0;5;0;L68012;1942;1960;1999;x
Gerard;68013;BEL;1930;1942;1990;1990;2;5;2;1;0;5;0;L68013;1930;1960;1999;x
Janssens;68014;BEL;1944;1990;1990;1990;3;3;1;0;0;5;0;L68014;1944;1960;1999;x
Keyaerts;68015;BEL;1930;1930;1990;1990;2;5;2;0;0;5;0;L68015;1930;1950;1999;x
Liebrecht;68016;BEL;1937;1990;1990;1990;3;3;128;0;0;5;0;L68016;1937;1960;1999;x
Michez;68017;BEL;1930;1940;1990;1990;2;3;128;1;0;5;0;L68017;1930;1960;1999;x
Michiels;68018;BEL;1930;1930;1990;1990;2;5;2;0;0;5;0;L68018;1930;1950;1999;x
Nuyten;68019;BEL;1930;1930;1990;1990;2;5;513;1;0;5;0;L68019;1930;1938;1999;x
Pire;68020;BEL;1937;1942;1990;1990;2;5;272;1;0;5;0;L68020;1937;1950;1999;x
Piron;68021;BEL;1939;1941;1990;1990;2;6;128;1;0;5;0;L68021;1939;1960;1999;x
Selliers de Moranville;68022;BEL;1930;1930;1990;1990;2;3;514;1;0;5;0;L68022;1930;1960;1999;x
Six;68023;BEL;1940;1990;1990;1990;3;3;0;0;0;5;0;L68023;1940;1960;1999;x
Strydonck de Burkel;68024;BEL;1930;1930;1930;1940;1;5;2;3;0;5;0;L68024;1930;1946;1999;x
Triest;68025;BEL;1930;1990;1990;1990;3;3;64;0;0;5;0;L68025;1930;1960;1999;x
van Caubergh;68026;BEL;1930;1930;1990;1990;2;5;1;1;0;5;0;L68026;1930;1960;1999;x
van den Bergen;68027;BEL;1930;1930;1930;1990;1;5;66;0;0;5;0;L68027;1930;1960;1999;x
van der Hofstadt;68028;BEL;1930;1937;1990;1990;2;4;2;1;0;5;0;L68028;1930;1960;1999;x
van der Veken;68029;BEL;1930;1942;1990;1990;2;5;2;1;0;5;0;L68029;1930;1947;1999;x
van Overstraeten;68030;BEL;1930;1930;1942;1990;2;5;513;2;0;5;0;L68030;1930;1950;1999;x
van Langehove;68031;BEL;1938;1990;1990;1990;3;3;32;0;0;5;0;L68031;1938;1960;1999;x
van Parys;68032;BEL;1942;1990;1990;1990;3;3;0;0;0;5;0;L68032;1942;1960;1999;x
Wibier;68033;BEL;1937;1990;1990;1990;3;3;0;0;0;5;0;L68033;1937;1960;1999;x
Billet;68034;BEL;1938;1990;1990;1990;3;5;0;0;0;5;1;L68034;1938;1942;1999;x
Blasin;68035;BEL;1930;1990;1990;1990;3;4;1024;0;0;5;1;L68035;1930;1960;1999;x
Daumerie;68036;BEL;1930;1990;1990;1990;3;3;0;0;0;5;1;L68036;1930;1944;1999;x
Geluyckens;68037;BEL;1941;1990;1990;1990;3;4;0;0;0;5;1;L68037;1941;1960;1999;x
Goethals;68038;BEL;1944;1990;1990;1990;3;3;0;0;0;5;1;L68038;1944;1990;1999;x
Hellemans;68039;BEL;1945;1990;1990;1990;3;3;0;0;0;5;1;L68039;1945;1960;1999;x
Timmermans;68040;BEL;1930;1930;1990;1990;2;5;2048;0;0;5;1;L68040;1930;1960;1999;x
Daumerie;68041;BEL;1930;1990;1990;1990;3;4;131072;0;0;5;2;L68041;1930;1944;1999;x
de Hemricourt de Grunne;68042;BEL;1938;1990;1990;1990;3;6;0;2;0;5;2;L68042;1938;1960;1999;x
