Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bauzus;517000;BLR;1930;1990;1990;1990;3;4;0;0;0;5;0;L517000;1930;1960;1999;x
Bene;517001;BLR;1930;1990;1990;1990;3;3;0;0;0;5;0;L517001;1930;1960;1999;x
Berger;517002;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517002;1930;1960;1999;x
Bodnar;517003;BLR;1930;1990;1990;1990;3;4;128;0;0;5;0;L517003;1930;1960;1999;x
Brandt;517004;BLR;1930;1990;1990;1990;3;3;32;0;0;5;0;L517004;1930;1960;1999;x
Bronsart von Schellendorff;517005;BLR;1930;1990;1990;1990;3;3;128;0;0;5;0;L517005;1930;1960;1999;x
Bucher;517006;BLR;1930;1990;1990;1990;3;3;2;0;0;5;0;L517006;1930;1960;1999;x
Crisolli;517007;BLR;1930;1990;1990;1990;3;3;0;1;0;5;0;L517007;1930;1960;1999;x
Domansky;517008;BLR;1930;1990;1990;1990;3;3;64;0;0;5;0;L517008;1930;1960;1999;x
Dowbor-Musnicki;517009;BLR;1930;1939;1990;1990;2;3;1;2;0;5;0;L517009;1930;1960;1999;x
Dürking;517010;BLR;1930;1990;1990;1990;3;3;8;0;0;5;0;L517010;1930;1960;1999;x
Frömert;517011;BLR;1930;1990;1990;1990;3;3;4;0;0;5;0;L517011;1930;1960;1999;x
Förster;517012;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517012;1930;1960;1999;x
Heyden;517013;BLR;1930;1990;1990;1990;3;3;32;0;0;5;0;L517013;1930;1960;1999;x
Kalinovski;517014;BLR;1930;1939;1990;1990;2;4;4;1;0;5;0;L517014;1930;1960;1999;x
Kaminski;517015;BLR;1930;1930;1990;1990;2;2;0;1;0;5;0;M517048;1930;1960;1999;x
Mazuw;517016;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517016;1930;1960;1999;x
Petrukhin;517017;BLR;1930;1990;1990;1990;3;4;256;0;0;5;0;L517017;1930;1960;1999;x
Pokrovski;517018;BLR;1930;1930;1990;1990;2;2;0;0;0;5;0;M517007;1930;1960;1999;x
Ponomarenko  N.;517019;BLR;1930;1990;1990;1990;3;3;4;0;0;5;0;L517019;1930;1960;1999;x
Ponomarenko  P.;517020;BLR;1930;1930;1930;1990;1;3;1;1;0;5;0;M517008;1930;1960;1999;x
Primakov;517021;BLR;1930;1930;1990;1990;2;4;8;0;0;5;0;L517021;1930;1960;1999;x
Sharangovich;517022;BLR;1930;1930;1990;1990;2;4;256;0;0;5;0;L517022;1930;1960;1999;x
Shermentski;517023;BLR;1930;1939;1990;1990;2;4;128;1;0;5;0;L517023;1930;1960;1999;x
Suerata;517024;BLR;1930;1930;1939;1990;1;3;0;1;0;5;0;M517045;1930;1960;1999;x
Tschernurkin;517025;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517025;1930;1960;1999;x
von Bassewitz-Behr;517026;BLR;1930;1990;1990;1990;3;2;0;0;0;5;0;L517026;1930;1960;1999;x
von Eberstein;517027;BLR;1930;1930;1990;1990;2;2;0;0;0;5;0;L517027;1930;1960;1999;x
von Eichstedt;517028;BLR;1930;1990;1990;1990;3;3;256;0;0;5;0;L517028;1930;1960;1999;x
von Gottberg;517029;BLR;1930;1930;1990;1990;2;2;0;0;0;5;0;L517029;1930;1960;1999;x
Waldeck und Pyrmont;517030;BLR;1930;1930;1990;1990;2;2;0;1;0;5;0;L517030;1930;1960;1999;x
Wallner;517031;BLR;1930;1990;1990;1990;3;3;64;0;0;5;0;L517031;1930;1960;1999;x
Wünnenberg;517032;BLR;1930;1930;1990;1990;2;3;0;2;0;5;0;L517032;1930;1960;1999;x
Elster;517033;BLR;1930;1990;1990;1990;3;3;0;0;0;5;1;L517033;1930;1960;1999;x
Hoffmann;517034;BLR;1930;1939;1942;1990;2;3;0;2;0;5;1;L517034;1930;1960;1999;x
Kurzr;517035;BLR;1930;1939;1990;1990;3;3;1024;1;0;5;1;M517050;1930;1960;1999;x
Lesik;517036;BLR;1930;1938;1941;1990;1;4;0;2;0;5;1;M517009;1930;1960;1999;x
Märtens;517037;BLR;1930;1930;1990;1990;2;4;4096;0;0;5;1;M517051;1930;1960;1999;x
Baur;517038;BLR;1930;1990;1990;1990;3;4;4096;0;0;5;2;M517054;1930;1960;1999;x
Cheryakov;517039;BLR;1930;1930;1940;1990;1;4;32768;1;0;5;2;M517010;1930;1960;1999;x
Krüger;517040;BLR;1930;1990;1990;1990;3;3;4096;0;0;5;2;L517040;1930;1960;1999;x
von Bönigk;517041;BLR;1930;1990;1990;1990;3;3;0;0;0;5;2;L517041;1930;1960;1999;x
von Chamier-Glisczinski;517042;BLR;1930;1941;1990;1990;2;3;16384;1;0;5;2;L517042;1930;1960;1999;x
von Falkowski;517043;BLR;1930;1990;1990;1990;3;2;0;0;0;5;2;L517043;1930;1960;1999;x
von Rudolf;517044;BLR;1930;1941;1990;1990;3;3;0;1;0;5;2;L517044;1930;1960;1999;x
