Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Manola;546018;BOS;1943;1948;1990;1990;2;5;2048;0;0;5;1;LSrecko_Manola;1943;1970;1999;x
Cemalovic;546020;BOS;1951;1965;1990;1990;2;6;0;1;0;5;2;LEnver_Cemalovic;1951;1970;1999;x
Duric R.;546007;BOS;1944;1990;1990;1990;3;4;17;1;0;5;0;LRadoslav_Duric;1944;1970;1999;x
Hadziefendic;546000;BOS;1941;1990;1990;1990;3;4;1;1;0;5;0;BOS-KR_Muhamed_Hadziefendic;1941;1963;1999;x
Hamovic;546001;BOS;1944;1947;1955;1990;1;6;7;2;0;5;0;LRatomir_Rade_Hamovic;1944;1970;1999;x
Ivkovic;546009;BOS;1946;1990;1990;1990;3;5;1;1;0;5;0;LObren_Ivkovic;1946;1970;1999;x
Markulj;546002;BOS;1936;1990;1990;1990;3;5;268435456;1;0;5;0;BOS-KR_Ivan_Markulj;1936;1954;1999;x
Martinovic, R.;546003;BOS;1946;1956;1990;1990;2;5;32;1;0;5;0;LRatko_Martinovic;1946;1970;1999;x
Moraca;546010;BOS;1944;1948;1963;1990;1;7;256;2;0;5;0;LMilutin_Moraca;1944;1970;1999;x
Petovar;546004;BOS;1946;1968;1990;1990;3;5;0;1;0;5;0;LRudolf_Rudi_Petovar;1946;1970;1999;x
Predojevic;546005;BOS;1944;1960;1990;1990;2;5;4;1;0;5;0;LDurad_Predojevic;1944;1970;1999;x
Rodic;546008;BOS;1944;1945;1990;1990;2;7;4;2;0;5;0;LSlavko_Rodic;1944;1970;1999;x
von Glogovac;546006;BOS;1930;1940;1990;1990;2;5;518;2;0;5;0;LGojkomir_von_Glogovac;1930;1946;1999;x
Halilovic;546011;BOS;1940;1990;1990;1990;3;4;8;0;0;5;0;L546011;1940;1960;1999;x
Hampel;546012;BOS;1944;1990;1990;1990;3;4;4194304;1;0;5;0;M546008;1944;1960;1999;x
Jancic;546013;BOS;1939;1990;1990;1990;3;3;128;0;0;5;0;L546014;1939;1960;1999;x
Komsic;546014;BOS;1942;1990;1990;1990;3;5;256;0;0;5;0;L546016;1942;1960;1999;x
Rilke;546015;BOS;1930;1940;1990;1990;2;3;1;1;0;5;0;L546018;1930;1960;1999;x
Toptani;546016;BOS;1930;1930;1930;1990;1;3;514;1;0;5;0;M546011;1930;1960;1999;x
Vujicic;546017;BOS;1930;1942;1990;1990;3;3;2;1;0;5;0;M546030;1930;1960;1999;x
Latific;546019;BOS;1938;1990;1990;1990;3;2;0;0;0;5;1;L546031;1938;1960;1999;x
Omeragic;546021;BOS;1939;1990;1990;1990;3;2;65536;0;0;5;2;L546037;1939;1960;1999;x
Pilaw;546022;BOS;1930;1990;1990;1990;3;2;16384;0;0;5;2;L546038;1930;1960;1999;x
Laxa;546030;BOS;1930;1930;1941;1990;1;6;513;1;0;4;0;L44609;1930;1945;1999;x
