Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Creston;36000;U21;1930;1990;1990;1990;1;5;0;1;0;5;0;M8506;1930;1990;1999;x
Andouard;36001;U21;1930;1990;1990;1990;0;7;1536;1;0;5;1;M8504;1930;1990;1999;x
Rol-Tanguy;36002;U21;1930;1990;1990;1990;3;5;8;1;0;5;0;M8514;1930;1990;1999;x
Le Gorgeu;36003;U21;1930;1990;1990;1990;3;5;256;1;0;5;0;M8522;1930;1990;1999;x
Le Gloan;36004;U21;1930;1990;1990;1990;3;5;4096;1;0;5;2;L36004;1930;1990;1999;x
Demozay;36005;U21;1930;1990;1990;1990;1;5;0;1;0;5;2;M8533;1930;1990;1999;x
d'Argenlieu;36006;U21;1930;1990;1990;1990;1;5;0;1;0;5;1;L36006;1930;1990;1999;x
Brébant;36007;U21;1930;1990;1990;1990;1;5;512;1;0;5;0;L36007;1930;1990;1999;x
Andrieux;36008;U21;1930;1990;1990;1990;3;5;0;1;0;5;2;L36008;1930;1990;1999;x
Simon;36009;U21;1930;1990;1990;1990;3;5;514;1;0;5;0;M8524;1930;1990;1999;x
Abalan;36010;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36010;1930;1990;1999;x
Amilakvari;36011;U21;1930;1990;1990;1990;3;5;262144;1;0;5;0;L36011;1930;1990;1999;x
Arzel;36012;U21;1930;1990;1990;1990;3;5;0;1;0;5;0;L36012;1930;1990;1999;x
Auboyneau;36013;U21;1930;1990;1990;1990;3;5;0;1;0;5;1;L36013;1930;1990;1999;x
Babonneau;36014;U21;1930;1990;1990;1990;3;5;0;1;0;5;0;L36014;1930;1990;1999;x
Beaugé-Berubé;36015;U21;1930;1990;1990;1990;3;4;0;1;0;5;1;L36015;1930;1990;1999;x
Bécourt-Foch;36016;U21;1930;1990;1990;1990;3;5;0;1;0;5;2;L36016;1930;1990;1999;x
Bernier;36017;U21;1930;1990;1990;1990;3;2;0;0;0;5;1;L36017;1930;1990;1999;x
Bollot;36018;U21;1930;1990;1990;1990;3;5;0;1;0;5;0;L36018;1930;1990;1999;x
Bourgeois;36019;U21;1930;1990;1990;1990;3;5;0;1;0;5;0;L36019;1930;1990;1999;x
Broudin;36020;U21;1930;1990;1990;1990;3;2;0;1;0;5;1;L36020;1930;1990;1999;x
Château-Jobert;36021;U21;1930;1990;1990;1990;3;4;0;1;0;5;0;L36021;1930;1990;1999;x
Claudius-Petit;36022;U21;1930;1990;1990;1990;3;2;0;1;0;5;2;L36022;1930;1990;1999;x
Cotteret;36023;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36023;1930;1990;1999;x
Coué;36024;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36024;1930;1990;1999;x
Crocq;36025;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36025;1930;1990;1999;x
Deve;36026;U21;1930;1990;1990;1990;3;5;262272;1;0;5;0;L36026;1930;1990;1999;x
Dio;36027;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36027;1930;1990;1999;x
Dodelier;36028;U21;1930;1990;1990;1990;3;2;0;1;0;5;2;L36028;1930;1990;1999;x
Drogou;36029;U21;1930;1990;1990;1990;3;4;8192;1;0;5;1;L36029;1930;1990;1999;x
Dupuis;36030;U21;1930;1990;1990;1990;3;2;0;1;0;5;1;L36030;1930;1990;1999;x
Fitamant;36031;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36031;1930;1990;1999;x
Folliot;36032;U21;1930;1990;1990;1990;2;5;0;1;0;5;0;L36032;1930;1990;1999;x
Fruchaud;36033;U21;1930;1990;1990;1990;3;4;0;1;0;5;0;L36033;1930;1990;1999;x
Guaffi;36034;U21;1930;1990;1990;1990;3;3;2048;1;0;5;1;L36034;1930;1990;1999;x
Guellec;36035;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36035;1930;1990;1999;x
Guéna;36036;U21;1930;1990;1990;1990;3;4;0;1;0;5;0;L36036;1930;1990;1999;x
Guillamet;36037;U21;1930;1990;1990;1990;3;3;0;1;0;5;1;L36037;1930;1990;1999;x
Guillou;36038;U21;1930;1990;1990;1990;3;3;0;1;0;5;2;L36038;1930;1990;1999;x
Halna;36039;U21;1940;1990;1990;1990;3;4;0;1;0;5;0;L36039;1940;1990;1999;x
Henry;36040;U21;1930;1990;1990;1990;3;1;0;0;0;5;0;L36040;1930;1990;1999;x
Hervé;36041;U21;1930;1990;1990;1990;3;3;0;0;0;5;0;L36041;1930;1990;1999;x
Heurtaux;36042;U21;1930;1990;1990;1990;3;4;0;1;0;5;0;L36042;1930;1990;1999;x
Jaouen;36043;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36043;1930;1990;1999;x
Jestin;36044;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36044;1930;1990;1999;x
Jochaud;36045;U21;1930;1990;1990;1990;3;2;0;1;0;5;0;L36045;1930;1990;1999;x
Kerléo;36046;U21;1930;1990;1990;1990;3;5;0;1;0;5;0;L36046;1930;1990;1999;x
La Combe;36047;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36047;1930;1990;1999;x
Lagatu;36048;U21;1930;1990;1990;1990;3;3;0;1;0;5;2;L36048;1930;1990;1999;x
de la Grandière;36049;U21;1930;1990;1990;1990;3;4;0;1;0;5;0;L36049;1930;1990;1999;x
Lalande;36050;U21;1930;1990;1990;1990;3;3;262144;1;0;5;0;L36050;1930;1990;1999;x
Langlois;36051;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36051;1930;1990;1999;x
Laouénan;36052;U21;1930;1990;1990;1990;3;5;0;1;0;5;1;L36052;1930;1990;1999;x
Le Bastard;36053;U21;1930;1990;1990;1990;3;4;0;1;0;5;0;L36053;1930;1990;1999;x
Le Cocq;36054;U21;1930;1990;1990;1990;2;6;512;1;0;5;0;M8531;1930;1990;1999;x
Le Coniac;36055;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36055;1930;1990;1999;x
Léger;36056;U21;1939;1990;1990;1990;3;2;0;0;0;5;0;L36056;1939;1990;1999;x
Le Goasguen;36057;U21;1930;1990;1990;1990;3;5;132;2;0;5;0;L36057;1930;1990;1999;x
Le Goffic;36058;U21;1930;1990;1990;1990;3;3;0;0;0;5;0;L36058;1930;1990;1999;x
Le Gourierec;36059;U21;1941;1990;1990;1990;3;2;0;1;0;5;0;L36059;1941;1990;1999;x
Le Guen;36060;U21;1930;1990;1990;1990;3;5;0;1;0;5;1;L36060;1930;1990;1999;x
Le Hénaff;36061;U21;1942;1990;1990;1990;3;3;0;1;0;5;0;L36061;1942;1990;1999;x
Le Sant;36062;U21;1930;1990;1990;1990;3;3;0;1;0;5;1;L36062;1930;1990;1999;x
J. Mahé;36063;U21;1930;1990;1990;1990;3;3;0;1;0;5;2;L36063;1930;1990;1999;x
Y. Mahé;36064;U21;1930;1990;1990;1990;3;3;0;1;0;5;2;L36064;1930;1990;1999;x
de Maismont;36065;U21;1930;1990;1990;1990;3;4;0;1;0;5;2;L36065;1930;1990;1999;x
Monfort;36066;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36066;1930;1990;1999;x
Moore;36067;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36067;1930;1990;1999;x
Paris;36068;U21;1930;1990;1990;1990;3;4;0;1;0;5;0;L36068;1930;1990;1999;x
Podeur;36069;U21;1940;1990;1990;1990;3;4;0;1;0;5;0;L36069;1940;1990;1999;x
Pouliquen;36070;U21;1930;1990;1990;1990;3;4;0;1;0;5;0;L36070;1930;1990;1999;x
Rolland;36071;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36071;1930;1990;1999;x
Romans-Petit;36072;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36072;1930;1990;1999;x
Roudaut;36073;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36073;1930;1990;1999;x
Rubaud;36074;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36074;1930;1990;1999;x
Roux;36075;U21;1930;1990;1990;1990;3;4;0;1;0;5;0;L36075;1930;1990;1999;x
Savary;36076;U21;1941;1990;1990;1990;3;3;0;1;0;5;0;L36076;1941;1990;1999;x
Savey;36077;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36077;1930;1990;1999;x
Seité;36078;U21;1943;1990;1990;1990;3;4;0;1;0;5;0;L36078;1943;1990;1999;x
Simon;36079;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36079;1930;1990;1999;x
d'Argenlieu;36080;U21;1930;1990;1990;1990;3;6;1024;3;2;5;1;L36080;1930;1990;1999;x
Tilly;36081;U21;1930;1990;1990;1990;3;2;0;1;0;5;1;L36081;1930;1990;1999;x
Troadec;36082;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36082;1930;1990;1999;x
Troël;36083;U21;1943;1990;1990;1990;3;2;0;1;0;5;0;L36083;1943;1990;1999;x
Vallée;36084;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36084;1930;1990;1999;x
Vergos;36085;U21;1930;1990;1990;1990;3;2;0;0;0;5;1;L36085;1930;1990;1999;x
Vibert;36086;U21;1930;1990;1990;1990;3;5;0;1;0;5;1;L36086;1930;1990;1999;x
Villoutreys;36087;U21;1930;1990;1990;1990;3;2;0;1;0;5;0;L36087;1930;1990;1999;x
Vourc'h;36088;U21;1930;1990;1990;1990;3;3;0;1;0;5;0;L36088;1930;1990;1999;x
Bon;36089;U21;1930;1990;1990;1990;3;3;0;1;0;5;2;L36089;1930;1990;1999;x
Borrossi;36090;U21;1930;1990;1990;1990;3;3;0;1;0;5;2;L36090;1930;1990;1999;x
Bouguen;36091;U21;1930;1990;1990;1990;3;3;0;1;0;5;2;L36091;1930;1990;1999;x
Boutin;36092;U21;1930;1990;1990;1990;3;2;0;1;0;5;2;L36092;1930;1990;1999;x
Beasse;36093;U21;1930;1990;1990;1990;3;3;0;1;0;5;2;L36093;1930;1990;1999;x
De Forges;36094;U21;1930;1990;1990;1990;3;3;0;1;0;5;2;L36094;1930;1990;1999;x
Delery;36095;U21;1930;1990;1990;1990;3;2;0;1;0;5;2;L36095;1930;1990;1999;x
Halna du Fretay;36096;U21;1930;1990;1990;1990;3;2;0;1;0;5;2;L36096;1930;1990;1999;x
