Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adams;572000;CAL;1930;1942;1990;1990;2;4;64;1;0;5;0;L572000;1930;1960;1999;x
Andreotti;572001;CAL;1930;1990;1990;1990;3;5;128;0;0;5;0;L572001;1930;1960;1999;x
Barker;572002;CAL;1930;1990;1990;1990;3;5;256;0;0;5;0;L572002;1930;1960;1999;x
Barlow;572003;CAL;1930;1946;1990;1990;2;5;128;1;0;5;0;L572003;1930;1960;1999;x
Barrow;572004;CAL;1930;1990;1990;1990;3;3;0;0;0;5;0;L572004;1930;1960;1999;x
Bodin;572005;CAL;1930;1942;1990;1990;2;5;128;1;0;5;0;L572005;1930;1960;1999;x
Bozeman;572006;CAL;1930;1990;1990;1990;3;4;32;0;0;5;0;L572006;1930;1960;1999;x
Burgin;572007;CAL;1930;1942;1990;1990;2;5;16;1;0;5;0;L572007;1930;1960;1999;x
Byrne;572008;CAL;1930;1941;1943;1990;1;6;1;2;0;5;0;M572027;1930;1960;1999;x
Cannon;572009;CAL;1930;1930;1990;1990;2;6;1;0;0;5;0;L572009;1930;1960;1999;x
Cozine;572010;CAL;1930;1990;1990;1990;3;5;256;0;0;5;0;L572010;1930;1960;1999;x
Davies;572011;CAL;1930;1943;1990;1990;2;4;1;1;0;5;0;L572011;1930;1960;1999;x
Forbes;572012;CAL;1930;1930;1930;1990;1;7;516;1;0;5;0;L572012;1930;1943;1999;x
Gibson;572013;CAL;1930;1941;1990;1990;2;5;2;1;0;5;0;L572013;1930;1960;1999;x
Gidley;572014;CAL;1930;1943;1990;1990;2;5;1;1;0;5;0;L572014;1930;1960;1999;x
Glucas;572015;CAL;1930;1942;1990;1990;2;6;4;1;0;5;0;L572015;1930;1960;1999;x
Halverson;572016;CAL;1930;1990;1990;1990;3;6;128;0;0;5;0;L572016;1930;1960;1999;x
Hartnett;572017;CAL;1930;1942;1990;1990;2;6;0;1;0;5;0;M572026;1930;1960;1999;x
Iffland;572018;CAL;1930;1990;1990;1990;3;4;64;0;0;5;0;L572018;1930;1960;1999;x
James;572019;CAL;1930;1930;1938;1990;1;7;5;1;0;5;0;M572008;1930;1960;1999;x
Lotz;572020;CAL;1930;1939;1990;1990;2;6;4;1;0;5;0;L572020;1930;1960;1999;x
Lowenberg;572021;CAL;1941;1990;1990;1990;3;3;0;0;0;5;0;L572021;1941;1960;1999;x
Minetti;572022;CAL;1930;1990;1990;1990;3;5;128;0;0;5;0;L572022;1930;1960;1999;x
Moore;572023;CAL;1930;1941;1990;1990;2;5;256;1;0;5;0;L572023;1930;1960;1999;x
Owens;572024;CAL;1942;1990;1990;1990;3;3;0;0;0;5;0;L572024;1942;1960;1999;x
Ragsdale;572025;CAL;1940;1990;1990;1990;3;4;32;0;0;5;0;L572025;1940;1960;1999;x
Rataczak;572026;CAL;1930;1990;1990;1990;3;5;4;0;0;5;0;L572026;1930;1960;1999;x
Read;572027;CAL;1930;1990;1990;1990;3;4;2;0;0;5;0;L572027;1930;1960;1999;x
Rees;572028;CAL;1930;1990;1990;1990;3;5;256;0;0;5;0;L572028;1930;1960;1999;x
Rodriguez;572029;CAL;1930;1990;1990;1990;3;3;1;0;0;5;0;L572029;1930;1960;1999;x
Scoggins;572030;CAL;1930;1990;1990;1990;3;5;4;0;0;5;0;L572030;1930;1960;1999;x
Taylor;572031;CAL;1930;1942;1944;1990;1;6;4;2;0;5;0;L572031;1930;1960;1999;x
Tempest;572032;CAL;1930;1990;1990;1990;3;4;256;0;0;5;0;L572032;1930;1943;1999;x
Temple;572033;CAL;1930;1930;1940;1990;1;6;4;1;0;5;0;M572007;1930;1960;1999;x
Testa;572034;CAL;1938;1942;1990;1990;2;6;4;1;0;5;0;L572034;1938;1960;1999;x
Whinnery;572035;CAL;1930;1990;1990;1990;3;4;256;0;0;5;0;L572035;1930;1960;1999;x
Worley;572036;CAL;1930;1930;1940;1990;1;5;1;1;0;5;0;L572036;1930;1960;1999;x
Andrews;572037;CAL;1930;1990;1990;1990;3;6;1024;0;0;5;1;L572037;1930;1960;1999;x
Cullen;572038;CAL;1938;1990;1990;1990;3;4;0;0;0;5;1;L572038;1938;1960;1999;x
Dorman;572039;CAL;1930;1990;1990;1990;3;6;4096;0;0;5;1;M572028;1930;1960;1999;x
Jardine;572040;CAL;1930;1930;1990;1990;2;4;0;1;0;5;1;L572040;1930;1960;1999;x
McCall;572041;CAL;1930;1990;1990;1990;3;5;1024;0;0;5;1;L572041;1930;1960;1999;x
Olmstead;572042;CAL;1930;1990;1990;1990;3;5;4096;0;0;5;1;L572042;1930;1960;1999;x
