Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abeille;534000;CAM;1939;1990;1990;1990;3;3;32;0;0;5;0;M534029;1939;1960;1999;x
Bissagnet;534001;CAM;1941;1990;1990;1990;3;3;16;0;0;5;0;M534022;1941;1960;1999;x
Bonnet;534002;CAM;1930;1941;1943;1990;1;5;4;2;0;5;0;M534025;1930;1960;1999;x
Hugo;534003;CAM;1939;1943;1990;1990;2;3;4;1;0;5;0;M534030;1939;1960;1999;x
Maziéras;534004;CAM;1939;1990;1990;1990;3;4;2;0;0;5;0;M534028;1939;1945;1999;x
Motte;534005;CAM;1939;1990;1990;1990;3;3;256;0;0;5;0;M534034;1939;1960;1999;x
Priaux;534006;CAM;1930;1939;1990;1990;2;3;0;1;0;5;0;M534007;1930;1944;1999;x
Ravel-Ecourd;534007;CAM;1930;1930;1990;1990;2;3;1;0;0;5;0;M534008;1930;1943;1999;x
Savary;534008;CAM;1941;1990;1990;1990;3;4;128;0;0;5;0;L534008;1941;1960;1999;x
Cédile;534009;CAM;1930;1942;1990;1990;2;3;4096;1;0;5;1;M534032;1930;1960;1999;x
Hugo;534010;CAM;1939;1943;1990;1990;2;2;2048;1;0;5;1;M534030;1939;1960;1999;x
Ferrant;534011;CAM;1930;1941;1990;1990;3;3;16384;1;0;5;2;M534035;1930;1960;1999;x
Motte;534012;CAM;1939;1990;1990;1990;3;3;0;0;0;5;2;M534034;1939;1960;1999;x
