Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Agar;85400;U42;1936;1990;1990;1990;3;5;1024;1;0;5;1;Augustus_Agar;1936;1955;1999;x
Beauchamp;85401;U42;1936;1990;1990;1990;3;3;0;0;0;5;1;LWG_Beauchamp;1936;1950;1999;x
Hunter;85402;U42;1945;1990;1990;1990;3;5;2048;1;0;5;1;LDV_Hunter;1945;1970;1999;x
Kadiragamar;85403;U42;1946;1990;1990;1990;3;5;8192;1;0;5;1;LRajan_Kadiragamar;1946;1970;1999;x
Royce De Mel;85404;U42;1945;1990;1990;1990;3;4;0;1;0;5;1;LGerard_Royce_Maxwell_De_Mel;1945;1970;1999;x
Wickremasinghe;85405;U42;1941;1990;1990;1990;3;3;0;0;0;5;1;EP_Wickremasinghe;1941;1970;1999;x
Amarasekera;85406;U42;1943;1965;1990;1990;2;5;24576;1;0;5;2;E_Rohan_Amarasekera;1943;1970;1999;x
Barker;85407;U42;1944;1959;1990;1990;3;5;131072;1;0;5;2;John_Lindsay_Barker;1944;1970;1999;x
Bladon;85408;U42;1936;1990;1990;1990;3;5;8192;1;0;5;2;Graham_Bladon;1936;1964;1999;x
Chelvarajan;85409;U42;1951;1990;1990;1990;3;3;0;0;0;5;2;Chelvarajan;1951;1990;1999;x
Dutton;85410;U42;1943;1968;1990;1990;2;6;4096;1;0;5;2;LRoy_Gilbert_Dutton;1943;1970;1999;x
Goonetileke;85411;U42;1951;1990;1990;1990;3;3;0;0;0;5;2;Goonetileke;1951;1990;1999;x
Perera;85412;U42;1951;1990;1990;1990;3;3;0;0;0;5;2;Perera;1951;1990;1999;x
Varatharasa;85413;U42;1951;1990;1990;1990;3;3;0;0;0;5;2;Varatharasa;1951;1990;1999;x
Vivekanandan;85414;U42;1951;1990;1990;1990;3;3;0;0;0;5;2;Vivekanandan;1951;1990;1999;x
Attygalle;85415;U42;1946;1967;1990;1990;2;6;129;1;0;5;0;LSepala_Attygalle;1946;1970;1999;x
De Saram;85416;U42;1944;1990;1990;1990;3;4;2;1;0;5;0;LFredrick_Cecil_De_Saram;1944;1970;1999;x
Dharmapala;85417;U42;1940;1990;1990;1990;3;3;2;0;0;5;0;LCandauda_Arachchige_Dharmapala;1940;1970;1999;x
Heyn;85418;U42;1943;1990;1990;1990;3;4;0;1;0;5;0;BR_Heyn;1943;1970;1999;x
Kotelawala;85419;U42;1936;1990;1990;1990;3;3;0;0;0;5;0;John_Kotelawala;1936;1960;1999;x
Muttukumaru;85420;U42;1942;1958;1990;1990;3;5;1;1;0;5;0;LAnton_Muttukumaru;1942;1970;1999;x
Udugama;85421;U42;1943;1990;1990;1990;3;5;524544;1;0;5;0;LAlexander_Richard_Udugama;1943;1970;1999;x
Wijeyekoon;85422;U42;1942;1990;1990;1990;3;4;256;1;0;5;0;LHWG_Wijeyekoon;1942;1970;1999;x
