Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Zhang Qinqiu;76301;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76301;1925;1943;1999;x
Zhang Guotao;76302;CHC;1938;1940;1942;1944;1;4;0;4;0;1;0;L76302;1938;1970;1999;x
Chang Dingcheng;76303;CHC;1941;1990;1990;1990;3;4;0;1;0;4;0;L76303;1941;1970;1999;x
Chang Yunyi;76304;CHC;1938;1943;1946;1990;2;4;0;3;0;4;0;L76304;1938;1970;1999;x
Zhao Shangzhi;76305;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76305;1925;1946;1999;x
Zhao Yiman;76306;CHC;1939;1990;1990;1990;3;5;0;1;0;4;0;L76306;1939;1970;1999;x
Chen Changhao;76307;CHC;1930;1930;1939;1990;1;6;0;2;0;4;0;L76307;1925;1970;1999;x
Chen Geng;76308;CHC;1941;1945;1990;1990;3;4;0;2;0;4;0;L76308;1941;1970;1999;x
Chen Guang;76309;CHC;1940;1990;1990;1990;3;4;4;1;0;4;0;L76309;1940;1970;1999;x
Chen Yi;76310;CHC;1930;1930;1942;1990;1;7;68;3;0;4;0;L76310;1925;1970;1999;x
Zhou Enlai;76311;CHC;1930;1930;1930;1990;1;4;1;2;0;4;0;L76311;1925;1970;1999;x
Zhu De;76312;CHC;1930;1930;1930;1946;1;8;0;4;0;4;0;L76312;1925;1970;1999;x
He Long;76313;CHC;1942;1943;1990;1990;2;6;0;2;0;3;0;L76313;1942;1970;1999;x
Xiang Ying;76314;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76314;1925;1939;1999;x
Xu Haidong;76315;CHC;1938;1940;1990;1990;2;4;0;2;0;4;0;L76315;1938;1970;1999;x
Xu Xiangqian;76316;CHC;1940;1943;1990;1990;2;4;0;2;0;4;0;L76316;1940;1970;1999;x
Xu Guangda;76317;CHC;1939;1942;1947;1990;2;5;0;3;0;4;0;L76317;1939;1970;1999;x
Huang Kecheng;76318;CHC;1940;1945;1990;1990;3;4;0;2;0;4;0;L76318;1925;1970;1999;x
Gao Gang;76319;CHC;1930;1990;1990;1990;3;4;16;1;0;4;0;L76319;1930;1945;1999;x
Kim Weon-bong;76320;CHC;1940;1990;1990;1990;3;4;0;1;0;2;0;L76320;1940;1944;1999;x
Li Chen;76321;CHC;1943;1990;1990;1990;3;4;16;1;0;4;0;L76321;1943;1970;1999;x
Li Xiannian;76322;CHC;1930;1930;1940;1990;1;4;0;2;0;4;0;L76322;1925;1970;1999;x
Li Youbang;76323;CHC;1938;1990;1990;1990;3;4;1;1;0;4;0;L76323;1938;1946;1999;x
Lin Biao;76324;CHC;1938;1942;1990;1990;2;7;18;3;0;3;0;L76324;1938;1970;1999;x
Liu Zhidan;76325;CHC;1930;1930;1990;1990;2;4;1;1;0;4;0;L76325;1925;1942;1999;x
Liu Bocheng;76326;CHC;1939;1990;1990;1990;3;4;5;1;0;4;0;L76326;1939;1970;1999;x
Luo Ruiqing;76327;CHC;1936;1990;1990;1990;3;4;0;1;0;4;0;L76327;1945;1970;1999;x
Luo Ronghuan;76328;CHC;1938;1944;1990;1990;2;4;0;2;0;4;0;L76328;1938;1970;1999;x
Luo Binghui;76329;CHC;1930;1990;1990;1990;3;5;0;1;0;4;0;L76329;1925;1970;1999;x
Ma Benzhai;76330;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76330;1925;1941;1999;x
Mu Jong;76332;CHC;1930;1939;1990;1990;2;6;64;2;0;5;0;L76332;1925;1970;1999;x
Nie Rongzhen;76333;CHC;1941;1946;1990;1990;3;6;5;2;0;4;0;L76333;1941;1970;1999;x
Nguyen Ai Quoc;76334;CHC;1930;1990;1990;1990;3;7;16;3;0;2;0;L76334;1925;1944;1999;x
Peng Xuefeng;76335;CHC;1930;1990;1990;1990;3;4;2;1;0;4;0;L76335;1925;1942;1999;x
Peng Dehuai;76336;CHC;1939;1942;1990;1990;2;6;256;2;0;3;0;L76336;1939;1970;1999;x
Su Yu;76337;CHC;1941;1990;1990;1990;3;4;4;1;0;4;0;L76337;1941;1960;1999;x
Sun Yup Paik;76338;CHC;1939;1990;1990;1990;3;5;16;1;0;5;0;L76338;1939;1945;1999;x
Tan Zheng;76339;CHC;1930;1941;1947;1990;2;4;0;3;0;4;0;L76339;1925;1970;1999;x
Deng Xiaoping;76340;CHC;1938;1940;1942;1990;1;4;16;3;0;3;0;L76340;1938;1970;1999;x
Teng Daiyuan;76341;CHC;1938;1990;1990;1990;3;4;1;1;0;4;0;L76341;1938;1943;1999;x
Ding Ling;76342;CHC;1939;1990;1990;1990;3;3;0;1;0;4;0;L76342;1939;1970;1999;x
Zuo Quan;76343;CHC;1930;1938;1990;1990;2;4;0;2;0;4;0;L76343;1925;1946;1999;x
Wulanfu;76344;CHC;1930;1990;1990;1990;3;4;4;1;0;4;0;L76344;1925;1940;1999;x
Wang Jiaxiang;76345;CHC;1930;1930;1930;1990;1;4;0;2;0;4;0;L76345;1930;1940;1999;x
Wang Shusheng;76346;CHC;1942;1946;1990;1990;3;4;0;2;0;4;0;L76346;1942;1970;1999;x
Wei Guoqing;76347;CHC;1945;1990;1990;1990;3;4;0;1;0;4;0;L76347;1945;1970;1999;x
Yang Jingyu;76348;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76348;1925;1939;1999;x
Yang Shangkun;76349;CHC;1930;1941;1990;1990;2;4;0;2;0;4;0;L76349;1925;1970;1999;x
Ye Jianying;76350;CHC;1938;1940;1990;1990;2;4;0;2;0;4;0;L76350;1938;1970;1999;x
Ye Ting;76351;CHC;1930;1943;1990;1990;2;4;0;2;0;4;0;L76351;1930;1970;1999;x
Zhang Aiping;76352;CHC;1942;1990;1990;1990;3;3;0;1;0;4;1;L76352;1942;1970;1999;x
Zhang Xuesi;76353;CHC;1930;1941;1990;1990;2;3;0;2;0;4;1;L76353;1925;1970;1999;x
Zheng Daoji;76354;CHC;1930;1990;1990;1990;3;3;1024;1;0;4;1;L76354;1930;1946;1999;x
Xiao Jinguang;76355;CHC;1938;1940;1945;1990;2;3;0;3;0;4;1;L76355;1938;1970;1999;x
Luo Xiangtao;76356;CHC;1943;1990;1990;1990;3;3;0;1;0;4;1;L76356;1943;1970;1999;x
Tao Yong;76357;CHC;1930;1990;1990;1990;3;3;0;1;0;4;1;L76357;1930;1970;1999;x
Tan Zhenlin;76358;CHC;1937;1941;1990;1990;2;3;0;2;0;4;1;L76358;1937;1945;1999;x
Deng Zihui;76359;CHC;1943;1944;1945;1990;1;5;4096;3;0;4;1;L76359;1943;1970;1999;x
Ye Fei;76360;CHC;1945;1990;1990;1990;3;3;0;1;0;4;1;L76360;1945;1970;1999;x
An Zhimin;76361;CHC;1942;1990;1990;1990;3;3;0;1;0;4;2;L76361;1942;1970;1999;x
Chang Qiankun;76362;CHC;1937;1944;1990;1990;3;3;0;2;0;4;2;L76362;1937;1970;1999;x
Chen Xi;76363;CHC;1942;1945;1990;1990;2;3;0;2;0;4;2;L76363;1942;1970;1999;x
Fang Huai;76364;CHC;1943;1990;1990;1990;3;3;0;1;0;4;2;L76364;1943;1970;1999;x
Fang Ziyi;76365;CHC;1930;1940;1942;1990;1;4;0;2;0;4;2;L76365;1930;1970;1999;x
