Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Amann;507000;DDR;1939;1990;1990;1990;3;6;16;0;0;5;0;L507000;1939;1960;1999;x
André;507001;DDR;1940;1990;1990;1990;3;4;32;0;0;5;0;L507001;1940;1960;1999;x
Arenstorff;507002;DDR;1939;1944;1945;1990;1;3;2;3;0;5;0;L507002;1939;1960;1999;x
Arnold;507003;DDR;1939;1990;1990;1990;3;7;0;0;0;5;0;L507003;1939;1960;1999;x
Baarth;507004;DDR;1938;1990;1990;1990;3;3;0;0;0;5;0;L507004;1938;1960;1999;x
Bacher;507005;DDR;1938;1990;1990;1990;3;4;8;0;0;5;0;L507005;1938;1960;1999;x
Bamler;507006;DDR;1938;1943;1945;1990;1;5;0;3;0;5;0;L507006;1938;1943;1999;x
Bauermeister;507007;DDR;1940;1945;1945;1990;1;4;128;3;0;5;0;L507007;1940;1960;1999;x
Berger;507008;DDR;1941;1990;1990;1990;3;7;0;0;0;5;0;L507008;1941;1960;1999;x
Berner;507009;DDR;1941;1990;1990;1990;3;6;128;0;0;5;0;L507009;1941;1960;1999;x
Besch;507010;DDR;1938;1990;1990;1990;3;3;0;0;0;5;0;L507010;1938;1960;1999;x
Biehler;507011;DDR;1941;1990;1990;1990;3;5;0;0;0;5;0;L507011;1941;1960;1999;x
Blaurock;507012;DDR;1940;1945;1990;1990;2;6;0;1;0;5;0;L507012;1940;1960;1999;x
Bohrdin;507013;DDR;1936;1942;1990;1990;2;3;0;1;0;5;0;L507013;1936;1960;1999;x
Bolbrinker;507014;DDR;1940;1990;1990;1990;3;7;0;1;0;5;0;L507014;1940;1960;1999;x
Bork;507015;DDR;1939;1944;1990;1990;2;3;0;1;0;5;0;L507015;1939;1960;1999;x
Botsch;507016;DDR;1939;1944;1990;1990;2;7;0;1;0;5;0;L507016;1939;1960;1999;x
