Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Anderson;573000;CSA;1930;1930;1990;1990;2;6;513;1;0;5;0;L573000;1930;1943;1999;x
Atkinson;573001;CSA;1940;1944;1990;1990;2;7;256;1;0;5;0;L573001;1940;1970;1999;x
Austin;573002;CSA;1941;1943;1990;1990;2;6;128;1;0;5;0;M573042;1941;1970;1999;x
Baker;573003;CSA;1942;1990;1990;1990;3;4;0;0;0;5;0;L573003;1942;1970;1999;x
Barber;573004;CSA;1943;1990;1990;1990;3;5;128;0;0;5;0;L573004;1943;1970;1999;x
Barry;573005;CSA;1940;1943;1990;1990;2;5;2;1;0;5;0;L573005;1940;1970;1999;x
Black;573006;CSA;1942;1990;1990;1990;3;4;1;0;0;5;0;L573006;1942;1970;1999;x
Bradley;573007;CSA;1942;1990;1990;1990;3;4;128;0;0;5;0;L573007;1942;1970;1999;x
Breidster;573008;CSA;1930;1940;1944;1990;1;7;5;2;0;5;0;L573008;1930;1970;1999;x
Browning;573009;CSA;1938;1942;1990;1990;2;5;64;1;0;5;0;L573009;1938;1970;1999;x
Brownley;573010;CSA;1930;1990;1990;1990;3;3;0;0;0;5;0;L573010;1930;1944;1999;x
Carlson;573011;CSA;1943;1990;1990;1990;3;5;256;0;0;5;0;L573011;1943;1970;1999;x
Coutts;573012;CSA;1940;1943;1990;1990;2;6;256;1;0;5;0;L573012;1940;1970;1999;x
Deas;573013;CSA;1943;1990;1990;1990;3;4;1;0;0;5;0;L573013;1943;1970;1999;x
Deauville;573014;CSA;1941;1990;1990;1990;3;4;0;0;0;5;0;L573014;1941;1970;1999;x
Denhardt;573015;CSA;1930;1930;1990;1990;2;5;2;1;0;5;0;L573015;1930;1970;1999;x
DeWeese;573016;CSA;1930;1938;1990;1990;2;4;0;1;0;5;0;L573016;1930;1970;1999;x
Ellis;573017;CSA;1930;1990;1990;1990;3;4;514;1;0;5;0;L573017;1930;1942;1999;x
Elmore;573018;CSA;1938;1942;1990;1990;2;5;2;1;0;5;0;L573018;1938;1970;1999;x
Fleming;573019;CSA;1938;1990;1990;1990;3;4;0;0;0;5;0;L573019;1938;1970;1999;x
