Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Acevedo Aléman;128000;CUB;1942;1990;1990;1990;3;3;4;0;0;4;0;L128000;1942;1960;1999;x
Barquin;128001;CUB;1939;1990;1990;1990;3;3;0;0;0;3;0;L128001;1939;1960;1999;x
Batista y Zaldivár;128002;CUB;1930;1930;1938;1990;1;5;0;2;0;2;0;L128002;1930;1960;1999;x
Blas Hernandez;128003;CUB;1930;1930;1938;1990;2;4;16;1;0;2;0;L128003;1930;1943;1999;x
Cancio Bello;128004;CUB;1930;1930;1990;1990;2;3;64;0;0;4;0;L128004;1930;1941;1999;x
Castaneda Castro;128005;CUB;1944;1990;1990;1990;3;3;4;0;0;3;0;L128005;1944;1960;1999;x
Costa Gomez;128006;CUB;1930;1990;1990;1990;3;3;1;0;0;3;0;L128006;1930;1943;1999;x
Del Castillo;128007;CUB;1938;1943;1990;1990;2;3;0;1;0;3;0;L128007;1938;1946;1999;x
Gonzalez Cruz;128008;CUB;1942;1990;1990;1990;3;3;128;0;0;4;0;L128008;1942;1960;1999;x
Masferrer;128009;CUB;1930;1941;1990;1990;3;4;4;1;0;4;0;L128009;1930;1946;1999;x
Perez Dameda;128010;CUB;1930;1940;1990;1990;2;3;1;1;0;3;0;L128010;1930;1943;1999;x
Pérez y Pérez;128011;CUB;1944;1990;1990;1990;3;3;1;0;0;2;0;L128011;1944;1960;1999;x
Raimundo Ferrer;128012;CUB;1930;1990;1990;1990;3;3;0;0;0;3;0;L128012;1930;1943;1999;x
Rodda y Lenquita;128013;CUB;1930;1990;1990;1990;3;3;0;0;0;4;0;L128013;1930;1942;1999;x
Sanguily;128014;CUB;1930;1930;1990;1990;2;5;128;0;0;3;0;L128014;1930;1940;1999;x
Tabernillas;128015;CUB;1938;1990;1990;1990;3;3;128;0;0;4;0;L128015;1938;1960;1999;x
Valdéz Castro;128016;CUB;1945;1990;1990;1990;3;3;0;0;0;3;0;L128016;1945;1960;1999;x
Valdéz Hilario;128017;CUB;1930;1940;1990;1990;2;3;1;1;0;3;0;L128017;1930;1960;1999;x
Fuentes Alaverda;128018;CUB;1930;1930;1930;1990;1;4;8704;1;0;4;1;L128018;1930;1944;1999;x
Gonzalez;128019;CUB;1941;1943;1990;1990;2;3;0;1;0;3;1;L128019;1941;1960;1999;x
Lopez Migoya;128020;CUB;1930;1990;1990;1990;3;3;0;0;0;4;1;L128020;1930;1960;1999;x
Videla Carozé;128021;CUB;1938;1943;1990;1990;3;4;1024;1;0;5;1;L128021;1938;1960;1999;x
Menendez;128022;CUB;1938;1941;1990;1990;2;3;0;1;0;4;2;L128022;1938;1946;1999;x
Prendes Quintana;128023;CUB;1942;1990;1990;1990;3;4;0;0;0;2;2;L128023;1942;1960;1999;x
Rolas Carreras;128024;CUB;1940;1990;1990;1990;3;3;131072;0;0;3;2;L128024;1940;1960;1999;x
Tableda Silva;128025;CUB;1939;1943;1990;1990;3;4;0;1;0;4;2;L128025;1939;1960;1999;x
Perez Chaumont;128026;CUB;1951;1990;1990;1990;3;4;0;0;0;5;0;M33126;1951;1960;1999;x
