Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Andersen, B.;12000;DEN;1941;1990;1990;1990;3;5;0;1;0;5;1;LBjorn_Harald_Andersen;1941;1950;1999;x
Arendrup;12001;DEN;1947;1990;1990;1990;3;5;4096;1;0;5;1;LAugust_Emil_Arendrup;1947;1962;1999;x
Augsburg;12002;DEN;1937;1990;1990;1990;3;5;0;1;0;5;1;LHenrik_Vilhelm_Augsburg;1937;1950;1999;x
Bahnsen;12003;DEN;1951;1990;1990;1990;3;4;0;1;0;5;1;LHolger_Johan_Bahnsen;1951;1966;1999;x
Bangsbøll;12004;DEN;1945;1990;1990;1990;3;4;1024;1;0;5;1;LFrederik_Christian_Sorensen_Bangsboll;1945;1954;1999;x
Bangsbøll;12005;DEN;1945;1990;1990;1990;3;4;131072;1;0;5;2;LFrederik_Christian_Sorensen_Bangsboll;1945;1954;1999;x
Barfod;12006;DEN;1932;1990;1990;1990;3;4;8192;1;0;5;1;LHalfdan_Barfred_Barfod;1932;1945;1999;x
Bastrup;12007;DEN;1930;1990;1990;1990;3;4;4608;2;0;5;1;LChristian_Gjortz_Bastrup;1930;1937;1999;x
Bildsøe;12008;DEN;1940;1990;1990;1990;3;4;1024;1;0;5;1;LHans_Grove_Bildsøe;1940;1953;1999;x
Brinck-Lund;12009;DEN;1958;1990;1990;1990;3;5;8192;1;0;5;1;LOle_Brinck-Lund;1958;1970;1999;x
Dahl, E.;12010;DEN;1946;1990;1990;1990;3;5;8192;1;0;5;1;LEyvind_Musaeus_Dahl;1946;1955;1999;x
Dam;12011;DEN;1958;1990;1990;1990;3;5;0;1;0;5;1;LKnud_Valdemar_Dam;1958;1970;1999;x
Evers;12012;DEN;1937;1990;1990;1990;3;4;8192;1;0;5;1;LChristian_Vilhelm_Evers;1937;1952;1999;x
Frandsen;12013;DEN;1939;1990;1990;1990;3;4;0;1;0;5;1;LSvend_Wolf_Frandsen;1939;1956;1999;x
Frederiksen;12014;DEN;1945;1990;1990;1990;3;4;0;1;0;5;1;LHans_John_Frederik_Frederiksen;1945;1959;1999;x
Greve;12015;DEN;1950;1990;1990;1990;3;4;8192;1;0;5;1;LSvend_Bernhard_Vilhelm_Johannes_Greve;1950;1963;1999;x
Gyldenkrone;12016;DEN;1932;1990;1990;1990;3;4;512;2;0;5;1;LEinar_Marius_Gyldenkrone;1932;1939;1999;x
Hammerich, C.;12017;DEN;1937;1990;1990;1990;3;5;2048;1;0;5;1;L9519;1937;1953;1999;x
Hammerich, K.;12018;DEN;1948;1990;1990;1990;3;4;2048;1;0;5;1;LKai_Hammerich;1948;1959;1999;x
Hansen, G.;12019;DEN;1921;1990;1990;1990;3;4;8704;2;0;5;1;LGodfred_Hansen;1921;1937;1999;x
Helms;12020;DEN;1958;1970;1990;1990;2;7;0;2;0;5;1;LAdam_Helms;1958;1970;1999;x
Hoppe;12021;DEN;1955;1990;1990;1990;3;4;0;1;0;5;1;LIvar_Hoppe;1955;1968;1999;x
Ipsen;12022;DEN;1937;1990;1990;1990;3;5;4096;1;0;5;1;LPaul_Ipsen;1937;1949;1999;x
Jegstrup;12023;DEN;1951;1990;1990;1990;3;5;1024;1;0;5;1;LJohannes_Harald_Jensen_Jegstrup;1951;1964;1999;x
Jørgensen, E.V.;12024;DEN;1957;1990;1990;1990;3;5;8192;1;0;5;1;LErik_Viggo_Jorgensen;1957;1970;1999;x
Jørgensen, S.G.;12025;DEN;1957;1990;1990;1990;3;5;0;1;0;5;1;LSvend_Gunnar_Jorgensen;1957;1970;1999;x
Juel-Brockdorff, N.;12026;DEN;1931;1990;1990;1990;3;4;1536;1;0;5;1;LNiels_Juel-Brockdorff;1931;1943;1999;x
Kjølsen;12027;DEN;1945;1990;1990;1990;3;5;0;1;0;5;1;LFrits_Hammer_Kjolsen;1945;1959;1999;x
Larsen;12028;DEN;1949;1990;1990;1990;3;5;1024;1;0;5;1;LHans_Borge_Larsen;1949;1963;1999;x
Lembcke, P.;12029;DEN;1941;1990;1990;1990;3;4;2048;1;0;5;1;LPreben_Lembcke;1941;1951;1999;x
Linde;12030;DEN;1955;1964;1990;1990;2;6;1024;2;0;5;1;LAage_Linde;1955;1969;1999;x
Lorck;12031;DEN;1920;1990;1990;1990;3;6;512;3;0;5;1;LVictor_Lorentz_Lorck;1920;1937;1999;x
Lundsteen;12032;DEN;1945;1990;1990;1990;3;6;0;1;0;5;1;LKaj_Lundsteen;1945;1963;1999;x
