Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aflatan Pasha;512000;EGY;1930;1930;1941;1990;2;3;0;1;0;5;0;M512083;1930;1943;1999;x
al-Nasser;512001;EGY;1945;1949;1952;1990;1;5;256;2;0;5;0;L512001;1945;1960;1999;x
Amer;512002;EGY;1945;1990;1990;1990;3;4;4;0;0;5;0;L512002;1945;1960;1999;x
an-Nukraishi;512003;EGY;1930;1930;1990;1990;2;3;513;1;0;5;0;M512016;1930;1942;1999;x
as-Sadat;512004;EGY;1944;1946;1990;1990;2;5;4;1;0;3;0;L512004;1944;1960;1999;x
Beyran Pasha;512005;EGY;1930;1930;1990;1990;2;3;514;1;0;5;0;L512005;1930;1943;1999;x
el-Hakeem Amer;512006;EGY;1938;1939;1942;1946;1;4;0;3;0;5;0;L512006;1938;1960;1999;x
el-Hamza Makkawi;512007;EGY;1946;1990;1990;1990;3;3;128;0;0;5;0;L512007;1946;1960;1999;x
Fathy Pasha;512008;EGY;1930;1930;1930;1930;0;2;514;1;0;5;0;L512008;1930;1940;1999;x
Fouad Pasha;512009;EGY;1930;1930;1990;1990;2;3;513;1;0;5;0;L512009;1930;1942;1999;x
Ghayib;512010;EGY;1943;1946;1990;1990;2;4;128;1;0;5;0;L512010;1943;1960;1999;x
Goktai;512011;EGY;1930;1938;1943;1990;2;5;1;2;0;5;0;L512011;1930;1960;1999;x
Hamza;512012;EGY;1930;1990;1990;1990;3;4;16;0;0;5;0;L512012;1930;1943;1999;x
Kamel;512013;EGY;1930;1930;1938;1990;1;3;2;1;0;5;0;M512087;1930;1945;1999;x
Naguib;512014;EGY;1939;1942;1945;1990;1;4;1;2;0;5;0;M512088;1939;1960;1999;x
Nashran;512015;EGY;1939;1942;1990;1990;2;3;0;1;0;5;0;M512080;1939;1960;1999;x
Refey Pasha;512016;EGY;1930;1938;1990;1990;2;3;0;1;0;5;0;L512016;1930;1960;1999;x
Sabry Pasha;512017;EGY;1930;1930;1930;1990;1;3;514;1;0;5;0;M512007;1930;1940;1999;x
Saleh Pasha;512018;EGY;1930;1941;1990;1990;2;3;1;1;0;5;0;L512018;1930;1960;1999;x
Salim Pasha;512019;EGY;1930;1939;1990;1990;2;3;0;1;0;5;0;L512019;1930;1945;1999;x
Sirry Pasha;512020;EGY;1930;1930;1941;1990;1;4;2;1;0;5;0;L512020;1930;1946;1999;x
Soliman;512021;EGY;1930;1938;1990;1990;2;3;0;1;0;5;0;M512048;1930;1960;1999;x
Tabril Pasha;512022;EGY;1930;1930;1930;1990;1;4;512;1;0;5;0;L512022;1930;1939;1999;x
Tawfik;512023;EGY;1943;1990;1990;1990;3;4;256;0;0;5;0;L512023;1943;1960;1999;x
Yahya Pasha;512024;EGY;1930;1930;1990;1990;2;4;513;1;0;5;0;M512029;1930;1941;1999;x
Ziwar Pasha;512025;EGY;1930;1930;1990;1990;2;2;0;0;0;5;0;M512009;1930;1941;1999;x
Aflatan Pasha;512026;EGY;1930;1930;1941;1990;2;3;0;1;0;5;1;M512083;1930;1960;1999;x
Azmy Pasha;512027;EGY;1938;1943;1990;1990;2;3;8192;1;0;5;1;M512096;1938;1960;1999;x
Fouad Pasha;512028;EGY;1930;1930;1990;1990;2;2;0;0;0;5;1;L512009;1930;1943;1999;x
Hamid Pasha;512029;EGY;1930;1930;1990;1990;2;3;0;0;0;5;1;L512029;1930;1960;1999;x
Ziwar Pasha;512030;EGY;1930;1930;1930;1990;1;3;0;1;0;5;1;M512009;1930;1945;1999;x
al-Nasser;512031;EGY;1945;1990;1990;1990;3;3;0;0;0;5;2;L512001;1945;1960;1999;x
Azmy Pasha;512032;EGY;1938;1943;1990;1990;2;3;131072;1;0;5;2;M512096;1938;1960;1999;x
el-Hamza Makkawi;512033;EGY;1946;1990;1990;1990;3;3;0;0;0;5;2;L512012;1946;1960;1999;x
Soliman;512034;EGY;1930;1938;1990;1990;2;3;4096;1;0;5;2;M512048;1930;1960;1999;x
Tawfik;512035;EGY;1943;1990;1990;1990;3;3;0;0;0;5;2;L512023;1943;1960;1999;x
