Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
de Lezama;580000;EUS;1930;1990;1990;1990;3;4;260;0;0;5;0;L3020;1930;1960;1999;x
Eixea Vilar;580001;EUS;1930;1938;1990;1990;3;6;3;1;0;5;0;L3025;1930;1960;1999;x
Gamir Ulibarri;580002;EUS;1930;1930;1941;1990;2;5;0;2;0;5;0;L3035;1930;1960;1999;x
Goded Llopis;580003;EUS;1930;1930;1990;1990;2;5;0;1;0;5;0;L3433;1930;1943;1999;x
Llano de la Encomienda;580004;EUS;1930;1938;1990;1990;2;5;2;1;0;5;0;L3049;1930;1960;1999;x
Moscardó Ituarte;580005;EUS;1930;1939;1941;1990;3;6;0;2;0;5;0;L3447;1930;1960;1999;x
Orgaz Yoldi;580006;EUS;1930;1930;1942;1990;2;5;0;1;0;3;0;L3449;1930;1960;1999;x
Queipo de Llano y Sierra;580007;EUS;1930;1930;1930;1990;1;8;16;2;0;4;0;L3451;1930;1960;1999;x
Sabio Dutoit;580008;EUS;1937;1990;1990;1990;3;7;262144;1;0;5;0;L3082;1937;1960;1999;x
Agacino Armas;580009;EUS;1930;1939;1990;1990;3;4;2048;1;0;5;1;L3468;1930;1960;1999;x
Fontenla Maristany;580010;EUS;1930;1944;1990;1990;2;5;0;1;0;5;1;L3476;1930;1960;1999;x
Prado Mendizábal;580011;EUS;1930;1990;1990;1990;3;5;0;0;0;5;1;L3102;1930;1960;1999;x
Calderon Gaztelu;580012;EUS;1937;1990;1990;1990;3;5;131072;0;0;5;2;L3482;1937;1960;1999;x
Ibarreche Garategui;580013;EUS;1930;1939;1990;1990;2;4;0;1;0;5;2;L3116;1930;1960;1999;x
Salas Larranzábal;580014;EUS;1930;1990;1990;1990;3;5;4096;1;0;5;2;L3489;1930;1960;1999;x
Sayos Estivill;580015;EUS;1937;1990;1990;1990;3;5;0;0;0;5;2;L3123;1937;1960;1999;x
Vigón Suerodíaz;580016;EUS;1930;1937;1990;1990;2;5;0;1;0;5;2;L3490;1930;1960;1999;x
Ynsa Arenal;580017;EUS;1930;1990;1990;1990;2;6;512;1;0;5;0;Amadeo_Ynsa_Arenal;1930;1990;1999;x
García Calle;580018;EUS;1930;1990;1990;1990;3;6;4096;1;0;5;2;Andres_Garcia_Calle;1930;1990;1999;x
del Burgo;580019;EUS;1930;1990;1990;1990;3;5;0;1;0;5;0;Jaime_del_Burgo;1930;1990;1999;x
Aldecoa;580020;EUS;1930;1990;1990;1990;2;5;512;1;0;5;2;Vicente_Aldecoa_Lecanda;1930;1990;1999;x
Agirretxe;580021;EUS;1930;1990;1990;1990;3;5;0;1;0;5;0;Angel_Agirretxe_Goikoetxea;1930;1990;1999;x
Arambarri;580022;EUS;1930;1990;1990;1990;3;6;0;1;0;5;0;Modesto_Arambarri_Gallastegui;1930;1990;1999;x
Errandonea;580023;EUS;1930;1990;1990;1990;3;5;2;1;0;5;0;Manuel_Cristobal_Errandonea;1930;1990;1999;x
Goicoechea;580024;EUS;1930;1990;1990;1990;3;5;32;1;0;5;0;Alejandro_Goicoechea;1930;1990;1999;x
Montaud Noguerol;580025;EUS;1930;1990;1990;1990;3;5;0;1;0;5;0;Alberto_Montaud_Noguerol;1930;1990;1999;x
Ordoki;580026;EUS;1930;1990;1990;1990;0;8;260;2;1;5;0;Kepa_Ordoki;1930;1990;1999;x
Ortega Gutiérrez;580027;EUS;1930;1990;1990;1990;3;5;256;1;0;5;0;Antonio_Ortega;1930;1990;1999;x
Pérez Martínez;580028;EUS;1930;1990;1990;1990;3;5;0;1;0;5;0;Jose_Perez_Martinez;1930;1990;1999;x
Ruiz Ibarruri;580029;EUS;1930;1990;1990;1990;3;5;0;1;0;5;0;Ruben_Ruiz_Ibarruri;1930;1990;1999;x
Saseta Echebarria;580030;EUS;1930;1990;1990;1990;3;5;256;1;0;5;0;Candido_Saseta_Echebarria;1930;1990;1999;x
Vicuña;580031;EUS;1930;1990;1990;1990;3;6;264;2;1;5;0;Victorio_Vicuna;1930;1990;1999;x
Leret;580032;EUS;1930;1990;1990;1990;3;5;0;1;0;5;2;Virgilio_Leret;1930;1990;1999;x
Gonzalez Feo;580033;EUS;1930;1990;1990;1990;3;3;0;1;0;5;0;Jose_Gonzalez_Feo;1930;1990;1999;x
Sanjurjo Sacanell;580034;EUS;1930;1990;1990;1990;3;7;516;2;1;5;0;Jose_Sanjurjo_Escanell;1930;1937;1999;x
Ansaldo;580035;EUS;1930;1990;1990;1990;3;5;512;1;0;5;2;Juan_Antonio_Ansaldo_Vejarano;1930;1990;1999;x
Fanjul Goñi;580036;EUS;1930;1990;1990;1990;1;5;32;1;0;5;0;Joaquin_Fanjul_Goni;1930;1943;1999;x
Duarte;580037;EUS;1930;1990;1990;1990;3;5;0;1;0;5;2;Ladislao_Duarte;1930;1990;1999;x
Llorente;580038;EUS;1930;1990;1990;1990;3;5;0;1;0;5;2;Ramon_Llorente;1930;1990;1999;x
Muñoz Lopez;580039;EUS;1930;1990;1990;1990;3;5;0;1;0;5;2;Alvaro_Munoz_Lopez;1930;1990;1999;x
Rekalde;580040;EUS;1930;1990;1990;1990;3;5;0;1;0;5;2;Jose_Rekalde;1930;1990;1999;x
Burgana;580041;EUS;1930;1990;1990;1990;3;5;0;1;0;5;1;JM_Burgana;1930;1990;1999;x
Asolo;580042;EUS;1930;1990;1990;1990;3;5;0;1;0;5;1;Santiago_Asolo;1930;1990;1999;x
Alejo Bilbao;580043;EUS;1930;1990;1990;1990;3;5;0;1;0;5;1;Alejo_Bilbao;1930;1990;1999;x
Galdós;580044;EUS;1930;1990;1990;1990;3;5;0;1;0;5;1;Manuel_galdos;1930;1990;1999;x
Moreno;580045;EUS;1930;1990;1990;1990;3;5;0;1;0;5;1;Enrique_Moreno;1930;1990;1999;x
Elortegui;580046;EUS;1930;1990;1990;1990;3;5;0;1;0;5;1;F_Elortegui;1930;1990;1999;x
De Zinkunegui;580048;EUS;1930;1990;1990;1990;3;5;0;1;0;5;1;A_de_Zinkunegui;1930;1990;1999;x
Ruiz de Loizaga;580049;EUS;1930;1990;1990;1990;3;5;0;1;0;5;1;Ruiz_de_Loizaga;1930;1990;1999;x
Gabiña;580050;EUS;1930;1990;1990;1990;3;5;0;1;0;5;1;Angel_Gabina;1930;1990;1999;x
Bilbao;580051;EUS;1930;1990;1990;1990;3;5;0;1;0;5;1;Policarpo_Bilbao;1930;1990;1999;x
Menchaca;580052;EUS;1930;1990;1990;1990;3;5;0;1;0;5;1;Rafael_Menchaca;1930;1990;1999;x
Ortiz de Zárate;580053;EUS;1930;1990;1990;1990;3;3;0;1;0;5;0;Ortiz_de_Zarate;1930;1990;1999;x
Rodriguez-Medel;580054;EUS;1930;1990;1990;1990;3;6;2;1;0;5;0;Rodriguez-Medel;1930;1990;1999;x
Vigon;580055;EUS;1930;1990;1990;1990;3;5;0;1;0;5;0;Vigon;1930;1990;1999;x
Capagorry;580056;EUS;1930;1990;1990;1990;1;7;0;2;0;5;0;Jean_Capagorry;1930;1990;1999;x
Clerc;580057;EUS;1930;1990;1990;1990;3;5;0;1;0;5;0;Clerc;1930;1990;1999;x
Iturria;580058;EUS;1930;1990;1990;1990;3;4;0;1;0;5;0;Iturria;1930;1990;1999;x
Maeztu;580059;EUS;1930;1990;1990;1990;3;7;262144;3;2;5;0;Maeztu;1930;1990;1999;x
Moulinier;580060;EUS;1940;1990;1990;1990;3;5;256;1;0;5;0;Moulinier;1940;1990;1999;x
Nouaux;580061;EUS;1930;1990;1990;1990;3;3;256;1;0;5;0;Nouaux;1930;1990;1999;x
