FLA;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Berger;510000;FLA;1930;1930;1990;1990;1;5;4;0;0;5;0;M510027;1940;1945;1999;x
De Clercq;510001;FLA;1930;1930;1930;1930;0;3;0;1;0;5;0;M15033;1930;1942;1999;x
Dupont;510002;FLA;1930;1990;1990;1990;3;4;0;0;0;5;0;L510010;1930;1960;1999;x
Fitzhum;510003;FLA;1943;1990;1990;1990;3;6;1;1;0;5;0;L499;1943;1945;1999;x
Francois;510004;FLA;1930;1930;1930;1990;1;6;9;1;0;5;0;M15015;1930;1960;1999;x
Lagrou;510005;FLA;1930;1930;1990;1990;2;6;33;0;0;5;0;M15017;1930;1960;1999;x
Lahaut;510006;FLA;1930;1990;1990;1990;3;5;128;0;0;5;0;L510011;1930;1960;1999;x
Reeder;510007;FLA;1930;1939;1990;1990;2;4;2;1;0;5;0;M510061;1940;1945;1999;x
Reeder;510008;FLA;1930;1939;1990;1990;2;4;0;1;0;5;2;M510061;1940;1945;1999;x
Schellong;510009;FLA;1930;1930;1990;1990;2;7;132;1;0;5;0;L510007;1942;1945;1999;x
Schmitt;510010;FLA;1930;1990;1990;1990;3;3;64;0;0;5;0;L510014;1940;1945;1999;x
Tollenaere;510011;FLA;1930;1990;1990;1990;3;5;5;0;0;5;0;M15082;1930;1942;1999;x
Trio;510012;FLA;1930;1990;1990;1990;3;4;1;0;0;5;0;M510073;1940;1945;1999;x
Van Ackere;510013;FLA;1930;1990;1990;1990;3;4;2;0;0;5;0;L510006;1930;1960;1999;x
Van de Wiele;510014;FLA;1930;1930;1930;1990;1;4;4;1;0;5;0;M15011;1930;1960;1999;x
Van Dijck;510015;FLA;1930;1930;1990;1990;2;7;4;1;0;5;0;L510003;1942;1960;1999;x
Van Hulse;510016;FLA;1930;1930;1990;1990;2;5;0;0;0;5;0;M510078;1942;1945;1999;x
Vansteenland;510017;FLA;1930;1990;1990;1990;3;5;4;0;0;5;0;M510080;1940;1945;1999;x
von Craushaar;510018;FLA;1930;1930;1990;1990;2;5;5;0;0;5;0;M510084;1940;1945;1999;x
von Lettow-Vorbeck;510019;FLA;1930;1930;1990;1990;2;6;12;2;0;5;0;M510088;1940;1945;1999;x
Göhle;510020;FLA;1930;1990;1990;1990;3;4;1024;0;0;5;1;L510020;1930;1960;1999;x
Hilbig;510021;FLA;1930;1990;1990;1990;3;4;0;0;0;5;1;L510021;1930;1960;1999;x
Junkermann;510022;FLA;1930;1930;1990;1990;2;5;8704;1;0;5;1;M510009;1930;1960;1999;x
Schulz;510023;FLA;1930;1990;1990;1990;3;4;0;0;0;5;1;L510023;1930;1960;1999;x
Drechsel;510024;FLA;1930;1990;1990;1990;3;4;65536;0;0;5;2;L510024;1930;1960;1999;x
Pfeiffer;510025;FLA;1939;1990;1990;1990;3;4;16384;0;0;5;2;L510025;1939;1960;1999;x
Sattler;510026;FLA;1930;1930;1990;1990;2;4;0;1;0;5;2;M510010;1930;1960;1999;x
von der Heyde;510027;FLA;1930;1990;1990;1990;3;4;0;0;0;5;2;L510027;1930;1960;1999;x
Verbelen;510028;FLA;1930;1930;1990;1990;2;5;4;1;0;5;0;M510081;1942;1960;1999;x
