Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abkhazi;519000;GEO;1930;1930;1930;1990;1;4;576;1;0;5;0;M519048;1930;1960;1999;x
Beburidzhe;519001;GEO;1930;1930;1990;1990;2;4;128;1;0;5;0;L519002;1930;1960;1999;x
Beria;519002;GEO;1930;1930;1990;1990;2;2;0;1;0;5;0;M519007;1930;1960;1999;x
Cholokashvili;519003;GEO;1930;1930;1930;1990;1;4;4;1;0;5;0;M519046;1930;1960;1999;x
Chrobeck;519004;GEO;1930;1990;1990;1990;3;5;136;0;0;5;0;L519008;1930;1960;1999;x
de Bagration;519005;GEO;1930;1930;1930;1990;1;3;0;1;0;5;0;M519049;1930;1960;1999;x
du Moulin Eckhardt;519006;GEO;1930;1990;1990;1990;3;2;0;0;0;5;0;L519010;1930;1960;1999;x
Gordaschvili;519007;GEO;1930;1930;1990;1990;2;2;8;0;0;5;0;L519011;1930;1960;1999;x
Karumidzhe;519008;GEO;1930;1990;1990;1990;3;2;0;0;0;5;0;M519047;1930;1960;1999;x
Lechitski;519009;GEO;1930;1930;1990;1990;2;3;513;1;0;5;0;L519014;1930;1960;1999;x
Maglakelidzhe;519010;GEO;1930;1942;1990;1990;3;2;4;1;0;5;0;M519054;1930;1960;1999;x
Mzechabukishvili;519011;GEO;1930;1990;1990;1990;3;2;16;0;0;5;0;L519016;1930;1960;1999;x
Nikoladzhe;519012;GEO;1930;1930;1990;1990;2;2;16;1;0;5;0;M519053;1930;1960;1999;x
Nukridzhe;519013;GEO;1930;1930;1940;1990;2;4;1;1;0;5;0;L519018;1930;1960;1999;x
Pridon-Zulukhidzhe;519014;GEO;1930;1990;1990;1990;3;2;0;0;0;5;0;L519019;1930;1960;1999;x
Razikashvili;519015;GEO;1930;1930;1990;1990;2;3;16;1;0;5;0;M519051;1930;1960;1999;x
Shevardenzhe;519016;GEO;1930;1930;1990;1990;2;2;16;1;0;5;0;L519022;1930;1960;1999;x
Tsulukidzhe;519017;GEO;1930;1930;1990;1990;2;2;1;0;0;5;0;M519052;1930;1960;1999;x
Utchashvili;519018;GEO;1930;1940;1990;1990;2;3;2;1;0;5;0;M519045;1930;1960;1999;x
Vepkhiadzhe;519019;GEO;1930;1930;1990;1990;2;2;256;1;0;5;0;M519060;1930;1960;1999;x
Bakradzhe;519020;GEO;1930;1930;1990;1990;2;3;8704;0;0;5;1;M519055;1930;1960;1999;x
Biwer;519021;GEO;1930;1990;1990;1990;3;3;1024;0;0;5;1;M519059;1930;1960;1999;x
Demnadzhe;519022;GEO;1930;1990;1990;1990;3;3;4608;0;0;5;1;M519058;1930;1960;1999;x
Gvaladzhe;519023;GEO;1930;1990;1990;1990;3;2;0;0;0;5;2;L519031;1930;1960;1999;x
Kötchy;519024;GEO;1930;1990;1990;1990;3;3;0;0;0;5;2;L519032;1930;1960;1999;x
Muhr;519025;GEO;1930;1990;1990;1990;3;3;4096;0;0;5;2;M519064;1930;1960;1999;x
Vepkhiadzhe;519026;GEO;1930;1930;1990;1990;2;2;0;1;0;5;2;M519060;1930;1960;1999;x
Walland;519027;GEO;1930;1990;1990;1990;3;2;0;0;0;5;2;L519037;1930;1960;1999;x
