Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Detmers;12000;UPR;1942;1990;1990;1990;3;6;4096;2;0;5;1;LTheodor_Detmers;1942;1968;1999;x
Emmermann;12001;UPR;1943;1990;1990;1990;3;9;1024;3;0;5;1;LCarl_Emmermann;1943;1970;1999;x
Firle;12002;UPR;1936;1990;1990;1990;3;6;4096;3;0;5;1;LRudolph_Firle;1936;1947;1999;x
Fürbringer;12003;UPR;1937;1942;1990;1990;2;7;1024;3;0;5;1;L506264;1937;1953;1999;x
Gysae;12004;UPR;1943;1956;1990;1990;2;7;4096;2;0;5;1;LRobert_Gysae;1943;1970;1999;x
Hartmann, W.;12005;UPR;1942;1990;1990;1990;3;7;1024;2;0;5;1;LWerner_Hartmann;1942;1968;1999;x
Howaldt;12006;UPR;1937;1990;1990;1990;3;5;9216;2;0;5;1;LHans_Howaldt;1937;1954;1999;x
Kranzfelder;12007;UPR;1944;1957;1990;1990;2;8;0;2;0;5;1;LAlfred_Kranzfelder;1944;1970;1999;x
Kurze;12008;UPR;1939;1942;1990;1990;2;6;8192;2;0;5;1;M517050;1939;1957;1999;x
Lemp;12009;UPR;1944;1990;1990;1990;3;6;1024;2;0;5;1;LFritz-Julius_Lemp;1944;1970;1999;x
Merten;12010;UPR;1943;1990;1990;1990;3;7;1024;2;0;5;1;LKarl-Friedrich_Merten;1943;1970;1999;x
Oehrn;12011;UPR;1943;1952;1990;1990;2;8;4096;3;0;5;1;LVictor_Oehrn;1943;1970;1999;x
Rasmus;12012;UPR;1937;1990;1990;1990;3;5;8192;2;0;5;1;L508062;1937;1944;1999;x
Schall-Emden;12013;UPR;1940;1943;1990;1990;2;5;0;2;0;5;1;L508063;1940;1958;1999;x
Schewe;12014;UPR;1943;1990;1990;1990;3;6;8192;2;0;5;1;LGeorg_Schewe;1943;1970;1999;x
Schmidt, F.T.;12015;UPR;1940;1944;1990;1990;2;7;0;2;0;5;1;L508066;1940;1964;1999;x
Schmundt;12016;UPR;1936;1940;1942;1990;1;7;4096;3;0;5;1;L507175;1936;1954;1999;x
Schütze;12017;UPR;1943;1950;1990;1990;2;8;1024;3;0;5;1;LViktor_Schutze;1943;1970;1999;x
Steinbrinck;12018;UPR;1938;1990;1990;1990;3;6;1024;2;0;5;1;LOtto_Steinbrinck;1938;1954;1999;x
Suhren, G.;12019;UPR;1942;1990;1990;1990;3;5;1024;1;0;5;1;LGerd_Suhren;1942;1970;1999;x
Suhren, R.;12020;UPR;1943;1990;1990;1990;3;6;1024;1;0;5;1;LReinhard_Suhren;1943;1970;1999;x
Valentiner;12021;UPR;1932;1938;1941;1990;1;8;1024;4;0;5;1;LMax_Valentiner;1932;1949;1999;x
Walther;12022;UPR;1936;1990;1990;1990;3;5;1024;2;0;5;1;LHans_Walther;1936;1949;1999;x
Wegener, W.;12023;UPR;1923;1926;1932;1990;1;8;512;4;0;5;1;LWolfgang_Wegener;1923;1941;1999;x
Wenninger;12024;UPR;1936;1938;1940;1990;1;6;8192;2;0;5;1;L548026;1936;1955;1999;x
Wohlfarth;12025;UPR;1943;1990;1990;1990;3;5;1024;1;0;5;1;LHerbert_Wohlfarth;1943;1970;1999;x
von Luckner;12026;UPR;1932;1937;1990;1990;2;8;2048;3;0;5;1;LFelix_von_Luckner;1932;1946;1999;x
von Seebach;12027;UPR;1938;1941;1990;1990;2;6;0;2;0;5;1;L889;1938;1955;1999;x
Deinhardt;12028;UPR;1937;1942;1990;1990;2;5;8192;2;0;5;2;LKarl_Deinhardt;1937;1952;1999;x
Diesing;12029;UPR;1943;1950;1957;1990;1;8;24576;3;0;5;2;LUllrich_Diesing;1943;1952;1999;x
Drewes;12030;UPR;1938;1990;1990;1990;3;6;0;1;0;5;2;LKarl_Drewes;1938;1959;1999;x
Heise;12031;UPR;1945;1990;1990;1990;3;6;131072;2;0;5;2;LHanns_Horst_Heise;1945;1970;1999;x
Ihlefeld;12032;UPR;1944;1990;1990;1990;3;8;4096;3;0;5;2;LHerbert_Ihlefeld;1944;1970;1999;x
Jacobs;12033;UPR;1936;1945;1990;1990;2;6;4096;2;0;5;2;LJosef_Jacobs;1936;1959;1999;x
Jope;12034;UPR;1945;1990;1990;1990;3;8;131072;3;0;5;2;LBernhard_Jope;1945;1970;1999;x
Kleinrath;12035;UPR;1941;1944;1990;1990;2;6;0;2;0;5;2;LKurt_Kleinrath;1941;1965;1999;x
Kuhlmey;12036;UPR;1944;1955;1959;1990;1;9;16384;3;0;5;2;LKurt_Kuhlmey;1944;1970;1999;x
Köchy;12037;UPR;1939;1945;1990;1990;2;5;139264;1;0;5;2;LCarl_Kochy;1939;1961;1999;x
Loebel;12038;UPR;1942;1990;1990;1990;3;7;131072;2;0;5;2;LWalter_Loebel;1942;1968;1999;x
