Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Belov;502000;CGX;1930;1990;1990;1990;3;2;256;0;0;5;0;L502000;1930;1960;1999;x
Chen Jitang;502001;CGX;1930;1930;1930;1938;0;2;513;1;0;1;0;L50031;1930;1944;1999;x
Kravelkin;502002;CGX;1930;1990;1990;1990;3;2;4;0;0;5;0;L502002;1930;1960;1999;x
Li Jishen;502003;CGX;1930;1930;1930;1990;1;3;16;1;0;5;0;L502003;1930;1960;1999;x
Li Zongren;502004;CGX;1930;1939;1941;1944;1;4;4;3;0;4;0;L50186;1930;1960;1999;x
Golukjin;502005;CGX;1930;1930;1990;1990;2;2;0;0;0;5;0;L502005;1930;1960;1999;x
Bai Chongxi;502006;CGX;1930;1939;1941;1990;1;4;16;2;0;3;0;L50247;1930;1960;1999;x
Shermentcheff;502007;CGX;1930;1930;1990;1990;2;2;4;0;0;4;0;L502007;1930;1960;1999;x
Tschevelkov;502008;CGX;1930;1990;1990;1990;3;2;0;0;0;5;0;L502008;1930;1960;1999;x
von Appel;502009;CGX;1930;1942;1990;1990;3;3;128;1;0;5;0;L502009;1930;1960;1999;x
Yu Hanmou;502010;CGX;1930;1939;1990;1990;2;2;0;1;0;4;0;L502010;1930;1960;1999;x
Belov;502011;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502000;1930;1960;1999;x
Dranilov;502012;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502012;1930;1960;1999;x
Ertelkin;502013;CGX;1930;1930;1990;1990;2;3;8192;1;0;5;1;L502013;1930;1960;1999;x
Bai Chongxi;502014;CGX;1930;1939;1941;1990;1;2;0;1;0;3;1;L50247;1930;1960;1999;x
Kulchin;502015;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502015;1930;1960;1999;x
Beryakin;502016;CGX;1930;1990;1990;1990;3;2;0;0;0;5;2;L502016;1930;1960;1999;x
Khripin;502017;CGX;1930;1990;1990;1990;3;2;4096;0;0;5;2;L502017;1930;1960;1999;x
Li Zongren;502018;CGX;1930;1930;1941;1990;1;2;0;1;0;4;2;L50186;1930;1960;1999;x
Lindemann;502019;CGX;1930;1930;1990;1990;2;4;10;0;0;5;0;L502019;1930;1940;1999;x
Hoffmann;502020;CGX;1940;1940;1990;1990;2;4;516;1;0;5;0;L502020;1940;1944;1999;x
Vorbrugg;502021;CGX;1930;1930;1990;1990;2;4;129;1;0;5;0;L502021;1944;1960;1999;x
Ehrhard;502022;CGX;1930;1940;1946;1950;2;2;0;1;0;5;0;Kaiserreich Ehrhard;1930;1960;1999;x
Ehrhard;502023;CGX;1930;1930;1939;1945;1;4;8192;2;60;5;1;Kaiserreich Ehrhard;1930;1960;1999;x
Plüschow;502024;CGX;1930;1930;1930;1942;0;9;135168;4;90;5;2;Kaiserreich Plueschow;1930;1960;1999;x
Plüschow;502025;CGX;1930;1930;1942;1946;2;5;0;2;50;5;1;Kaiserreich Plueschow;1930;1960;1999;x
Bauer;502026;CGX;1930;1930;1930;1944;1;6;66;3;70;5;0;Kaiserreich MaxBauer;1930;1960;1999;x
von Mücke;502027;CGX;1930;1930;1945;1990;2;6;256;3;40;5;0;Kaiserreich vonMucke;1930;1960;1999;x
von Mücke;502028;CGX;1930;1930;1930;1940;0;6;0;3;20;5;1;Kaiserreich vonMucke;1930;1960;1999;x
von Falkenhausen;502029;CGX;1930;1930;1930;1930;0;7;68;3;35;4;0;L50304;1930;1960;1999;x
Alt;502030;CGX;1940;1990;1990;1990;3;6;8192;1;0;5;2;L900;1940;1960;1999;x
Fröhlich;502031;CGX;1936;1940;1945;1990;1;6;32768;3;0;5;2;L913;1936;1960;1999;x
Reinhard;502032;CGX;1937;1939;1940;1990;1;6;2;3;0;5;0;L780;1937;1960;1999;x
von Tscherwelen;502033;CGX;1936;1990;1990;1990;3;7;4;1;0;4;0;L250020;1936;1960;1999;x
Dürrstein;502034;CGX;1930;1990;1990;1990;3;3;0;1;0;5;0;L508020;1930;1960;1999;x
Hufenbach;502035;CGX;1930;1960;1990;1990;3;4;2;0;0;5;0;L508032;1930;1960;1999;x
Hundt;502036;CGX;1930;1943;1990;1990;2;5;128;1;0;5;0;L508033;1930;1960;1999;x
Nobe;502037;CGX;1930;1938;1990;1990;2;4;4096;1;0;5;1;L508061;1930;1960;1999;x
Rasmus;502038;CGX;1930;1990;1990;1990;3;4;0;0;0;5;1;L508062;1930;1960;1999;x
Schall-Emden;502039;CGX;1939;1943;1990;1990;2;4;4096;1;0;5;1;L508063;1939;1960;1999;x
Scheurlen;502040;CGX;1940;1944;1990;1990;2;4;2048;1;0;5;1;L508064;1940;1947;1999;x
Schmidt  A.;502041;CGX;1937;1990;1990;1990;3;4;8192;0;0;5;1;L508065;1937;1960;1999;x
Schmidt  F.T.;502042;CGX;1930;1990;1990;1990;3;4;0;0;0;5;1;L508066;1930;1960;1999;x
Bärens;502043;CGX;1940;1990;1990;1990;3;4;0;0;0;5;2;L508068;1940;1960;1999;x
Diesling;502044;CGX;1930;1990;1990;1990;3;4;16384;0;0;5;2;L508071;1930;1960;1999;x
Erdmann;502045;CGX;1930;1944;1990;1990;2;5;4096;1;0;5;2;L508073;1930;1960;1999;x
Lorenz;502046;CGX;1940;1990;1990;1990;3;4;0;2;0;5;2;L508078;1940;1960;1999;x
Maier;502047;CGX;1939;1990;1990;1990;3;4;16384;0;0;5;2;L508079;1939;1960;1999;x
von Löwenstern;502048;CGX;1930;1990;1990;1990;3;4;0;0;0;5;2;L508084;1939;1947;1999;x
Wang Jingwei;502049;CGX;1930;1930;1943;1990;1;4;1;2;0;5;0;Kaiserreich Wang Jingwei;1930;1960;1999;x
Yang Aiyuan;502050;CGX;1930;1930;1938;1990;1;6;516;1;0;3;0;L50337;1930;1960;1999;x
Yang Jie;502051;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0; L50338;1930;1944;1999;x
Yang Hu;502052;CGX;1930;1990;1990;1990;3;4;0;0;0;4;0;L 50339;1930;1960;1999;x
Leng Xin;502053;CGX;1940;1990;1990;1990;3;3;0;0;0;4;0; L50168;1940;1960;1999;x
Li Zhen;502054;CGX;1930;1990;1990;1990;3;4;514;1;0;4;0;L50169;1930;1940;1999;x
Li Zhenqiu;502055;CGX;1944;1946;1990;1990;2;4;0;1;0;4;0;L50170;1944;1960;1999;x
Li Jiayu;502056;CGX;1930;1930;1990;1990;2;3;0;1;0;4;0;L50171;1930;1941;1999;x
Li Jue;502057;CGX;1930;1930;1990;1990;2;3;0;0;0;4;0; L50172;1930;1960;1999;x
Liu Ruming;502058;CGX;1938;1939;1943;1990;2;5;8;2;0;3;0;L50209;1938;1960;1999;x
Feng Ru;502059;CGX;1930;1990;1990;1990;3;6;8192;2;0;3;2;M750060;1930;1960;1999;x
