Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arana;210000;GUA;1941;1945;1990;1990;3;4;0;1;0;4;0;L210000;1941;1960;1999;x
Arbenz Guzman;210001;GUA;1942;1990;1990;1990;3;3;0;0;0;3;0;L210001;1942;1960;1999;x
Buenaventure Pineda;210002;GUA;1930;1930;1990;1990;2;3;1;0;0;3;0;L210002;1930;1945;1999;x
Castillo Armas;210003;GUA;1942;1944;1990;1990;2;3;0;1;0;4;0;L210003;1942;1960;1999;x
Chacon de Leon;210004;GUA;1930;1941;1990;1990;2;5;16;1;0;4;0;L210004;1930;1946;1999;x
Diaz de Leon;210005;GUA;1944;1990;1990;1990;3;4;4;0;0;3;0;L210005;1944;1960;1999;x
Flores Avendano;210006;GUA;1943;1990;1990;1990;3;4;0;0;0;4;0;L210006;1943;1960;1999;x
Orellana;210007;GUA;1930;1930;1939;1990;1;3;2;1;0;3;0;L210007;1930;1946;1999;x
Ortiz Escaranté;210008;GUA;1940;1990;1990;1990;3;3;256;0;0;5;0;L210008;1940;1960;1999;x
Ponce Vaides;210009;GUA;1930;1930;1930;1990;1;3;0;1;0;3;0;L210009;1930;1945;1999;x
Ubico Castaneda;210010;GUA;1930;1930;1930;1990;1;4;1;1;0;4;0;L210010;1930;1944;1999;x
Villafranco Mendoza;210011;GUA;1939;1990;1990;1990;3;4;0;0;0;5;0;L210011;1939;1960;1999;x
Villagrán Ariza;210012;GUA;1938;1943;1990;1990;2;4;64;1;0;3;0;L210012;1938;1960;1999;x
Ydigoras Fuentes;210013;GUA;1941;1990;1990;1990;3;4;128;0;0;5;0;L210013;1941;1960;1999;x
Ezuira Abel;210014;GUA;1930;1990;1990;1990;3;3;0;0;0;3;1;L210014;1930;1944;1999;x
Mendoza Arauja;210015;GUA;1945;1990;1990;1990;3;3;1024;0;0;4;1;L210015;1945;1960;1999;x
Mendoza Urribe;210016;GUA;1930;1930;1990;1990;2;3;0;1;0;4;1;L210016;1930;1944;1999;x
Torriello Garrido;210017;GUA;1938;1942;1990;1990;2;3;8192;1;0;3;1;L210017;1938;1960;1999;x
Buenaventure Pineda;210018;GUA;1930;1930;1990;1990;2;3;0;1;0;3;2;L210018;1930;1945;1999;x
Garcia Granados;210019;GUA;1942;1990;1990;1990;3;3;0;0;0;3;2;L210019;1942;1960;1999;x
Martinez Castro;210020;GUA;1944;1990;1990;1990;3;3;0;0;0;2;2;L210020;1944;1960;1999;x
Peralta Azurdia;210021;GUA;1939;1943;1990;1990;2;4;0;1;0;3;2;L210021;1939;1960;1999;x
Tesch Orlando;210022;GUA;1941;1945;1990;1990;2;4;0;1;0;4;2;L210022;1941;1960;1999;x
