Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abél Mendez;370000;HON;1945;1990;1990;1990;3;3;0;0;0;4;0;L370000;1945;1960;1999;x
Alcerro Prudoth;370001;HON;1944;1947;1990;1990;3;4;0;1;0;4;0;L370001;1944;1947;1999;x
Almas Albornoz;370002;HON;1930;1939;1990;1990;2;3;1;1;0;4;0;L370002;1930;1946;1999;x
Arria Tachi;370003;HON;1938;1990;1990;1990;3;3;0;0;0;5;0;L370003;1938;1960;1999;x
Caceres Pinzón;370004;HON;1941;1990;1990;1990;3;4;128;0;0;5;0;L370004;1941;1960;1999;x
Carias Andina;370005;HON;1930;1930;1930;1930;0;2;0;0;0;5;0;L370005;1930;1946;1999;x
Díaz Garcia;370006;HON;1944;1990;1990;1990;3;3;2;0;0;3;0;L370006;1944;1960;1999;x
Garcia Velpuveda;370007;HON;1937;1990;1990;1990;3;3;2;0;0;3;0;L370007;1937;1944;1999;x
Nuñez Salés;370008;HON;1940;1943;1990;1990;2;4;0;1;0;4;0;L370008;1940;1960;1999;x
Ortiz Pinel;370009;HON;1943;1990;1990;1990;3;4;256;0;0;4;0;L370009;1943;1960;1999;x
Pérez Matamoros;370010;HON;1944;1990;1990;1990;3;3;1;0;0;3;0;L370010;1944;1960;1999;x
Rodriguez Alvarado;370011;HON;1942;1990;1990;1990;3;3;128;0;0;3;0;L370011;1942;1947;1999;x
Sanabria Oyuela;370012;HON;1939;1942;1946;1990;2;4;256;2;0;4;0;L370012;1939;1960;1999;x
St.Clair Meñdoza;370013;HON;1930;1930;1990;1990;2;5;513;1;0;5;0;L370013;1930;1941;1999;x
Stochler Garcia;370014;HON;1930;1939;1942;1990;1;5;2;2;0;5;0;L370014;1930;1944;1999;x
Williams Calderon;370015;HON;1939;1942;1990;1990;2;3;0;1;0;5;0;L370015;1939;1946;1999;x
Andina Rojas;370016;HON;1930;1990;1990;1990;3;3;1024;0;0;5;1;L370016;1930;1943;1999;x
López Arellano;370017;HON;1938;1940;1944;1990;1;3;0;2;0;3;1;L370017;1938;1960;1999;x
Marquez Nuñez;370018;HON;1945;1990;1990;1990;3;3;0;0;0;3;1;L370018;1945;1960;1999;x
Vaupel Comeza;370019;HON;1940;1945;1990;1990;2;3;0;1;0;4;1;L370019;1940;1960;1999;x
Abél Mendez;370020;HON;1945;1990;1990;1990;3;3;0;0;0;4;2;L370020;1945;1960;1999;x
Ángel Sevilla;370021;HON;1941;1990;1990;1990;3;3;0;0;0;5;2;L370021;1941;1960;1999;x
Fernandez;370022;HON;1938;1990;1990;1990;3;3;0;0;0;5;2;L370022;1938;1944;1999;x
Masson;370023;HON;1930;1930;1930;1990;1;7;4096;2;0;5;2;L370023;1930;1941;1999;x
Pérez Matamoros;370024;HON;1944;1990;1990;1990;3;3;0;0;0;3;2;L370024;1944;1960;1999;x
Schmidt;370025;HON;1930;1941;1990;1990;2;4;16384;1;0;5;2;L370025;1930;1946;1999;x
