Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arató István;32000;HUN;1946;1990;1990;1990;3;4;0;1;0;5;1;Arato_Istvan_hun;1946;1960;1999;x
Bausznern Ármin;32001;HUN;1933;1990;1990;1990;3;5;2048;2;0;5;1;LBausznern_Armin;1933;1946;1999;x
Bornemisza Félix;32002;HUN;1943;1990;1990;1990;3;5;2048;1;0;5;1;LBornemisza_Felix;1943;1960;1999;x
Bornemisza Félix;32003;HUN;1943;1990;1990;1990;3;5;131072;1;0;5;2;LBornemisza_Felix;1943;1960;1999;x
Dassinger Endre;32004;HUN;1946;1990;1990;1990;3;4;0;1;0;5;1;Dassinger_Endre_hun;1946;1958;1999;x
Dávidházy András;32005;HUN;1948;1990;1990;1990;3;6;0;1;0;5;1;LDavidhazy_Andras;1948;1970;1999;x
Hajdú Zoltán;32006;HUN;1947;1990;1990;1990;3;5;0;0;0;5;1;L_HUN_Hajdu_Zoltan;1947;1970;1999;x
Janza Károly;32007;HUN;1951;1952;1990;1990;3;4;0;0;0;5;1;Janza_Karoly_hun;1951;1970;1999;x
Hardy Kálmán;32008;HUN;1940;1944;1990;1990;2;5;8192;1;0;5;1;Hardy_Kalman_hun;1940;1957;1999;x
Hartmann Gaszton;32009;HUN;1935;1990;1990;1990;3;4;512;2;0;5;1;unknown;1935;1937;1999;x
Hild Ferenc;32010;HUN;1930;1990;1990;1990;3;5;512;2;0;5;1;LHild_Ferenc;1930;1940;1999;x
Mikuleczky Ferenc;32011;HUN;1936;1990;1990;1990;3;4;0;1;0;5;1;LMikuleczky_Ferenc;1936;1949;1999;x
Mikuleczky Ferenc;32012;HUN;1936;1990;1990;1990;3;5;131072;2;0;5;2;LMikuleczky_Ferenc;1936;1949;1999;x
Nagy Erno;32013;HUN;1944;1990;1990;1990;3;5;0;1;0;5;1;LNagy_Erno;1944;1963;1999;x
Nagy Gábor;32014;HUN;1941;1990;1990;1990;3;5;0;1;0;5;1;Nagy_Gabor_hun;1941;1951;1999;x
