Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
An San Kham;9875000;IDC;1930;1990;1990;1990;3;2;1;0;0;5;0;L541000;1930;1960;1999;x
Aphay;9875001;IDC;1938;1943;1990;1990;2;3;4;1;0;5;0;M540034;1938;1960;1999;x
Bao Dai;9875002;IDC;1930;1930;1930;1930;0;1;0;0;0;5;0;L542002;1930;1960;1999;x
Boun;9875003;IDC;1930;1930;1990;1990;2;2;0;0;0;5;0;M540010;1930;1960;1999;x
Chhun Lim;9875004;IDC;1930;1945;1990;1990;2;2;64;1;0;5;0;M541045;1930;1960;1999;x
Duc Dat;9875005;IDC;1944;1990;1990;1990;3;2;1;0;0;5;0;L542009;1944;1960;1999;x
Doung Van Minh;9875006;IDC;1943;1947;1990;1990;3;3;128;1;0;5;0;M542046;1943;1960;1999;x
Hmong;9875007;IDC;1944;1990;1990;1990;3;6;16;1;0;5;0;L540007;1944;1960;1999;x
Hoang Minh Chao;9875008;IDC;1939;1943;1990;1990;2;4;16;1;0;5;0;L542015;1939;1960;1999;x
Ho Chi Minh;9875009;IDC;1930;1930;1930;1990;1;6;3;3;0;5;0;M542047;1930;1960;1999;x
Khong;9875010;IDC;1943;1990;1990;1990;3;3;256;0;0;5;0;L540008;1943;1960;1999;x
Kieng Vang;9875011;IDC;1930;1945;1990;1990;2;3;1;1;0;5;0;M541047;1930;1960;1999;x
Krisan Cheda;9875012;IDC;1938;1990;1990;1990;3;2;0;0;0;5;0;M541026;1938;1960;1999;x
Le Duan;9875013;IDC;1930;1940;1945;1990;1;6;1;3;0;5;0;L542021;1930;1960;1999;x
Le Van Kim;9875014;IDC;1944;1990;1990;1990;3;2;1;0;0;5;0;L542022;1944;1960;1999;x
Lon Nol;9875015;IDC;1941;1946;1990;1990;2;3;4;1;0;5;0;M541035;1941;1960;1999;x
Ne Van Chinh;9875016;IDC;1945;1990;1990;1990;3;2;128;0;0;5;0;L542025;1945;1960;1999;x
Nguyen Cao The;9875017;IDC;1945;1990;1990;1990;3;2;0;0;0;5;0;L542026;1945;1960;1999;x
Nguyen Coo Hieu;9875018;IDC;1945;1990;1990;1990;3;3;4;0;0;5;0;L542027;1945;1960;1999;x
Nguyen Huu Coo;9875019;IDC;1942;1947;1990;1990;3;3;2;1;0;5;0;M542043;1942;1960;1999;x
Nguyen Khanh;9875020;IDC;1945;1990;1990;1990;3;2;256;0;0;5;0;L542029;1945;1960;1999;x
Pao;9875021;IDC;1941;1944;1990;1990;2;4;17;1;0;5;0;M540038;1941;1960;1999;x
Phanmong;9875022;IDC;1940;1990;1990;1990;3;3;17;0;0;5;0;L540013;1940;1960;1999;x
Phetsarat;9875023;IDC;1938;1941;1990;1990;2;3;2;1;0;5;0;M540008;1938;1947;1999;x
Phichith;9875024;IDC;1945;1990;1990;1990;3;2;0;0;0;5;0;M540035;1945;1960;1999;x
Phomvihanh;9875025;IDC;1943;1946;1990;1990;2;3;1;1;0;5;0;M540029;1943;1960;1999;x
Phousannani;9875026;IDC;1939;1943;1990;1990;2;2;0;1;0;5;0;M540031;1939;1960;1999;x
Sahiaphan;9875027;IDC;1930;1990;1990;1990;3;3;16;0;0;5;0;L540019;1930;1947;1999;x
Sakiwat Phirun;9875028;IDC;1939;1990;1990;1990;3;2;0;0;0;5;0;M541037;1939;1960;1999;x
Sasiavong;9875029;IDC;1930;1930;1930;1930;0;2;0;0;0;5;0;M540001;1930;1960;1999;x
Sasorith;9875030;IDC;1942;1945;1990;1990;2;2;0;1;0;5;0;L540021;1942;1960;1999;x
Savang  Va.;9875031;IDC;1930;1930;1930;1990;1;2;1;1;0;5;0;M540011;1930;1960;1999;x
Savang  Vo.;9875032;IDC;1939;1943;1990;1990;2;2;128;1;0;5;0;M540037;1939;1960;1999;x
Sihanouk Norodom;9875033;IDC;1930;1930;1930;1990;1;2;0;0;0;5;0;M541044;1941;1960;1999;x
Sisowath Monireth;9875034;IDC;1930;1940;1990;1990;2;2;1;1;0;5;0;M541046;1930;1960;1999;x
Sisowath Monivong;9875035;IDC;1930;1930;1930;1990;1;2;0;0;0;5;0;L541017;1930;1941;1999;x
Sisowath Watchayavong;9875036;IDC;1930;1943;1990;1990;2;2;0;1;0;5;0;M541049;1930;1960;1999;x
Son Sen;9875037;IDC;1930;1940;1990;1990;2;5;16;1;0;5;0;M541051;1930;1960;1999;x
Souvanna;9875038;IDC;1938;1944;1990;1990;2;2;0;1;0;5;0;M540009;1938;1960;1999;x
Thao Bac Tho;9875039;IDC;1945;1990;1990;1990;3;2;0;0;0;5;0;L542032;1945;1960;1999;x
Vinh Loc;9875040;IDC;1944;1990;1990;1990;3;2;1;0;0;5;0;L542034;1944;1960;1999;x
Vo Nguyen Giap;9875041;IDC;1930;1939;1942;1990;1;9;20;5;0;5;0;L542035;1930;1960;1999;x
Vuong Van Dong;9875042;IDC;1945;1990;1990;1990;3;2;256;0;0;5;0;L542036;1945;1960;1999;x
An Nuoc Cao;9875043;IDC;1945;1990;1990;1990;3;2;1024;0;0;5;1;L542037;1945;1960;1999;x
Aphay;9875044;IDC;1938;1990;1990;1990;3;2;0;0;0;5;1;M540034;1938;1960;1999;x
Ho Tan Quyen;9875045;IDC;1941;1946;1990;1990;2;3;1024;1;0;5;1;M542051;1941;1960;1999;x
Hy Weng;9875046;IDC;1939;1990;1990;1990;3;2;8192;0;0;5;1;M541041;1939;1960;1999;x
