Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Allon;559000;ISR;1930;1930;1940;1945;1;8;5;3;0;5;0;M559008;1930;1960;1999;x
Boyharin;559001;ISR;1938;1990;1990;1990;3;4;1;1;0;5;0;L559001;1938;1960;1999;x
Dayan;559002;ISR;1940;1944;1990;1990;2;8;132;3;0;5;0;L559002;1940;1960;1999;x
Eleazar;559003;ISR;1940;1943;1947;1990;1;7;132;3;0;5;0;L559003;1940;1960;1999;x
Ganani;559004;ISR;1944;1990;1990;1990;3;4;128;1;0;5;0;L559004;1944;1960;1999;x
Glorowitz;559005;ISR;1942;1990;1990;1990;3;4;0;1;0;5;0;L559005;1942;1960;1999;x
Grunwald;559006;ISR;1930;1990;1990;1990;3;4;256;1;0;5;0;M559044;1930;1943;1999;x
Harkabi;559007;ISR;1939;1942;1990;1990;2;5;32;2;0;5;0;M559039;1939;1960;1999;x
Herzl;559008;ISR;1943;1990;1990;1990;3;2;0;1;0;5;0;L559008;1943;1960;1999;x
Laskov;559009;ISR;1930;1940;1943;1990;1;7;256;3;0;5;0;M559010;1930;1960;1999;x
Mofaz;559010;ISR;1946;1990;1990;1990;3;3;1;1;0;5;0;L559010;1946;1960;1999;x
Narkiss;559011;ISR;1942;1946;1990;1990;2;5;4;2;0;5;0;L559011;1942;1960;1999;x
Rabin;559012;ISR;1940;1944;1990;1990;2;8;384;3;0;5;0;L559012;1940;1960;1999;x
Rosengarten;559013;ISR;1939;1990;1990;1990;3;6;4;1;0;5;0;M559041;1939;1960;1999;x
Sadeh;559014;ISR;1930;1939;1943;1990;1;7;17;3;0;5;0;L559014;1930;1960;1999;x
Sariq;559015;ISR;1939;1942;1990;1990;2;8;256;2;0;5;0;L559015;1939;1960;1999;x
Sharon;559016;ISR;1941;1944;1990;1990;2;6;6;3;0;5;0;L559016;1941;1960;1999;x
Sherot;559017;ISR;1944;1990;1990;1990;3;4;2;1;0;5;0;L559017;1944;1960;1999;x
Silberstein;559018;ISR;1940;1990;1990;1990;3;4;64;1;0;5;0;L559018;1940;1960;1999;x
Silverstein;559019;ISR;1930;1940;1990;1990;2;4;1;2;0;5;0;M559040;1930;1960;1999;x
Stern;559020;ISR;1939;1990;1990;1990;3;4;1;1;0;5;0;L559020;1939;1947;1999;x
Tannenbaum;559021;ISR;1945;1990;1990;1990;3;4;128;1;0;5;0;L559021;1945;1960;1999;x
Tavoril;559022;ISR;1941;1945;1990;1990;2;3;0;1;0;5;0;L559022;1941;1960;1999;x
Yadin;559023;ISR;1938;1942;1944;1990;1;6;64;3;0;5;0;M559007;1938;1960;1999;x
Zakhari;559024;ISR;1930;1990;1990;1990;3;2;2;1;0;5;0;M559038;1930;1944;1999;x
Zoref;559025;ISR;1930;1940;1990;1990;2;7;20;2;0;5;0;M559043;1930;1946;1999;x
Barnato;559026;ISR;1943;1990;1990;1990;3;4;8192;1;0;5;1;L559026;1943;1960;1999;x
Grunwald;559027;ISR;1930;1990;1990;1990;3;3;2048;1;0;5;1;M559044;1930;1943;1999;x
Krelitz;559028;ISR;1930;1990;1990;1990;3;4;1024;1;0;5;1;M559045;1930;1960;1999;x
Machuv;559029;ISR;1942;1990;1990;1990;3;3;1024;1;0;5;1;L559029;1942;1960;1999;x
Mattuck;559030;ISR;1938;1943;1990;1990;2;4;0;2;0;5;1;L559030;1938;1960;1999;x
Sayar;559031;ISR;1940;1990;1990;1990;3;3;0;1;0;5;1;L559031;1940;1960;1999;x
Ya'ari;559032;ISR;1938;1942;1945;1990;1;5;4096;3;0;5;1;M559009;1938;1960;1999;x
Ben Eliahu;559033;ISR;1944;1990;1990;1990;3;4;0;1;0;5;2;L559033;1944;1960;1999;x
Farkash;559034;ISR;1943;1990;1990;1990;3;3;8192;1;0;5;2;L559034;1943;1960;1999;x
Haloutz;559035;ISR;1944;1990;1990;1990;3;3;0;1;0;5;2;L559035;1944;1960;1999;x
Kedar;559036;ISR;1945;1990;1990;1990;3;4;131072;1;0;5;2;L559036;1945;1960;1999;x
Laskov;559037;ISR;1930;1940;1943;1990;1;5;0;3;0;5;2;M559010;1930;1960;1999;x
Magee;559038;ISR;1930;1940;1990;1990;2;4;16384;2;0;5;2;M559046;1930;1960;1999;x
Trumpelder;559039;ISR;1938;1990;1990;1990;3;3;4096;1;0;5;2;L559039;1938;1960;1999;x
Woolf;559040;ISR;1938;1943;1990;1990;2;4;4096;2;0;5;2;M559047;1938;1960;1999;x
