Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abe Nobuyuki;101000;JAP;1922;1927;1933;1990;1;5;513;2;0;5;0;LJAPAbeNobuyuki;1922;1942;1999;x
Adachi;101001;JAP;1938;1940;1990;1990;2;6;18;2;0;5;0;LJAPAdachiHatazo;1938;1950;1999;x
Yamamoto Y.;101002;JAP;1945;1990;1990;1990;3;5;0;2;0;5;1;LJAPYamamotoYuji;1945;1960;1999;x
Akashika;101003;JAP;1941;1990;1990;1990;3;4;0;1;0;5;0;L101003;1941;1960;1999;x
Akashita;101004;JAP;1939;1943;1990;1990;2;4;0;2;0;5;0;L101004;1939;1960;1999;x
Yamada K.;101005;JAP;1942;1944;1990;1990;3;5;128;2;0;5;0;LJAPYamadaKunitaro;1942;1960;1999;x
Amemiya;101006;JAP;1941;1944;1990;1990;3;5;2;2;0;5;0;LJAPAmemiyaTatsumi;1941;1955;1999;x
Anami;101007;JAP;1930;1938;1943;1990;1;6;4;2;0;5;0;LJAPAnamiKorechika;1930;1960;1999;x
Ando Rikichi;101008;JAP;1930;1938;1941;1990;1;7;4;3;0;5;0;LJAPAndoRikichi;1930;1960;1999;x
Ando S.;101009;JAP;1930;1942;1990;1990;2;4;576;1;0;5;0;L101009;1930;1960;1999;x
Aoki S.;101010;JAP;1939;1941;1990;1990;2;5;0;2;0;5;0;LJAPAokiShigemasa;1939;1943;1999;x
Aotsu;101011;JAP;1944;1990;1990;1990;3;3;2;1;0;5;0;L101011;1944;1990;1999;x
Araki;101012;JAP;1930;1930;1930;1990;1;4;520;2;0;5;0;LJAPArakiSadao;1930;1937;1999;x
Arikawa;101013;JAP;1944;1990;1990;1990;3;4;2;1;0;5;0;L101013;1944;1990;1999;x
Asaka;101014;JAP;1930;1930;1939;1990;1;6;4;3;0;5;0;LJAPAsakaPrince;1930;1939;1999;x
Ayabe;101016;JAP;1940;1943;1990;1990;2;6;0;3;0;5;0;LJAPAyabeKitsuju;1940;1960;1999;x
Baba;101017;JAP;1940;1943;1990;1990;2;6;3;2;0;5;0;LJAPBabaMasao;1940;1960;1999;x
Banzai;101018;JAP;1943;1944;1990;1990;2;5;1;2;0;5;0;LJAPBanzaiIchiro;1943;1955;1999;x
Cho;101020;JAP;1940;1944;1990;1990;3;5;4;2;0;5;0;LJAPChoIsamu;1940;1960;1999;x
Doihara;101021;JAP;1930;1930;1941;1990;1;6;17;3;0;5;0;LJAPDoiharaKenji;1930;1950;1999;x
Endo;101022;JAP;1939;1942;1990;1990;2;4;0;2;0;5;2;LJAPEndoSaburo;1939;1960;1999;x
Fujie;101023;JAP;1930;1937;1943;1990;1;7;64;3;0;5;0;LJAPFujieKeisuke;1930;1950;1999;x
Sugiyama R.;101024;JAP;1936;1940;1943;1990;2;5;0;2;0;5;1;LJAPSugiyamaRokuzo;1936;1950;1999;x
Fujioka;101025;JAP;1942;1944;1990;1990;3;6;3;2;0;5;0;LJAPFujiokaTakeo;1942;1960;1999;x
Yahagi;101026;JAP;1943;1990;1990;1990;3;5;0;2;0;5;0;LJAPYahagiNakao;1943;1960;1999;x
Kikkawa;101027;JAP;1943;1990;1990;1990;3;5;0;2;0;5;1;LJAPKikkawaKiyoshi;1943;1960;1999;x
Senda;101028;JAP;1940;1944;1990;1990;3;4;2;2;0;5;0;LJAPSendaSadasue;1940;1960;1999;x
Yamazumi;101029;JAP;1943;1990;1990;1990;3;4;0;1;0;5;1;LJAPYamazumiTeijiro;1943;1960;1999;x
Hanaya;101030;JAP;1940;1943;1990;1990;2;5;0;2;0;5;0;LJAPHanayaTadashi;1940;1957;1999;x
Hoshina;101031;JAP;1940;1943;1990;1990;2;5;0;2;0;5;1;LJAPHoshinaZenshiro;1940;1960;1999;x
Harada;101032;JAP;1937;1940;1990;1990;2;5;0;2;0;5;0;LJAPHaradaKumakichi;1937;1955;1999;x
Hashimoto;101033;JAP;1930;1939;1990;1990;2;5;0;2;0;5;0;LJAPHashimotoGun;1930;1940;1999;x
Hata Shunroku;101034;JAP;1926;1931;1937;1944;1;7;4;4;0;5;0;LJAPHataShunroku;1926;1950;1999;x
Hattori;101035;JAP;1946;1990;1990;1990;3;5;16;1;0;5;0;LJAPHattoriTakushiro;1946;1960;1999;x
Hayashi;101036;JAP;1930;1930;1990;1990;2;5;1;2;0;5;0;LJAPHayashiKatsura;1930;1938;1999;x
Hayashida;101037;JAP;1945;1990;1990;1990;3;4;0;1;0;5;0;L101037;1945;1960;1999;x
Higashikuni;101038;JAP;1930;1937;1939;1990;0;6;4;3;0;5;0;LJAPHigashikuniNaruhiko;1930;1960;1999;x
Higuchi;101039;JAP;1938;1942;1990;1990;2;6;1;2;0;5;0;LJAPHiguchiKiichiro;1938;1955;1999;x
Hirata;101040;JAP;1945;1990;1990;1990;3;5;0;1;0;5;0;L101040;1945;1960;1999;x
Yoshizawa;101041;JAP;1937;1940;1990;1990;3;4;0;2;0;5;0;LJAPYoshizawaTadao;1937;1941;1999;x
Hitomi;101042;JAP;1941;1943;1990;1990;2;5;8;2;0;5;0;L101042;1941;1960;1999;x
Honda M.;101043;JAP;1937;1939;1990;1990;2;6;3;2;0;5;0;LJAPHondaMasaki;1937;1960;1999;x
Honma;101046;JAP;1935;1941;1990;1990;2;7;4;3;0;5;0;LJAPHonmaMasaharu;1935;1955;1999;x
Yoneyama;101047;JAP;1941;1944;1990;1990;2;5;0;2;0;5;0;LJAPYoneyamaKyuma;1941;1960;1999;x
Horii;101048;JAP;1940;1942;1990;1990;3;7;256;2;0;5;0;LJAPHoriiTomitaro;1940;1955;1999;x
Kozuki;101049;JAP;1937;1942;1990;1990;1;6;2;2;0;5;0;LJAPKozukiYoshio;1937;1950;1999;x
Hoshinato;101050;JAP;1942;1944;1990;1990;2;5;128;2;0;5;0;L101050;1942;1960;1999;x
Hyakutake;101051;JAP;1939;1940;1990;1990;2;6;3;3;0;5;0;LJAPHyakutakeHarukichi;1939;1950;1999;x
Ichiki;101052;JAP;1942;1990;1990;1990;3;5;256;1;0;5;0;LJAPIchikiKiyonao;1942;1955;1999;x
Ide S.;101053;JAP;1943;1990;1990;1990;3;4;0;1;0;5;0;L101053;1943;1960;1999;x
Ide T.;101054;JAP;1937;1939;1990;1990;3;5;1;1;0;5;0;L101054;1937;1960;1999;x
Iida Sadatake;101055;JAP;1937;1939;1990;1990;2;7;4;3;0;5;0;LJAPIidaSadakate;1937;1942;1999;x
Iimura;101056;JAP;1937;1939;1990;1990;2;6;1;2;0;5;0;LJAPIimuraJo;1939;1955;1999;x
Ijuin;101057;JAP;1944;1990;1990;1990;3;5;0;1;0;5;1;LJAPIjuin;1944;1960;1999;x
Imai T.;101058;JAP;1943;1990;1990;1990;3;5;0;2;0;5;0;LJAPImaiTakeo;1943;1960;1999;x
Sogawa;101059;JAP;1941;1944;1990;1990;2;7;0;2;0;5;0;LJAPSogawaJiro;1941;1960;1999;x
Imamura Hitoshi;101060;JAP;1930;1938;1943;1990;1;7;268435715;4;0;5;0;LJAPImamuraHitoshi;1930;1960;1999;x
Ishiguro T.;101062;JAP;1938;1940;1990;1990;2;5;0;2;0;5;0;LJAPIshiguroTeizo;1938;1950;1999;x
Nishihara;101065;JAP;1939;1943;1990;1990;2;6;129;2;0;5;0;LJAPNishiharaIssaku;1939;1960;1999;x
Ishiwara;101066;JAP;1937;1939;1990;1990;2;6;20;3;0;5;0;LJAPIshiwaraKanji;1937;1950;1999;x
Isogai;101067;JAP;1933;1937;1990;1990;3;5;1;2;0;5;0;LJAPIsogaiRensuke;1933;1950;1999;x
Yokoyama T.;101068;JAP;1942;1944;1990;1990;3;4;0;1;0;5;0;LJAPYokoyamaTakehiko;1942;1960;1999;x
Itagaki;101070;JAP;1930;1937;1941;1990;1;7;4;3;0;5;0;LJAPItagakiSeishiro;1930;1960;1999;x
Ito;101071;JAP;1941;1944;1990;1990;3;4;4;2;0;5;0;LJAPItoTakeo;1941;1960;1999;x
Iwakuro;101072;JAP;1943;1990;1990;1990;3;5;0;1;0;5;0;LJAPIwakuroHideo;1943;1960;1999;x
Izeki;101073;JAP;1930;1941;1990;1990;2;4;0;2;0;5;0;L101073;1930;1960;1999;x
Kajika;101074;JAP;1942;1946;1990;1990;3;5;0;2;0;5;0;L101074;1942;1960;1999;x
Kanda;101075;JAP;1941;1945;1990;1990;2;6;2;2;0;5;0;LJAPKandaMasatane;1941;1960;1999;x
