Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Chae Byong Duk;578000;KOR;1930;1939;1944;1990;1;3;2;2;0;5;0;M578007;1930;1960;1999;x
Chi Chun Chung;578001;KOR;1930;1930;1942;1990;1;5;0;2;0;5;0;M578017;1930;1960;1999;x
Choi Hong Hi;578002;KOR;1941;1943;1990;1990;2;4;256;1;0;5;0;L578002;1941;1960;1999;x
Gu In Tak;578003;KOR;1945;1990;1990;1990;3;4;64;0;0;5;0;L578003;1945;1960;1999;x
Kim Shee Jen;578004;KOR;1945;1990;1990;1990;3;3;4;0;0;5;0;L578004;1945;1960;1999;x
Kim Won Bong;578005;KOR;1930;1930;1930;1941;0;6;17;2;0;5;0;M578018;1930;1947;1999;x
Koo Han-yong;578006;KOR;1944;1990;1990;1990;3;4;32;0;0;5;0;L578006;1944;1960;1999;x
Lee Chung Chun;578007;KOR;1930;1938;1944;1990;1;5;3;3;0;5;0;M578008;1930;1960;1999;x
Lee Hung Koon;578008;KOR;1939;1942;1990;1990;2;4;16;1;0;5;0;L578008;1939;1960;1999;x
Mo Chang-hoi;578009;KOR;1945;1990;1990;1990;3;3;0;0;0;5;0;L578009;1945;1960;1999;x
Paik Sun Yup;578010;KOR;1944;1990;1990;1990;3;4;9;0;0;5;0;L578010;1944;1960;1999;x
Park Chung Hee;578011;KOR;1943;1945;1990;1990;2;5;4;1;0;5;0;L578011;1943;1960;1999;x
Wang Tang-woe;578012;KOR;1945;1990;1990;1990;3;3;256;0;0;5;0;L578012;1945;1960;1999;x
Yu Hong-chul;578013;KOR;1944;1990;1990;1990;3;4;128;0;0;5;0;L578013;1944;1960;1999;x
Han Gil Su;578014;KOR;1944;1990;1990;1990;3;3;1024;0;0;5;1;L578014;1944;1960;1999;x
Jong Dong-ju;578015;KOR;1930;1941;1990;1990;2;4;2048;1;0;5;1;M578019;1930;1960;1999;x
Kang Jong Pil;578016;KOR;1942;1990;1990;1990;3;3;0;0;0;5;1;L578016;1942;1960;1999;x
Seo Chae-ko;578017;KOR;1945;1990;1990;1990;3;3;0;0;0;5;1;L578017;1945;1960;1999;x
Soon Won-yil;578018;KOR;1930;1940;1943;1990;1;4;4096;3;0;5;1;M578009;1930;1960;1999;x
Choi Hong Hi;578019;KOR;1941;1943;1990;1990;2;3;0;1;0;5;2;L578002;1941;1960;1999;x
Kang Hae Sup;578020;KOR;1943;1990;1990;1990;3;3;131072;0;0;5;2;L578020;1943;1960;1999;x
Kim Tae Sun;578021;KOR;1945;1990;1990;1990;3;3;4096;0;0;5;2;L578021;1945;1960;1999;x
Lee Bom Suk;578022;KOR;1930;1930;1943;1990;1;4;16384;2;0;5;2;M578010;1930;1960;1999;x
Ri Jae Sun;578023;KOR;1930;1941;1990;1990;2;4;131072;1;0;5;2;M578020;1930;1960;1999;x
Sinn Do-keun;578024;KOR;1939;1943;1990;1990;2;3;0;1;0;5;2;L578024;1939;1960;1999;x
