Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bala;548000;KUR;1930;1939;1990;1990;2;3;8;1;0;5;0;M548025;1930;1960;1999;x
Baltzer;548001;KUR;1940;1990;1990;1990;3;3;2;0;0;5;0;L548001;1940;1960;1999;x
Barzani;548002;KUR;1939;1942;1946;1990;1;6;16;3;0;5;0;M548028;1939;1960;1999;x
Biermann;548003;KUR;1940;1990;1990;1990;3;4;4;0;0;5;0;L548003;1940;1946;1999;x
Demirkol;548004;KUR;1930;1930;1941;1990;2;3;0;2;0;5;0;M548007;1930;1960;1999;x
Drees;548005;KUR;1939;1990;1990;1990;3;3;0;0;0;5;0;L548005;1939;1960;1999;x
Eberts;548006;KUR;1939;1990;1990;1990;3;4;4;0;0;5;0;L548006;1939;1946;1999;x
Eichstädt;548007;KUR;1940;1990;1990;1990;3;4;128;0;0;5;0;L548007;1940;1960;1999;x
Fischer;548008;KUR;1940;1990;1990;1990;3;3;32;0;0;5;0;L548008;1940;1960;1999;x
Geznen;548009;KUR;1930;1943;1990;1990;2;3;128;1;0;5;0;L548009;1930;1960;1999;x
Haktanir;548010;KUR;1937;1990;1990;1990;3;3;1;0;0;5;0;L548010;1937;1960;1999;x
Hausser;548011;KUR;1939;1990;1990;1990;3;4;544;1;0;5;0;L548011;1939;1945;1999;x
Jahanpur;548012;KUR;1938;1990;1990;1990;3;2;0;0;0;5;0;L548012;1938;1944;1999;x
Kriegbaum;548013;KUR;1939;1990;1990;1990;3;3;64;0;0;5;0;L548013;1939;1960;1999;x
Lukhman;548014;KUR;1943;1946;1990;1990;2;4;17;1;0;5;0;M548024;1943;1960;1999;x
Maslum;548015;KUR;1945;1990;1990;1990;3;2;256;0;0;5;0;L548015;1945;1960;1999;x
Ocalan;548016;KUR;1930;1930;1930;1990;1;3;1;1;0;5;0;M548008;1930;1946;1999;x
Pakravan;548017;KUR;1939;1990;1990;1990;3;2;1;0;0;5;0;L548017;1939;1960;1999;x
Roohizadegan;548018;KUR;1930;1930;1990;1990;2;3;64;1;0;5;0;M548026;1930;1960;1999;x
Söldner;548019;KUR;1941;1990;1990;1990;3;4;256;0;0;5;0;L548019;1941;1960;1999;x
Tanju;548020;KUR;1930;1940;1990;1990;3;2;2;1;0;5;0;M548027;1930;1960;1999;x
von Bismarck;548021;KUR;1930;1990;1990;1990;3;4;513;1;0;5;0;L548021;1930;1945;1999;x
von Dewitz zu Krebs;548022;KUR;1939;1990;1990;1990;3;4;256;0;0;5;0;L548022;1939;1960;1999;x
Aqiqat;548023;KUR;1930;1990;1990;1990;3;2;1024;0;0;5;1;M548029;1930;1960;1999;x
Inanc;548024;KUR;1938;1990;1990;1990;3;2;8192;0;0;5;1;L548024;1938;1960;1999;x
Killic;548025;KUR;1930;1990;1990;1990;3;2;0;0;0;5;1;M548030;1930;1945;1999;x
Wenninger;548026;KUR;1930;1930;1940;1990;1;2;0;1;0;5;1;L548026;1930;1945;1999;x
Zafavi;548027;KUR;1930;1941;1990;1990;2;3;2048;1;0;5;1;M548009;1930;1960;1999;x
Danckelmann;548028;KUR;1938;1939;1941;1990;1;4;0;3;0;5;2;L548028;1938;1947;1999;x
Demirkol;548029;KUR;1930;1930;1941;1990;2;3;131072;1;0;5;2;M548007;1930;1960;1999;x
Hesse;548030;KUR;1940;1990;1990;1990;3;3;65536;0;0;5;2;L548030;1940;1960;1999;x
Krapp;548031;KUR;1941;1990;1990;1990;3;4;4096;0;0;5;2;L548031;1941;1946;1999;x
Vardad;548032;KUR;1941;1945;1990;1990;2;2;16384;1;0;5;2;M548032;1941;1960;1999;x
Za'irpur;548033;KUR;1930;1990;1990;1990;3;2;32768;0;0;5;2;M548031;1930;1960;1999;x
Özal;548034;KUR;1939;1990;1990;1990;3;2;0;0;0;5;2;L548034;1939;1960;1999;x
