Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Henrici;19000;LAT;1930;1937;1990;1990;1;7;1;3;0;5;0;Kaiserreich Hans Henrici;1930;1990;1999;x
Dormagen;19001;LAT;1930;1990;1990;1990;2;5;2;1;0;5;0;Kaiserreich Karl Dormagen;1930;1960;1999;x
von Marnitz;19002;LAT;1930;1940;1990;1990;2;5;3;1;0;5;0;Kaiserreich von Marnitz;1930;1960;1999;x
von Doser;19003;LAT;1930;1930;1990;1990;2;5;4;2;0;5;0;Kaiserreich von Doser;1930;1990;1999;x
von Behr;19004;LAT;1930;1990;1990;1990;3;4;2;1;0;5;0;Kaiserreich Baron von Behr;1930;1960;1999;x
Jahn;19005;LAT;1930;1930;1947;1990;2;5;66;2;0;5;0;Kaiserreich Kurt Jahn;1930;1960;1999;x
Wassel von Loringhoven;19006;LAT;1930;1930;1990;1990;2;6;256;2;0;5;0;Kaiserreich von Loringhoven;1930;1990;1999;x
Andersen;19007;LAT;1930;1940;1990;1990;2;7;272;3;0;5;0;Kaiserreich Kurt Andersen;1930;1990;1999;x
von der Goltz;19008;LAT;1930;1930;1930;1945;2;5;516;2;0;5;0;Kaiserreich von der Goltz;1930;1946;1999;x
Graf zu Dohna-Schlobitten;19009;LAT;1930;1930;1990;1990;1;5;2;0;0;5;0;heinrich Doha;1930;1943;1999;x
von Medem;19010;LAT;1930;1930;1990;1990;1;5;0;1;0;5;0;walter medem;1930;1990;1999;x
Carl Manteuffel-Szoege;19011;LAT;1930;1930;1990;1990;1;5;512;1;0;5;0;???;1930;1948;1999;x
Georg Manteuffel-Szoege;19012;LAT;1930;1930;1990;1990;1;5;528;1;0;5;0;georg manteuffel;1930;1990;1999;x
Bassen-Spiller;19013;LAT;1930;1930;1990;1990;1;5;0;2;0;5;0;paul spiller;1930;1990;1999;x
Buchardt;19014;LAT;1930;1930;1990;1990;1;5;5;0;0;5;0;Friedrich Buchardt;1930;1990;1999;x
von Salza;19015;LAT;1930;1930;1990;1990;2;4;2048;1;0;5;1;Kaiserreich von Salza;1930;1952;1999;x
Schiller;19016;LAT;1930;1930;1990;1990;2;5;0;1;0;5;1;Kaiserreich Rudolf Schiller;1930;1960;1999;x
von Keyserling;19017;LAT;1930;1930;1930;1990;1;5;4096;1;0;5;1;archibald kayserling;1930;1951;1999;x
Lüth;19018;LAT;1938;1990;1990;1990;1;8;1024;2;0;5;1;wolfgang luth;1938;1990;1999;x
Tiesenhausen;19019;LAT;1939;1990;1990;1990;1;5;1024;1;0;5;1;tiesenhausen;1939;1990;1999;x
Sepp;19020;LAT;1930;1990;1990;1990;3;5;32768;1;0;5;2;M26056;1930;1990;1999;x
Alt;19021;LAT;1930;1930;1990;1990;2;5;81920;1;0;5;2;Kaiserreich Erich Alt;1930;1990;1999;x
Loerzer;19022;LAT;1930;1930;1990;1990;1;6;4096;2;0;5;2;Kaiserreich Bruno Loerzer;1930;1990;1999;x
von Kruedener;19023;LAT;1930;1990;1990;1990;1;5;4096;0;0;5;2;Mkruerader;1930;1990;1999;x
Bernd von Loringhoven;19024;LAT;1943;1990;1990;1990;1;5;6;2;0;5;0;bernd loringhoven;1943;1990;1999;x
von Koskull;19025;LAT;1930;1990;1990;1990;1;5;0;1;0;5;0;Andreas Koskull;1930;1990;1999;x
von Kursell;19026;LAT;1930;1930;1990;1990;1;5;1;2;0;5;0;otto kursell;1930;1990;1999;x
Lieven;19027;LAT;1930;1930;1930;1990;1;5;516;2;0;5;0;anatol lieven;1930;1937;1999;x
von Radetzky;19028;LAT;1930;1930;1990;1990;1;5;16;1;0;5;0;waldemar redetzky;1930;1990;1999;x
Rahr;19029;LAT;1930;1930;1990;1990;1;5;2;2;0;5;0;erwin rahr;1930;1990;1999;x
von Timroth;19030;LAT;1930;1930;1990;1990;1;5;513;0;0;5;0;???;1930;1941;1999;x
Zeitler;19031;LAT;1930;1990;1990;1990;1;5;0;1;0;5;0;???;1930;1953;1999;x
von Weiß;19032;LAT;1930;1930;1990;1990;1;5;0;2;0;5;0;weiss;1930;1990;1999;x
Alfred Fletcher;19033;LAT;1930;1930;1930;1990;1;5;12;1;0;5;0;alfred fletscher;1930;1990;1999;x
von Radecki;19034;LAT;1930;1930;1990;1990;1;5;0;0;0;5;0;sigismund radecki;1930;1990;1999;x
Strobel;19035;LAT;1930;1930;1990;1990;1;5;32;1;0;5;0;carl strobel;1930;1990;1999;x
Bishof;19036;LAT;1930;1930;1930;1990;1;5;68;1;0;5;0;Jozef Bisof;1930;1990;1999;x
von Plehwe;19037;LAT;1930;1930;1990;1990;1;5;3;3;0;5;0;Karl Plehve;1930;1958;1999;x
von Brandis;19038;LAT;1930;1930;1990;1990;1;5;64;1;0;5;0;cordt brandis;1930;1990;1999;x
Haupt;19039;LAT;1930;1930;1990;1990;1;5;514;1;0;5;0;hans Haupt;1930;1942;1999;x
von Ziehlberg;19040;LAT;1930;1930;1990;1990;1;5;20;2;0;5;0;ziehlberg;1930;1990;1999;x
von Eberhardt;19041;LAT;1930;1930;1990;1990;1;5;516;2;0;5;0;walter eberhardt;1930;1944;1999;x
Hopman;19042;LAT;1930;1930;1930;1990;2;5;4096;0;0;5;1;albert hopman;1930;1942;1999;x
Sievert;19043;LAT;1930;1930;1990;1990;1;5;512;3;0;5;0;sievert;1930;1990;1999;x
