Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adatins;19500;U20;1938;1990;1990;1990;3;4;0;1;0;5;1;LJanis_Adatins;1938;1954;1999;x
Bergs-Kalns;19501;U20;1937;1990;1990;1990;3;5;1024;1;0;5;1;LAdolfs_Bergs-Kalns;1937;1957;1999;x
Blodnieks;19502;U20;1930;1990;1990;1990;3;4;8192;1;0;5;1;LReinholds_Blodnieks;1930;1951;1999;x
Bruders;19503;U20;1940;1990;1990;1990;3;5;0;1;0;5;1;LAntons_Bruders;1940;1970;1999;x
Dabolins;19504;U20;1960;1990;1990;1990;3;4;0;0;0;5;1;L19031;1960;1990;1999;x
Grigaitis;19505;U20;1936;1944;1990;1990;2;5;1024;1;0;5;1;LKarl_Leopoldovich_Grigaitis;1936;1961;1999;x
Grotins;19506;U20;1936;1990;1990;1990;3;4;8192;1;0;5;1;LMikelis_Grotins;1936;1948;1999;x
Kalacis;19507;U20;1930;1990;1990;1990;3;4;1024;1;0;5;1;LKarlis_Kalacis;1930;1949;1999;x
Keizerlings;19508;U20;1921;1927;1990;1990;2;5;2048;2;0;5;1;archibald kayserling;1921;1947;1999;x
Legzdins;19509;U20;1941;1990;1990;1990;3;5;1024;1;0;5;1;LHugo_Legzdins;1941;1970;1999;x
Rodins;19510;U20;1937;1990;1990;1990;3;4;1024;1;0;5;1;LOskars_Rodins;1937;1957;1999;x
Spade;19511;U20;1929;1938;1990;1990;2;5;4096;1;0;5;1;LTeodors_Spade;1929;1956;1999;x
Balodis E.;19512;U20;1936;1990;1990;1990;3;4;8192;1;0;5;2;LEduards_Balodis;1936;1960;1999;x
Balodis N.;19513;U20;1937;1990;1990;1990;3;4;4096;1;0;5;2;LNikolajs_Balodis;1937;1964;1999;x
Basko;19514;U20;1930;1938;1990;1990;2;6;49152;2;0;5;2;LJezups_Basko;1930;1954;1999;x
Bergholcs;19515;U20;1936;1942;1990;1990;2;6;49152;2;0;5;2;LAugusts_Bergholcs;1936;1962;1999;x
Blaus;19516;U20;1939;1990;1990;1990;3;5;0;1;0;5;2;LKarlis_Blaus;1939;1967;1999;x
Bulmanis;19517;U20;1936;1990;1990;1990;3;5;4096;1;0;5;2;LNikolajs_Bulmanis;1936;1965;1999;x
Dzenitis;19518;U20;1938;1990;1990;1990;3;4;65536;1;0;5;2;LAugusts_Dzenitis;1938;1966;1999;x
Ercums;19519;U20;1940;1990;1990;1990;3;4;131072;1;0;5;2;LKarlis_Ercums;1940;1965;1999;x
Graudins;19520;U20;1944;1990;1990;1990;3;5;65536;1;0;5;2;LAugusts_Graudins;1944;1968;1999;x
Indans;19521;U20;1931;1940;1990;1990;2;6;0;2;0;5;2;L19036;1931;1960;1999;x
Jakubovs;19522;U20;1936;1990;1990;1990;3;5;131072;1;0;5;2;LVoldemars_Jakubovs;1936;1959;1999;x
Jevlampjevs;19523;U20;1930;1990;1990;1990;3;5;131072;2;0;5;2;LNikolajs_Jevlampjevs;1930;1944;1999;x
Kandis;19524;U20;1937;1944;1990;1990;2;5;73728;1;0;5;2;LRudolfs_Kandis;1937;1966;1999;x
Lapins A.;19525;U20;1921;1936;1945;1990;1;7;0;1;0;5;2;LAlberts_Lapins;1921;1964;1999;x
Lapins A.;19526;U20;1921;1936;1945;1990;1;8;4;2;0;5;0;LAlberts_Lapins;1921;1964;1999;x
Liepins Ed.;19527;U20;1940;1990;1990;1990;3;5;16384;1;0;5;2;LEduards_Jura_dels_Liepins;1940;1962;1999;x
Mezeraups;19528;U20;1935;1940;1990;1990;2;7;0;2;0;5;2;LPyotr_Khristoforovich_Mezheraup;1935;1960;1999;x
Nekunde;19529;U20;1942;1990;1990;1990;3;6;4096;1;0;5;2;LMatvey_Karlovich_Baikalov;1942;1970;1999;x
Pukse;19530;U20;1938;1990;1990;1990;3;5;8192;1;0;5;2;LOlgerts_Bernhards_Pukse;1938;1965;1999;x
Pumpurs;19531;U20;1936;1940;1990;1990;2;6;4096;1;0;5;2;LPyotr_Ivanovich_Pumpur;1936;1964;1999;x
Rucels;19532;U20;1942;1990;1990;1990;3;6;0;1;0;5;2;L19039;1942;1966;1999;x
Skurbe;19533;U20;1929;1944;1990;1990;3;5;8192;1;0;5;2;LArvids_Skurbe;1929;1953;1999;x
Sprogis F.;19534;U20;1940;1990;1990;1990;3;5;65536;1;0;5;2;LFricis_Sprogis;1940;1962;1999;x
Tomsons;19535;U20;1930;1930;1990;1990;2;6;4096;2;0;5;2;LEduards_Tomsons;1930;1956;1999;x
