Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adamkavicius;130000;LIT;1939;1990;1990;1990;3;4;8;1;0;5;0;L130000;1939;1953;1999;x
Baltusis-Zemaitis;130001;LIT;1939;1990;1990;1990;3;5;8;1;0;5;0;LFeliksas_Baltusis-Zemaitis;1939;1962;1999;x
Barzda-Bradauskas;130002;LIT;1938;1990;1990;1990;3;4;32;1;0;5;0;L130002;1938;1961;1999;x
Cepas-Cepauskas;130003;LIT;1938;1990;1990;1990;3;4;2;1;0;5;0;L130003;1938;1964;1999;x
Galvydis-Bykauskas;130004;LIT;1930;1930;1930;1990;1;5;514;2;0;5;0;L130004;1930;1939;1999;x
Jackus;130005;LIT;1930;1931;1990;1990;2;6;4;2;0;5;0;L130005;1930;1960;1999;x
Cernius;130006;LIT;1937;1942;1990;1990;3;6;32;1;0;5;0;LJonas_Cernius;1937;1963;1999;x
Karvelis;130007;LIT;1938;1944;1990;1990;3;5;0;1;0;5;0;L130007;1938;1966;1999;x
Ladiga;130008;LIT;1925;1938;1990;1990;2;6;4;2;0;5;0;LKazys_Ladiga;1925;1960;1999;x
Pundzevicius;130009;LIT;1935;1990;1990;1990;3;6;0;2;0;5;0;LStasys_Pundzevicius;1935;1960;1999;x
Musteikis;130010;LIT;1937;1940;1990;1990;2;5;536870913;1;0;5;0;L130010;1937;1960;1999;x
Navakas;130011;LIT;1936;1990;1990;1990;3;4;1;1;0;5;0;LKazys_Navakas;1936;1945;1999;x
Popeliucka;130012;LIT;1935;1990;1990;1990;3;5;33;2;0;5;0;LKlemensas_Popeliucka;1935;1958;1999;x
Sprangauskas;130013;LIT;1940;1990;1990;1990;3;4;0;1;0;5;0;LKazys_Sprangauskas;1940;1960;1999;x
Radus-Zenkavicius;130014;LIT;1930;1990;1990;1990;3;4;512;2;0;5;0;L130014;1930;1940;1999;x
Ramanasukas-Vanagas;130015;LIT;1944;1990;1990;1990;3;5;256;0;0;5;0;L130015;1944;1970;1999;x
Rastikis;130016;LIT;1930;1937;1940;1990;1;7;1;2;0;5;0;LStasys_Rastikis;1930;1962;1999;x
Reklaitis;130017;LIT;1936;1990;1990;1990;3;4;0;1;0;5;0;L130017;1936;1960;1999;x
Skucas;130018;LIT;1939;1990;1990;1990;3;4;0;1;0;5;0;LKazys_Skucas;1939;1960;1999;x
Sutkus;130019;LIT;1931;1939;1990;1990;3;4;1;1;0;5;0;L130019;1931;1960;1999;x
Tallat-Kelpša;130020;LIT;1935;1990;1990;1990;3;4;4;1;0;5;0;L130020;1935;1958;1999;x
Urbsas;130021;LIT;1943;1990;1990;1990;3;5;0;1;0;5;0;L130021;1943;1970;1999;x
Vitkauskas;130022;LIT;1935;1940;1990;1990;2;7;2;2;0;5;0;LVincas_Vitkauskas;1935;1956;1999;x
Vitkus;130023;LIT;1941;1990;1990;1990;3;5;32;1;0;5;0;L130023;1941;1966;1999;x
Zemaitis;130024;LIT;1944;1990;1990;1990;3;5;320;1;0;5;0;L130024;1944;1970;1999;x
Alsauskas;130025;LIT;1960;1990;1990;1990;3;4;0;0;0;5;1;L130025;1960;1990;1999;x
Bielazarevicius;130026;LIT;1930;1990;1990;1990;3;3;0;0;0;5;1;L130026;1930;1942;1999;x
Dirmantas;130027;LIT;1960;1990;1990;1990;2;4;0;1;0;5;1;L130027;1960;1990;1999;x
Macijauskas;130028;LIT;1960;1990;1990;1990;3;4;0;0;0;5;1;L130028;1960;1990;1999;x
Petrauskas;130029;LIT;1930;1990;1990;1990;3;3;1024;0;0;5;1;L130029;1930;1960;1999;x
Petrulis;130030;LIT;1960;1990;1990;1990;3;4;0;0;0;5;1;L130030;1960;1990;1999;x
Kraucevicius;130031;LIT;1936;1990;1990;1990;3;5;8192;1;0;5;2;LEugenijus_Kraucevicius;1936;1964;1999;x
Januskevicius;130032;LIT;1939;1990;1990;1990;3;5;131072;1;0;5;2;LCeslovas_Januskevicius;1939;1967;1999;x
Gustaitis;130033;LIT;1935;1937;1990;1990;2;7;0;2;0;5;2;L130033;1935;1963;1999;x
Jankauskas;130034;LIT;1938;1990;1990;1990;3;5;0;1;0;5;2;LJuozas_Jankauskas;1938;1966;1999;x
Kovas;130035;LIT;1940;1990;1990;1990;3;5;0;1;0;5;2;LJurgis_Kovas;1940;1970;1999;x
Lendraitis;130036;LIT;1939;1990;1990;1990;3;4;131072;1;0;5;2;LLeonas_Lendraitis;1939;1970;1999;x
Plechavicius;130037;LIT;1930;1930;1990;1990;1;6;20;2;0;5;0;M28155;1930;1955;1999;x
Darius;130038;LIT;1930;1990;1990;1990;3;4;0;1;0;5;2;M28162;1930;1962;1999;x
Dobkevicius;130039;LIT;1936;1990;1990;1990;3;4;0;1;0;5;2;M28163;1936;1966;1999;x
Daugirdas;130040;LIT;1936;1990;1990;1990;3;3;1024;1;0;5;1;LAdomas_Daugirdas;1936;1960;1999;x
Daukantas;130041;LIT;1936;1990;1990;1990;3;4;0;1;0;5;1;LTeodoras_Daukantas;1936;1950;1999;x
Kaskelis;130042;LIT;1930;1990;1990;1990;3;4;2560;2;0;5;1;LAntanas_Kaskelis;1930;1944;1999;x
Tamosauskas;130043;LIT;1940;1990;1990;1990;3;4;0;1;0;5;1;LJuozas_Tamosauskas;1940;1965;1999;x
Labanauskas;130044;LIT;1940;1990;1990;1990;3;4;4096;1;0;5;1;LPovilas_Julius_Labanauskas;1940;1970;1999;x
