Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Thimayya;1234999;U35;1930;1930;1990;1990;0;9;3;3;0;5;0;L1234999;1930;1990;1999;x
Subbarayan;1235000;U35;1930;1930;1990;1990;2;6;513;1;0;5;0;M911200;1930;1946;1999;x
Iyengar;1235001;U35;1930;1930;1990;1990;2;6;2097153;1;0;5;0;M911201;1930;1990;1999;x
Arogyasamy;1235002;U35;1930;1990;1990;1990;1;6;0;1;0;5;0;M911203;1930;1990;1999;x
Muthiah;1235003;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;M911204;1930;1990;1999;x
Chandresh, I.;1235004;U35;1930;1990;1990;1990;0;5;0;0;0;5;0;L1235004;1930;1990;1999;x
Aran;1235005;U35;1930;1990;1990;1990;0;5;0;0;0;5;0;L1235005;1930;1990;1999;x
Pillai, E.A.;1235006;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235006;1930;1990;1999;x
Chellathurai;1235007;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235007;1930;1990;1999;x
Virendra;1235008;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235008;1930;1990;1999;x
Himanshu;1235009;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235009;1930;1990;1999;x
Tejas;1235010;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235010;1930;1990;1999;x
Nilesh;1235011;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235011;1930;1990;1999;x
Rao;1235012;U35;1930;1990;1990;1990;0;8;0;1;0;5;0;L1235012;1930;1990;1999;x
Javed;1235013;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235013;1930;1990;1999;x
Jival;1235014;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235014;1930;1990;1999;x
Balwant;1235015;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235015;1930;1990;1999;x
Rangan;1235016;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235016;1930;1990;1999;x
Rao, V.E.;1235017;U35;1930;1990;1990;1990;0;8;0;1;0;5;0;L1235017;1930;1990;1999;x
Sonu;1235024;U35;1930;1990;1990;1990;0;6;0;0;0;5;1;L1235024;1930;1990;1999;x
Parag;1235025;U35;1930;1990;1990;1990;0;6;0;0;0;5;1;L1235025;1930;1990;1999;x
Kanta;1235026;U35;1930;1990;1990;1990;0;6;0;0;0;5;1;L1235026;1930;1990;1999;x
Amar;1235027;U35;1930;1990;1990;1990;0;6;0;0;0;5;2;L1235027;1930;1990;1999;x
Gajendra;1235028;U35;1930;1990;1990;1990;0;6;0;0;0;5;2;L1235028;1930;1990;1999;x
Nivrutti;1235029;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235035;1930;1990;1999;x
Prabodhan;1235030;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235036;1930;1990;1999;x
Jasraj;1235031;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235037;1930;1990;1999;x
Oorjit;1235032;U35;1930;1990;1990;1990;0;6;0;0;0;5;1;L1235038;1930;1990;1999;x
Rujul;1235033;U35;1930;1990;1990;1990;0;6;0;0;0;5;1;L1235039;1930;1990;1999;x
Rishi;1235034;U35;1930;1990;1990;1990;0;6;0;1;0;5;1;L1235040;1930;1990;1999;x
Samrat;1235035;U35;1930;1990;1990;1990;0;6;0;0;0;5;1;L1235041;1930;1990;1999;x
Chittaswarup;1235036;U35;1930;1990;1990;1990;0;6;0;0;0;5;2;L1235042;1930;1990;1999;x
Madhu;1235037;U35;1930;1990;1990;1990;0;6;0;0;0;5;2;L1235043;1930;1990;1999;x
Prithvijaj;1235038;U35;1930;1990;1990;1990;0;6;0;1;0;5;2;L1235044;1930;1990;1999;x
Bhagat;1235039;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235046;1930;1990;1999;x
Baiju;1235040;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235047;1930;1990;1999;x
Shakshavali;1235041;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235048;1930;1990;1999;x
Krishnam;1235042;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235049;1930;1990;1999;x
Giri;1235043;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235050;1930;1990;1999;x
Naag;1235044;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235051;1930;1990;1999;x
Raju;1235045;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235052;1930;1990;1999;x
Esvaraavu;1235046;U35;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235053;1930;1990;1999;x
Deapal;1235047;U35;1930;1990;1990;1990;0;6;0;0;0;5;1;L1235054;1930;1990;1999;x
Dayaakar;1235048;U35;1930;1990;1990;1990;0;6;0;0;0;5;1;L1235055;1930;1990;1999;x
Amalesh;1235049;U35;1930;1990;1990;1990;0;6;0;0;0;5;2;L1235056;1930;1990;1999;x
Baaodhav;1235050;U35;1930;1990;1990;1990;0;6;0;0;0;5;2;L1235057;1930;1990;1999;x
