Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Cao Bingsen;250000;MAN;1933;1944;1990;1990;2;5;0;1;0;5;1;L250039;1933;1960;1999;x
Chen Jingwen;250001;MAN;1946;1961;1990;1990;2;6;0;1;0;5;1;LChen_Jingwen;1946;1970;1999;x
Huang Xuyu;250002;MAN;1930;1948;1990;1990;2;6;8192;2;0;5;1;LHuang_Xuyu;1930;1951;1999;x
Jiang Xiyuan;250003;MAN;1934;1944;1990;1990;2;5;0;1;0;5;1;LJiang_Xiyuan;1934;1965;1999;x
Li Wenlong;250004;MAN;1934;1941;1990;1990;2;4;0;0;0;5;1;L250028;1934;1960;1999;x
Lin Jianzhang;250005;MAN;1919;1925;1929;1990;1;5;512;3;0;5;1;Lin Chienchang;1919;1940;1999;x
Ling Xiao;250006;MAN;1927;1943;1990;1990;2;5;4096;2;0;5;1;LLing_Xiao;1927;1949;1999;x
Liu Guangkai;250007;MAN;1943;1956;1965;1990;1;7;0;2;0;5;1;LLiu_Guangkai;1943;1970;1999;x
Liu Tianpu;250008;MAN;1927;1940;1990;1990;3;5;0;2;0;5;1;LLiu_Tianpu;1927;1950;1999;x
Lu Weiyuan;250009;MAN;1944;1990;1990;1990;3;5;8192;1;0;5;1;LLu_Weiyuan;1944;1970;1999;x
Shen Honglie;250010;MAN;1920;1920;1930;1990;1;6;4096;2;0;5;1;MANShen Honglie;1920;1948;1999;x
Song Changzhi;250011;MAN;1945;1958;1967;1976;1;7;4096;2;0;5;1;LSong_Changzhi;1945;1970;1999;x
Song E;250012;MAN;1943;1953;1990;1990;2;7;8192;2;0;5;1;LSong_E;1943;1965;1999;x
Wang Shize;250013;MAN;1922;1990;1990;1990;3;4;8192;1;0;5;1;LWang_Shize;1922;1952;1999;x
Xie Gangzhe;250014;MAN;1921;1937;1990;1990;2;6;0;2;0;5;1;LXie_Gangzhe;1921;1950;1999;x
Yin Zuoqian;250015;MAN;1932;1935;1943;1990;1;6;0;2;0;5;1;L250032;1932;1952;1999;x
Zhang Xuesi;250016;MAN;1945;1955;1990;1990;2;6;1024;1;0;5;1;L76353;1945;1970;1999;x
Zheng Daoji;250017;MAN;1942;1990;1990;1990;3;5;2048;1;0;5;1;L76354;1942;1970;1999;x
Bai Jingfeng;250018;MAN;1934;1943;1990;1990;2;5;16384;1;0;5;2;LBai_Jingfeng;1934;1963;1999;x
Cao Bingsen;250019;MAN;1933;1944;1990;1990;2;4;131072;1;0;5;2;L250039;1933;1960;1999;x
Chen Yifan;250020;MAN;1943;1957;1970;1990;2;7;32768;2;0;5;2;LChen_Yifan;1943;1970;1999;x
Feng Yong;250021;MAN;1926;1938;1990;1990;2;6;0;2;0;5;2;Feng Yong;1926;1966;1999;x
Gao Jiyi;250022;MAN;1936;1990;1990;1990;3;6;8192;1;0;5;2;LGao_Jiyi;1936;1955;1999;x
Gao Youxin;250023;MAN;1942;1990;1990;1990;3;6;4096;2;0;5;2;LGao_Youxin;1942;1970;1999;x
Gao Zhihang;250024;MAN;1937;1943;1990;1990;2;7;4096;2;0;5;2;L50376;1937;1970;1999;x
Ge Shichang;250025;MAN;1940;1948;1990;1990;2;6;24576;2;0;5;2;LGe_Shichang;1940;1967;1999;x
Jiang Pengfei;250026;MAN;1939;1946;1990;1990;2;5;8192;1;0;5;2;LJiang_Pengfei;1939;1970;1999;x
Li Guidan;250027;MAN;1938;1990;1990;1990;3;6;4096;1;0;5;2;LLi_Guidan;1938;1970;1999;x
Liu Cuigang;250028;MAN;1937;1990;1990;1990;3;5;4096;1;0;5;2;Liu Cuigang;1937;1970;1999;x
Shen Honglie;250029;MAN;1920;1920;1930;1990;1;5;131072;2;0;5;2;MANShen Honglie;1920;1948;1999;x
Tong Yanbo;250030;MAN;1943;1990;1990;1990;3;5;98304;2;0;5;2;LTong_Yanbo;1943;1970;1999;x
Wu Kai;250031;MAN;1946;1964;1990;1990;3;5;8192;1;0;5;2;LWu_Kai;1946;1970;1999;x
Wu Yue;250032;MAN;1944;1959;1976;1990;2;6;49152;2;0;5;2;LWu_Yue;1944;1970;1999;x
Xu Huajiang;250033;MAN;1945;1961;1990;1990;2;7;0;2;0;5;2;LXu_Huajiang;1945;1970;1999;x
Yan Haiwen;250034;MAN;1943;1990;1990;1990;3;5;49152;2;0;5;2;LYan_Haiwen;1943;1970;1999;x
Zhang Houwan;250035;MAN;1924;1990;1990;1990;3;4;8192;1;0;5;2;LZhang_Houwan;1924;1951;1999;x
Zhang Huanxiang;250036;MAN;1928;1990;1990;1990;3;4;0;1;0;5;2;LZhang_Huanxiang;1928;1947;1999;x
Zhang Linde;250037;MAN;1943;1956;1990;1990;2;7;8192;2;0;5;2;LZhang_Linde;1943;1970;1999;x
Zhang Xueliang;250038;MAN;1922;1926;1938;1941;1;7;16384;2;0;5;2;Kaiserreich Zhang Xueliang;1922;1966;1999;x
Zhao Yuqiang;250039;MAN;1949;1990;1990;1990;3;5;69632;2;0;5;2;LZhao_Yuqiang;1949;1970;1999;x
Bai Fengxiang;250040;MAN;1935;1990;1990;1990;3;6;67108864;2;0;5;0;LBai_Fengxiang;1935;1962;1999;x
Bao Wenyue;250041;MAN;1926;1927;1943;1990;1;6;1;2;0;5;0;Bao Wenyue;1926;1957;1999;x
Chen Xingya;250042;MAN;1919;1927;1990;1990;2;4;134218240;2;0;5;0;LChen_Xingya;1919;1947;1999;x
Deng Yuzhuo;250043;MAN;1937;1990;1990;1990;3;5;1;1;0;5;0;LDeng_Yuzhuo;1937;1968;1999;x
Ding Chao;250044;MAN;1920;1927;1990;1990;2;5;34;2;0;5;0;LDing_Chao;1920;1949;1999;x
Dong Yanping;250045;MAN;1937;1949;1990;1990;2;5;0;1;0;5;0;LDong_Yanping;1937;1961;1999;x
Feng Yong;250046;MAN;1926;1938;1990;1990;2;6;128;2;0;5;0;Feng Yong;1926;1966;1999;x
Feng Zhanhai;250047;MAN;1932;1935;1990;1990;2;6;258;2;0;5;0;LFeng_Zhanhai;1932;1964;1999;x
Fu Shuangying;250048;MAN;1927;1945;1990;1990;2;4;16;1;0;5;0;Fu Shuangying;1927;1959;1999;x
Gao Jiyi;250049;MAN;1936;1990;1990;1990;3;6;32;1;0;5;0;LGao_Jiyi;1936;1955;1999;x
Ge Yanchun;250050;MAN;1938;1951;1990;1990;2;6;1;1;0;5;0;LGe_Yanchun;1938;1967;1999;x
Geng Jizhou;250051;MAN;1933;1990;1990;1990;3;5;0;1;0;5;0;LGeng_Jizhou;1933;1950;1999;x
Guan Yuheng;250052;MAN;1936;1990;1990;1990;3;5;268435712;1;0;5;0;LGuan_Yuheng;1936;1963;1999;x
Guo Dequan;250053;MAN;1945;1949;1990;1990;2;4;0;0;0;5;0;LGuo_Dequan;1945;1965;1999;x
Guo Enlin;250054;MAN;1931;1936;1940;1990;1;5;0;1;0;5;0;L250016;1931;1959;1999;x
Guo Jijiao;250055;MAN;1936;1938;1951;1990;1;8;7;3;0;5;0;Guo Jijiao;1936;1968;1999;x
Guo Wenlin;250056;MAN;1939;1990;1990;1990;3;5;2097168;1;0;5;0;L250027;1939;1970;1999;x
Guo Xipeng;250057;MAN;1931;1935;1990;1990;2;5;12;1;0;5;0;LGuo_Xipeng;1931;1955;1999;x
Han Guangdi;250058;MAN;1927;1938;1990;1990;3;5;2;1;0;5;0;Han Guangdi1926;1927;1961;1999;x
Han Linchun;250059;MAN;1920;1926;1932;1990;1;6;33;2;0;5;0;Han Linchun1926;1920;1950;1999;x
He Shili;250060;MAN;1938;1944;1947;1959;1;8;193;2;0;5;0;LRobert_Ho_Shai_Lai;1938;1970;1999;x
He Zhuguo;250061;MAN;1927;1935;1942;1990;1;7;67108868;2;0;5;0;L50091;1927;1963;1999;x
Hu Yukun;250062;MAN;1927;1935;1943;1990;1;6;2;2;0;5;0;LHu_Yukun;1927;1960;1999;x
Huang Xiansheng;250063;MAN;1928;1990;1990;1990;3;6;2;1;0;5;0;LHuang_Xiansheng;1928;1961;1999;x
Huang Yongan;250064;MAN;1936;1938;1990;1990;2;7;64;2;0;5;0;L50136;1936;1963;1999;x
Ji Xing;250065;MAN;1921;1928;1934;1990;1;5;514;3;0;5;0;L250007;1921;1945;1999;x
Ji Yiqiao;250066;MAN;1917;1935;1990;1990;2;6;1;2;0;5;0;LJi_Yiqiao;1917;1950;1999;x
Jiang Pengfei;250067;MAN;1939;1946;1990;1990;2;5;16;1;0;5;0;LJiang_Pengfei;1939;1970;1999;x
Jing Tiesheng;250068;MAN;1932;1944;1990;1990;2;5;4;1;0;5;0;unknown;1932;1960;1999;x
Kangle San;250069;MAN;1942;1948;1990;1990;2;6;0;2;0;5;0;LKangle_San;1942;1969;1999;x
Li Chunrun;250070;MAN;1938;1990;1990;1990;3;5;4;1;0;5;0;LLi_Chunrun;1938;1966;1999;x
Li Du;250071;MAN;1927;1929;1990;1990;2;5;32;2;0;5;0;LLi_Du;1927;1946;1999;x
Li Duanhao;250072;MAN;1928;1936;1990;1990;2;6;70;2;0;5;0;LLi_Duanhao;1928;1960;1999;x
Li Jinglin;250073;MAN;1921;1925;1990;1990;2;5;260;2;0;5;0;Li Jinglin;1921;1950;1999;x
Li Lanchi;250074;MAN;1937;1990;1990;1990;3;5;0;2;0;5;0;LLi_Lanchi;1937;1963;1999;x
Li Shengtang;250075;MAN;1927;1931;1990;1990;2;4;0;1;0;5;0;unknown;1927;1949;1999;x
Li Shouxin;250076;MAN;1930;1938;1990;1990;2;4;16;1;0;5;0;Li Shouxin;1930;1957;1999;x
Li Zhaolin;250077;MAN;1938;1990;1990;1990;3;5;272;1;0;5;0;Kaiserreich Li Zhaolin;1938;1970;1999;x
Liang Zhongjia;250078;MAN;1924;1927;1990;1990;2;6;2;2;0;5;0;LLiang_Zhongjia;1924;1952;1999;x
Liu Duoquan;250079;MAN;1935;1937;1948;1990;1;5;64;1;0;5;0;Liu Duoquan;1935;1962;1999;x
Liu Guiwu;250080;MAN;1938;1990;1990;1990;3;5;67108992;1;0;5;0;LLiu_Guiwu;1938;1967;1999;x
Liu Handong;250081;MAN;1928;1936;1990;1990;2;6;64;2;0;5;0;LLiu_Handong;1928;1959;1999;x
Liu Muchan;250082;MAN;1942;1946;1990;1990;2;5;2;1;0;5;0;unknown;1942;1969;1999;x
Liu Qiwen;250083;MAN;1937;1990;1990;1990;3;6;2;2;0;5;0;LLiu_Qiwen;1937;1963;1999;x
Liu Yifei;250084;MAN;1925;1928;1990;1990;2;5;268435456;1;0;5;0;LLiu_Yifei;1925;1958;1999;x
Liu Zhendong;250085;MAN;1925;1938;1990;1990;2;6;256;2;0;5;0;L50201;1925;1958;1999;x
Lu Guangwei;250086;MAN;1939;1990;1990;1990;3;4;67108868;1;0;5;0;L50229;1939;1968;1999;x
Lü Zhengcao;250087;MAN;1937;1943;1955;1990;1;8;257;2;0;5;0;kai_luzhegcao;1937;1969;1999;x
Ma Zhanshan;250088;MAN;1927;1936;1940;1990;2;8;134217740;3;0;5;0;Kaiserreich Ma Zhanshan;1927;1951;1999;x
Miao Chengliu;250089;MAN;1935;1937;1990;1990;2;6;0;2;0;5;0;LMiao_Chengliu;1935;1966;1999;x
Mu Xinya;250090;MAN;1939;1951;1990;1990;2;7;134217732;2;0;5;0;LMu_Xinya;1939;1970;1999;x
Rong Zhen;250091;MAN;1927;1935;1945;1990;1;5;64;1;0;5;0;LRong_Zhen;1927;1956;1999;x
Su Bingwen;250092;MAN;1926;1936;1990;1990;2;7;536870912;2;0;5;0;L50261;1926;1957;1999;x
Sun Mingjiu;250093;MAN;1938;1990;1990;1990;3;4;4;1;0;5;0;LSun_Mingjiu;1938;1970;1999;x
Tang Juwu;250094;MAN;1933;1940;1990;1990;2;6;256;2;0;5;0;Kaiserreich Tang Juwu;1933;1963;1999;x
Tang Yulin;250095;MAN;1913;1915;1927;1990;1;5;516;3;0;5;0;Kaiserreich Tang Yulin;1913;1938;1999;x
Wan Fulin;250096;MAN;1921;1927;1935;1990;1;5;134218240;3;0;5;0;L50305;1921;1946;1999;x
Wan Yi;250097;MAN;1940;1955;1990;1990;2;7;16777248;3;0;5;0;L50327;1940;1970;1999;x
Wang Dianzhong;250098;MAN;1920;1933;1936;1990;1;4;512;2;0;5;0;L250022;1920;1945;1999;x
Wang Duo-Nian;250099;MAN;1947;1957;1966;1990;1;6;34;2;0;5;0;LWang_Duo-Nian;1947;1970;1999;x
Wang Fengge;250100;MAN;1937;1990;1990;1990;3;5;4194304;2;0;5;0;Kaiserreich Wang Fengge;1937;1962;1999;x
Wang Jiashan;250101;MAN;1937;1949;1990;1990;2;5;33;1;0;5;0;LWang_Jiashan;1937;1968;1999;x
Wang Jingxiu;250102;MAN;1920;1933;1936;1990;1;4;512;3;0;5;0;unknown;1920;1944;1999;x
Wang Ruihua;250103;MAN;1931;1990;1990;1990;3;4;0;1;0;5;0;LWang_Ruihua;1931;1956;1999;x
Wang Shuchang;250104;MAN;1925;1935;1937;1990;1;5;2;2;0;5;0;Wang Shuchang;1925;1951;1999;x
Wang Tiehan;250105;MAN;1939;1948;1990;1990;2;5;268435456;1;0;5;0;LWang_Tiehan;1939;1956;1999;x
Wang Xishan;250106;MAN;1937;1990;1990;1990;3;5;256;1;0;5;0;LWang_Xishan;1937;1969;1999;x
Wang Yizhe;250107;MAN;1928;1935;1990;1990;2;7;6;2;0;5;0;L50319;1928;1961;1999;x
Wang Zhiyou;250108;MAN;1924;1928;1990;1990;2;4;16;0;0;5;0;L250021;1924;1957;1999;x
Wei Yisan;250109;MAN;1926;1935;1990;1990;2;5;2;2;0;5;0;LWei_Yisan;1926;1949;1999;x
Wu Guangxin;250110;MAN;1916;1935;1940;1990;2;5;512;2;0;5;0;L153001;1916;1946;1999;x
Wu Guting;250111;MAN;1942;1990;1990;1990;3;5;1;1;0;5;0;LWu_Guting;1942;1970;1999;x
Wu Hanqing;250112;MAN;1925;1928;1990;1990;2;6;4;2;0;5;0;LWu_Hanqing;1925;1955;1999;x
Wu Junsheng;250113;MAN;1909;1912;1926;1990;1;5;524;3;0;5;0;Kaiserreich Wu Junsheng;1909;1938;1999;x
Wu Keren;250114;MAN;1932;1937;1990;1990;2;7;6;2;0;5;0;LWu_Keren;1932;1959;1999;x
Wu Yuanmin;250115;MAN;1923;1936;1990;1990;2;4;0;1;0;5;0;L250023;1923;1951;1999;x
Xing Shilian;250116;MAN;1925;1933;1990;1990;2;5;1048832;2;0;5;0;L250009;1925;1951;1999;x
Xu Lanzhou;250117;MAN;1913;1915;1990;1990;2;4;516;2;0;5;0;Xu Lanzhou;1913;1938;1999;x
Xu Zuyi;250118;MAN;1936;1938;1990;1990;2;7;0;2;0;5;0;L50111;1936;1960;1999;x
Yang Yuting;250119;MAN;1920;1925;1990;1990;2;6;17;2;0;5;0;Kaiserreich Yang Yuting;1920;1952;1999;x
Yang Zhengzhi;250120;MAN;1927;1945;1990;1990;2;5;3;1;0;5;0;LYang_Zhengzhi;1927;1961;1999;x
Yu Chencheng;250121;MAN;1933;1935;1990;1990;2;4;0;2;0;5;0;L250024;1933;1945;1999;x
Yu Jingyuan;250122;MAN;1937;1990;1990;1990;3;5;34;1;0;5;0;LYu_Jingyuan;1937;1963;1999;x
Yu Zhen;250123;MAN;1926;1990;1990;1990;3;4;0;1;0;5;0;LYu_Zhen;1926;1953;1999;x
Yu Zhishan;250124;MAN;1925;1927;1934;1990;1;5;6;2;0;5;0;LYu_Zhishan;1925;1947;1999;x
Zang Shiyi;250125;MAN;1921;1928;1990;1990;2;6;268435458;2;0;5;0;Zang Shiyi;1921;1950;1999;x
Zhang Haipeng;250126;MAN;1917;1920;1936;1990;1;4;514;2;0;5;0;LZhang_Haipeng;1917;1942;1999;x
Zhang Houwan;250127;MAN;1924;1990;1990;1990;3;4;64;2;0;5;0;LZhang_Houwan;1924;1951;1999;x
