Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Almazan;4500;MEX;1941;1945;1990;1990;3;5;32;1;0;1;0;L4500;1941;1960;1999;x
Alvarez Algrea;4501;MEX;1930;1990;1990;1990;3;4;128;0;0;5;0;L4501;1930;1946;1999;x
Amaro Dominguez;4502;MEX;1930;1938;1990;1990;2;6;16;1;0;5;0;L4502;1930;1952;1999;x
Ávila Camacho;4503;MEX;1930;1930;1940;1990;1;5;0;1;0;5;0;L4503;1930;1945;1999;x
Ballestreros Miranda;4504;MEX;1939;1990;1990;1990;3;4;32;0;0;1;0;L4504;1939;1964;1999;x
Calles del Rio;4505;MEX;1938;1941;1990;1990;2;4;128;1;0;3;0;L4505;1938;1945;1999;x
Plutarco Calles;4506;MEX;1930;1930;1990;1990;2;4;2;1;0;3;0;L4506;1930;1944;1999;x
Cardenas del Rio;4507;MEX;1930;1930;1930;1990;1;4;2;1;0;5;0;L4507;1930;1944;1999;x
Cardenas Rodriguez;4508;MEX;1942;1945;1990;1990;3;6;256;1;0;5;0;L4508;1942;1960;1999;x
Díaz Ovalle;4509;MEX;1930;1939;1990;1990;2;4;1;1;0;4;0;L4509;1930;1943;1999;x
Estrada Reynoso;4510;MEX;1930;1930;1930;1990;1;6;513;1;0;5;0;L4510;1930;1942;1999;x
Figueroa Figueroa;4511;MEX;1939;1943;1946;1990;2;5;2;2;0;5;0;L4511;1939;1940;1999;x
Garcia Barragan;4512;MEX;1942;1944;1990;1990;3;6;256;1;0;5;0;L4512;1942;1960;1999;x
Garza Siller;4513;MEX;1930;1990;1990;1990;3;4;1;0;0;3;0;L4513;1930;1962;1999;x
Guillermo Villasina;4514;MEX;1938;1941;1990;1990;2;4;1;1;0;5;0;L4514;1938;1946;1999;x
Hernandéz Krumm;4515;MEX;1930;1990;1990;1990;3;4;128;0;0;4;0;L4515;1930;1942;1999;x
Hill;4516;MEX;1930;1930;1990;1990;2;6;516;1;0;5;0;L4516;1930;1939;1999;x
Jara Corona;4517;MEX;1939;1942;1990;1990;2;4;0;1;0;5;0;L4517;1939;1964;1999;x
Lara Viejo;4518;MEX;1940;1990;1990;1990;3;4;4;1;0;4;0;L4518;1940;1960;1999;x
Limon Marquez;4519;MEX;1939;1942;1945;1990;2;5;4;2;0;5;0;L4519;1939;1964;1999;x
Macias Valenzuela;4520;MEX;1939;1941;1990;1990;2;5;0;1;0;5;0;L4520;1939;1964;1999;x
Mugica Valdéz;4521;MEX;1930;1930;1990;1990;2;6;528;1;0;2;0;L4521;1930;1939;1999;x
Palafox;4523;MEX;1930;1930;1930;1990;1;4;64;1;0;2;0;L4523;1930;1959;1999;x
Pro Díaz;4524;MEX;1939;1990;1990;1990;3;4;2;0;0;3;0;L4524;1939;1960;1999;x
Quiroga Escamillo;4525;MEX;1930;1939;1942;1990;1;5;0;2;0;5;0;L4525;1930;1948;1999;x
Ramos Santos;4526;MEX;1941;1945;1990;1990;3;5;1;1;0;3;0;L4526;1941;1960;1999;x
Salgado Cordero;4528;MEX;1945;1990;1990;1990;3;4;0;0;0;5;0;L4528;1945;1960;1999;x
Serrano;4529;MEX;1930;1930;1990;1990;2;6;513;1;0;3;0;L4529;1930;1941;1999;x
L. Urquizo;4530;MEX;1930;1939;1990;1990;2;5;4;1;0;5;0;L4530;1930;1964;1999;x
Ángel Castillo;4532;MEX;1943;1945;1990;1990;3;5;0;1;0;5;1;L4532;1943;1960;1999;x
Coello Ochoa;4533;MEX;1930;1990;1990;1990;3;4;1024;0;0;5;1;L4533;1930;1941;1999;x
Corona;4534;MEX;1937;1939;1942;1990;1;5;0;1;0;5;1;L4534;1937;1960;1999;x
Del Mercado;4535;MEX;1938;1942;1990;1990;2;4;0;1;0;5;1;L4535;1938;1964;1999;x
Gomez Maqueo;4536;MEX;1941;1943;1990;1990;2;4;0;1;0;5;1;L4536;1941;1960;1999;x
Macias Alvarez;4537;MEX;1930;1930;1990;1990;2;6;8704;1;0;5;1;L4537;1930;1941;1999;x
Meixueiro Alejandre;4538;MEX;1943;1990;1990;1990;3;4;0;0;0;5;1;L4538;1943;1960;1999;x
Niembro Almazán;4539;MEX;1944;1990;1990;1990;3;4;4096;0;0;5;1;L4539;1944;1960;1999;x
Othon Blanco;4540;MEX;1930;1930;1930;1990;1;6;2560;1;0;5;1;L4540;1930;1959;1999;x
Schaufelberger;4541;MEX;1944;1946;1990;1990;3;6;0;1;0;5;1;L4541;1944;1960;1999;x
Toledo Hiram;4543;MEX;1930;1930;1939;1990;1;6;4608;1;0;2;1;L4543;1930;1943;1999;x
Zermenao Araico;4544;MEX;1941;1944;1990;1990;3;5;4096;1;0;5;1;L4544;1941;1960;1999;x
Cardenas Rodriguez;4545;MEX;1942;1945;1990;1990;3;4;0;1;0;5;2;L4545;1942;1964;1999;x
Carranza Rodriguez;4546;MEX;1943;1990;1990;1990;3;5;4096;0;0;5;2;L4546;1943;1964;1999;x
Espinosa Fuentes;4547;MEX;1942;1990;1990;1990;3;4;0;0;0;5;2;L4547;1942;1947;1999;x
Espinoza Galván;4548;MEX;1941;1990;1990;1990;3;4;65536;0;0;5;2;L4548;1941;1960;1999;x
Fernandez Lopez Portillo;4549;MEX;1944;1990;1990;1990;3;4;0;0;0;5;2;L4549;1944;1960;1999;x
Fiero Villalobos;4550;MEX;1942;1944;1990;1990;2;5;0;1;0;5;2;L4550;1942;1964;1999;x
Gorriz;4551;MEX;1930;1990;1990;1990;3;4;0;0;0;5;2;L4551;1930;1941;1999;x
Macias Alvarez;4553;MEX;1930;1930;1990;1990;2;5;131584;1;0;5;2;L4553;1930;1941;1999;x
Olachea Aviles;4554;MEX;1943;1946;1990;1990;3;5;0;1;0;5;2;L4554;1943;1960;1999;x
Rojas Razo;4555;MEX;1940;1945;1990;1990;3;5;16384;1;0;5;2;L4555;1940;1960;1999;x
