Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Zhang Zhen;50001;CHI;1939;1990;1990;1990;3;3;0;0;0;3;0;L50001;1939;1960;1999;x
Zhang Zhenn;50002;CHI;1930;1942;1990;1990;3;3;0;1;0;3;0;L50002;1930;1960;1999;x
Zhang Chi;50003;CHI;1930;1990;1990;1990;3;4;0;0;0;3;0;L50003;1930;1960;1999;x
Zhang Zhizhong;50004;CHI;1930;1930;1930;1990;1;4;0;1;0;3;0;L50004;1930;1943;1999;x
Chang Enduo;50005;CHI;1930;1990;1990;1990;3;3;0;0;0;2;0;L50005;1930;1960;1999;x
Zhang Fakui;50006;CHI;1920;1927;1930;1990;1;4;2;1;0;3;0;L50006;1920;1960;1999;x
Zhang Fang;50007;CHI;1930;1990;1990;1990;3;3;0;0;0;3;0;L50007;1930;1941;1999;x
Zhang Xuxing;50008;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50008;1930;1939;1999;x
Zhang Xuzi;50009;CHI;1944;1990;1990;1990;3;4;256;0;0;4;0;L50009;1944;1960;1999;x
Zhang Xuezhong;50010;CHI;1940;1990;1990;1990;3;3;0;0;0;3;0;L50010;1940;1960;1999;x
Cai Tingkai;50011;CHI;1930;1938;1940;1941;1;5;4;3;0;3;0;CHITingkai;1930;1946;1999;x
Zhang Gan;50012;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50012;1938;1960;1999;x
Zhang Kexia;50013;CHI;1938;1990;1990;1990;3;5;0;1;0;4;0;L50013;1938;1960;1999;x
Zhang Lingfu;50014;CHI;1930;1940;1990;1990;2;7;20;2;0;4;0;Zhang Lingfu;1930;1960;1999;x
Zhang Shixi;50015;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50015;1930;1941;1999;x
Zhang Zizhong;50016;CHI;1938;1944;1990;1990;2;4;4;1;0;3;0;L50016;1938;1960;1999;x
Zhang Dulun;50017;CHI;1930;1990;1990;1990;3;3;1;0;0;4;0;L50017;1930;1943;1999;x
Zhang Yan;50018;CHI;1941;1990;1990;1990;3;3;4;0;0;4;0;L50018;1941;1960;1999;x
Zhang Yaoming;50019;CHI;1943;1990;1990;1990;3;3;0;0;0;4;0;L50019;1943;1960;1999;x
Zhang Yinwu;50020;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50020;1930;1960;1999;x
Zhao Chengshou;50021;CHI;1930;1930;1990;1990;2;4;0;0;0;4;0;L50021;1930;1945;1999;x
Zhao Jiaxiang;50022;CHI;1937;1990;1990;1990;3;3;0;0;0;4;0;L50022;1937;1942;1999;x
Zhao Xizhang;50023;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50023;1938;1960;1999;x
Zhao Guoping;50025;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50025;1930;1942;1999;x
Zhao Shoushan;50026;CHI;1943;1946;1990;1990;3;4;0;1;0;2;0;L50026;1943;1960;1999;x
Zhao Dengyu;50027;CHI;1930;1990;1990;1990;3;4;4;0;0;4;0;L50027;1930;1960;1999;x
Chen Anbao;50028;CHI;1930;1939;1990;1990;3;4;0;1;0;4;0;L50028;1930;1960;1999;x
Chen Changjie;50029;CHI;1940;1943;1990;1990;2;3;0;1;0;4;0;L50029;1940;1960;1999;x
Chen Jitang;50031;CHI;1920;1930;1930;1938;0;3;513;1;0;1;0;L50031;1920;1941;1999;x
Chen Jihuan;50032;CHI;1930;1939;1990;1990;3;4;0;1;0;4;0;L50032;1930;1960;1999;x
Chen Gongxia;50033;CHI;1939;1990;1990;1990;3;3;0;0;0;4;0;L50033;1939;1960;1999;x
Chen Mingren;50034;CHI;1942;1990;1990;1990;3;3;2;0;0;4;0;L50034;1942;1960;1999;x
Chen Daqing;50035;CHI;1937;1943;1990;1990;3;4;0;1;0;4;0;L50035;1937;1943;1999;x
Chen Tie;50036;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50036;1930;1943;1999;x
Chen Wanren;50037;CHI;1939;1943;1990;1990;2;4;0;1;0;4;0;L50037;1939;1960;1999;x
Chen Wenqi;50038;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50038;1930;1960;1999;x
Zheng Tingzhen;50039;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50039;1930;1940;1999;x
Zheng Tingji;50040;CHI;1930;1939;1990;1990;3;4;16;1;0;4;0;L50040;1930;1960;1999;x
Cheng Qian;50041;CHI;1920;1920;1938;1990;1;5;576;1;0;3;0;L50041;1920;1960;1999;x
Zheng Dongguo;50043;CHI;1938;1990;1990;1990;3;3;2;0;0;4;0;L50043;1938;1960;1999;x
Ji Zhangjian;50044;CHI;1939;1990;1990;1990;3;4;256;0;0;4;0;L50044;1939;1960;1999;x
Ji Xingwen;50045;CHI;1943;1990;1990;1990;3;4;2;0;0;4;0;L50045;1943;1960;1999;x
Qi Xueqi;50046;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50046;1938;1960;1999;x
Jiang Zhiying;50047;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50047;1930;1946;1999;x
Tai Chi-tao;50048;CHI;1930;1930;1930;1930;3;3;0;0;0;4;0;CHITai;1930;1960;1999;x
Jiang Guangnai;50049;CHI;1930;1930;1990;1990;2;4;2;1;0;2;0;L50049;1930;1960;1999;x
Jiang Dingwen;50050;CHI;1920;1938;1940;1990;2;4;0;1;0;4;0;L50050;1920;1960;1999;x
Jiang Yuzhen;50051;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50051;1930;1960;1999;x
Jie Fang;50052;CHI;1940;1943;1990;1990;3;4;1;1;0;1;0;L50052;1940;1960;1999;x
Chih Fengcheng;50053;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50053;1930;1942;1999;x
Qin Yizhi;50054;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50054;1938;1960;1999;x
Zhou Jiabin;50055;CHI;1937;1990;1990;1990;3;3;0;0;0;4;0;L50055;1937;1960;1999;x
Zhou Zhidao;50056;CHI;1943;1990;1990;1990;3;3;0;0;0;4;0;L50056;1943;1960;1999;x
Zhou Qingxiang;50057;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50057;1930;1939;1999;x
Zhou Fu;50058;CHI;1930;1939;1990;1990;3;4;0;1;0;4;0;L50058;1930;1960;1999;x
Zhou Fucheng;50059;CHI;1941;1990;1990;1990;3;3;0;0;0;4;0;L50059;1941;1960;1999;x
Zhou Lan;50060;CHI;1930;1930;1990;1990;2;3;16;1;0;4;0;L50060;1930;1942;1999;x
Zhou Yan;50061;CHI;1930;1990;1990;1990;3;3;0;0;0;3;0;L50061;1930;1939;1999;x
Zhu Zhiyi;50062;CHI;1941;1944;1990;1990;2;4;0;1;0;4;0;L50062;1941;1960;1999;x
Zhu Chi;50063;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50063;1938;1960;1999;x
