Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Said ibn Timur;310000;OMN;1936;1936;1936;1936;0;3;262146;1;0;5;0;M92001;1936;1964;1999;x
Jamil ibn Timur;310001;OMN;1945;1950;1955;1960;0;3;537133090;0;0;5;0;M92021;1945;1964;1999;x
Zahir ibn Timur;310002;OMN;1945;1950;1955;1960;0;3;262336;0;0;5;0;M92024;1945;1964;1999;x
Salim bin Faisal;310003;OMN;1936;1936;1936;1936;0;3;262182;0;0;5;0;OMA_Salim_bin_Faisal;1936;1964;1999;x
Thabit bin ‘Abdu’llah;310004;OMN;1936;1936;1936;1936;0;3;262146;1;0;5;0;unknown;1936;1964;1999;x
Thanaiyan bin Hamad;310005;OMN;1936;1936;1936;1936;0;3;262161;0;0;5;0;unknown;1936;1964;1999;x
Nadir bin Faisal;310006;OMN;1936;1936;1937;1942;0;3;2048;0;0;5;1;unknown;1936;1964;1999;x
Hamad bin Faisal;310007;OMN;1936;1936;1936;1938;0;3;4096;0;0;5;1;unknown;1936;1964;1999;x
Sayyid Thanaiyan bin Hamad Al-Busaidi;310016;OMN;1936;1936;1936;1938;2;3;0;0;0;5;1;unknown;1936;1964;1999;x
Hamud bin Faisal;310008;OMN;1936;1936;1936;1940;0;3;8192;0;0;5;1;unknown;1936;1964;1999;x
Sa’id bin Kindeh;310009;OMN;1936;1936;1936;1936;0;3;4096;0;0;5;1;unknown;1936;1964;1999;x
Ali bin Serhan;310010;OMN;1936;1936;1936;1936;0;3;1024;0;0;5;1;unknown;1936;1964;1999;x
Abdallah ibn Timur;310011;OMN;1936;1936;1936;1936;0;3;4096;0;0;5;2;M92010;1936;1964;1999;x
Fawzi ibn Timur;310012;OMN;1945;1950;1955;1960;0;3;32768;0;0;5;2;M92028;1945;1964;1999;x
Nadir bin Faisal;310013;OMN;1936;1936;1936;1936;0;3;0;0;0;5;2;unknown;1936;1964;1999;x
Sa’id bin Kindeh;310014;OMN;1936;1936;1936;1936;0;3;131072;0;0;5;2;unknown;1936;1964;1999;x
Thanaiyan bin Hamad;310015;OMN;1936;1936;1936;1936;0;3;16384;0;0;5;2;unknown;1936;1964;1999;x
