Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abdurrahman Bey;549000;OTT;1930;1940;1990;1990;2;4;1024;1;0;5;1;OTTRah;1930;1950;1999;x
Ali Riza Talayman;549001;OTT;1930;1940;1990;1990;2;5;8704;2;0;5;1;OTTRiz;1930;1945;1999;x
Altincan;549002;OTT;1940;1951;1955;1990;1;6;8192;2;0;5;1;LMehmet_Sadik_Altincan;1940;1963;1999;x
Arnom;549003;OTT;1943;1956;1990;1990;2;6;8192;2;0;5;1;LRefet_Arnom;1943;1966;1999;x
Bozkurt;549004;OTT;1940;1952;1990;1990;2;6;4096;2;0;5;1;LKemalettin_Bozkurt;1940;1964;1999;x
Engin;549005;OTT;1930;1942;1990;1990;2;6;0;2;0;5;1;LMehmet_Fahri_Engin;1930;1953;1999;x
Ersuna;549006;OTT;1936;1947;1990;1990;2;6;2048;2;0;5;1;OTTErs;1930;1960;1999;x
Eyiceoglu;549007;OTT;1946;1964;1967;1990;2;6;0;2;0;5;1;LCelal_Eyiceoglu;1946;1970;1999;x
Foerster, R.;549008;OTT;1928;1932;1935;1990;1;5;8704;3;0;5;1;L549066;1928;1944;1999;x
Hulusi Pasha;549009;OTT;1930;1930;1930;1990;1;4;512;2;0;5;1;OTTSul;1930;1939;1999;x
Kayacan;549010;OTT;1947;1967;1990;1990;2;7;0;2;0;5;1;LKemal_Kayacan;1947;1970;1999;x
Korutürk;549011;OTT;1941;1956;1958;1990;1;7;1024;2;0;5;1;OTTKor;1941;1969;1999;x
Massmann, S.;549012;OTT;1932;1940;1990;1990;2;5;4096;2;0;5;1;L549069;1932;1947;1999;x
Münir Bey;549013;OTT;1930;1990;1990;1990;3;5;2048;3;0;5;1;OTTMun;1930;1943;1999;x
Nazmi Bey;549014;OTT;1923;1990;1990;1990;3;4;1536;3;0;5;1;OTTNazmi;1923;1940;1999;x
Okaner;549015;OTT;1936;1990;1990;1990;3;5;2048;2;0;5;1;LNecip_Okaner;1936;1954;1999;x
Olcaynoyan;549016;OTT;1946;1963;1966;1990;2;5;0;1;0;5;1;LHaydar_Olcaynoyan;1946;1970;1999;x
Orbay;549017;OTT;1917;1919;1941;1990;1;6;4096;3;0;5;1;OTTRau;1917;1947;1999;x
Özak;549018;OTT;1942;1955;1990;1990;2;5;2048;1;0;5;1;LAhmet_Zeki_Ozak;1942;1965;1999;x
