Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Afkhami  A.;440000;PER;1930;1930;1930;1990;1;3;514;1;0;5;0;L440000;1930;1941;1999;x
Afkhami  H.;440001;PER;1939;1990;1990;1990;3;3;2;0;0;4;0;L440001;1939;1942;1999;x
Afkhami  M.;440002;PER;1930;1939;1990;1990;2;4;4;1;0;4;0;L440002;1930;1941;1999;x
Gharamani;440003;PER;1942;1946;1990;1990;3;4;4;1;0;5;0;L440003;1942;1960;1999;x
Gholam Reza Pahlavi;440004;PER;1930;1939;1940;1941;1;3;4;2;0;5;0;L440004;1930;1960;1999;x
Gilanshah;440005;PER;1940;1945;1990;1990;2;4;4;1;0;5;0;L440005;1940;1960;1999;x
Hadi Atabay;440006;PER;1930;1990;1990;1990;3;4;514;1;0;5;0;L440006;1930;1938;1999;x
Hossein Firooz;440007;PER;1938;1941;1943;1990;1;4;32;2;0;5;0;L440007;1938;1960;1999;x
Majid Firooz;440008;PER;1930;1938;1990;1990;2;4;2;1;0;5;0;L440008;1930;1942;1999;x
Khan Koopal;440009;PER;1939;1941;1990;1990;2;3;0;1;0;5;0;L440009;1939;1946;1999;x
Khan Nakziam;440010;PER;1943;1990;1990;1990;3;4;256;0;0;5;0;L440010;1943;1960;1999;x
Mir Ghani;440011;PER;1930;1930;1990;1990;2;3;32;0;0;5;0;L440011;1930;1941;1999;x
Mizani;440012;PER;1944;1990;1990;1990;3;4;0;0;0;5;0;L440012;1944;1960;1999;x
Nakhjavani;440013;PER;1930;1937;1990;1990;2;4;128;1;0;5;0;L440013;1930;1941;1999;x
Nizamshah;440014;PER;1930;1930;1990;1990;2;6;514;1;0;5;0;L440014;1930;1940;1999;x
Quaranshah;440015;PER;1941;1943;1990;1990;2;3;1;1;0;5;0;L440015;1941;1960;1999;x
Reza Pahlavi;440016;PER;1930;1930;1930;1930;0;6;516;3;0;5;0;M53001;1930;1941;1999;x
Sepahbodi Qajar;440017;PER;1942;1944;1990;1990;3;4;1;1;0;5;0;L440017;1942;1960;1999;x
Zahedi;440018;PER;1939;1942;1944;1990;1;4;1;2;0;5;0;L440018;1939;1960;1999;x
Ahmanpur;440019;PER;1939;1942;1945;1990;2;4;0;2;0;5;1;L440019;1939;1960;1999;x
Akbarpour;440020;PER;1944;1990;1990;1990;3;3;1024;0;0;5;1;L440020;1944;1960;1999;x
Khan Nakhjavan;440021;PER;1930;1930;1942;1990;1;4;0;1;0;5;1;L440021;1930;1946;1999;x
Khisrabadi;440022;PER;1930;1939;1990;1990;2;3;0;1;0;5;1;L440022;1930;1941;1999;x
Khosravani;440023;PER;1945;1990;1990;1990;3;4;4096;0;0;5;1;L440023;1945;1960;1999;x
Mizani;440024;PER;1944;1990;1990;1990;3;4;0;0;0;5;1;L440024;1944;1960;1999;x
Mohanna;440025;PER;1939;1943;1990;1990;3;4;0;1;0;5;1;L440025;1939;1947;1999;x
Quaranshah;440026;PER;1941;1943;1990;1990;2;3;0;1;0;5;1;L440026;1941;1960;1999;x
Gilanshah;440027;PER;1940;1945;1990;1990;3;4;32768;1;0;5;2;L440027;1940;1960;1999;x
Khan Koopal;440028;PER;1939;1941;1990;1990;2;3;0;1;0;5;2;L440028;1939;1946;1999;x
Khan Nakhjavan;440029;PER;1930;1930;1942;1990;1;4;0;1;0;5;2;L440029;1930;1946;1999;x
Khosravani;440030;PER;1945;1990;1990;1990;3;4;4096;0;0;5;2;L440030;1945;1960;1999;x
Mohanna;440031;PER;1939;1943;1990;1990;3;4;0;1;0;5;2;L440031;1939;1947;1999;x
Moini;440032;PER;1943;1990;1990;1990;3;3;0;0;0;5;2;L440032;1943;1960;1999;x
Nakhjavani;440033;PER;1930;1937;1990;1990;2;3;0;1;0;5;2;L440033;1930;1941;1999;x
Sepahpour;440034;PER;1945;1990;1990;1990;3;3;0;0;0;5;2;L440034;1945;1960;1999;x
Noodin;440035;PER;1930;1930;1990;1990;2;3;514;1;0;5;0;L440035;1930;1939;1999;x
Ghoolam Firooz;440036;PER;1930;1930;1990;1990;2;2;0;0;0;5;0;L440036;1930;1942;1999;x
Baypour;440037;PER;1930;1930;1939;1990;2;3;128;1;0;5;0;L440037;1930;1942;1999;x
Nizampour;440038;PER;1930;1930;1939;1990;1;4;514;1;0;5;0;L440038;1930;1943;1999;x
Mirghoolam;440039;PER;1930;1990;1990;1990;3;4;576;1;0;5;0;L440039;1930;1941;1999;x
Tahakhami;440040;PER;1930;1939;1990;1990;3;3;131072;1;0;4;2;L440040;1930;1943;1999;x
Razmara;440041;PER;1945;1947;1950;1960;1;5;16384;2;0;5;2;M53114;1945;1960;1999;x
Hassan Mirza Qajar;440042;PER;1930;1938;1990;1990;2;3;2;1;0;0;0;PERMoh;1930;1990;1999;x
Pessian;440043;PER;1930;1930;1946;1990;1;7;134217748;3;0;0;0;PERPess;1930;1990;1999;x
Aalam;440044;PER;1930;1990;1990;1990;3;6;514;0;0;0;0;PERAal;1930;1990;1999;x
Hakimi;440045;PER;1930;1930;1942;1990;1;6;5;1;0;0;0;PERMou;1930;1990;1999;x
Jahanbani;440046;PER;1930;1990;1990;1990;3;4;32;1;0;0;0;PERJah;1930;1990;1999;x
Zahedi;440047;PER;1930;1941;1990;1990;2;6;4194560;2;0;0;0;PERFaz;1930;1990;1999;x
Hosseinpoor;440048;PER;1930;1939;1942;1990;1;3;8;0;0;0;0;PERZar;1930;1990;1999;x
Wassmuss;440049;PER;1930;1990;1990;1990;3;8;12583169;4;0;0;0;PERWas;1930;1990;1999;x
Ayrom;440050;PER;1930;1941;1990;1990;2;6;128;1;0;0;0;PERAyr;1930;1990;1999;x
Starosselsky;440051;PER;1930;1990;1990;1990;3;5;517;2;0;0;0;PERVse;1930;1990;1999;x
