Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Benavides Larrea;260000;PRU;1930;1930;1930;1930;0;4;2;1;0;3;0;L260000;1930;1939;1999;x
Caro Constantini;260001;PRU;1944;1990;1990;1990;3;4;32;0;0;5;0;L260001;1944;1960;1999;x
Chiabra León;260002;PRU;1945;1990;1990;1990;3;4;256;0;0;3;0;L260002;1945;1960;1999;x
Davíla Zumaeta;260003;PRU;1939;1943;1990;1990;3;5;0;1;0;3;0;L260003;1939;1945;1999;x
de la Fuente;260004;PRU;1930;1990;1990;1990;3;4;1;0;0;4;0;L260004;1930;1941;1999;x
Gilardi;260005;PRU;1930;1990;1990;1990;3;4;0;0;0;5;0;L260005;1930;1940;1999;x
Gonzalez y Leon;260006;PRU;1930;1990;1990;1990;3;5;2;0;0;5;0;L260006;1930;1941;1999;x
Guabloche Rodrígues;260007;PRU;1942;1945;1990;1990;2;5;1;1;0;5;0;L260007;1942;1960;1999;x
Heredia Montagne;260008;PRU;1930;1990;1990;1990;3;5;514;1;0;5;0;L260008;1930;1939;1999;x
Huerta Pacheco;260009;PRU;1930;1990;1990;1990;3;4;1;0;0;4;0;L260009;1930;1938;1999;x
Iglesias;260010;PRU;1942;1990;1990;1990;3;5;128;0;0;4;0;L260010;1942;1960;1999;x
Jimenez Torribané;260011;PRU;1940;1942;1990;1990;2;5;2;1;0;3;0;L260011;1940;1946;1999;x
Lopéz Trigoso;260012;PRU;1943;1990;1990;1990;3;6;256;0;0;3;0;L260012;1943;1960;1999;x
Montagne Sanchez;260013;PRU;1937;1941;1990;1990;2;5;0;1;0;4;0;L260013;1937;1944;1999;x
Montero Rojas;260014;PRU;1938;1990;1990;1990;3;5;128;0;0;5;0;L260014;1938;1946;1999;x
Muñoz Díaz;260015;PRU;1945;1990;1990;1990;3;4;128;0;0;4;0;L260015;1945;1960;1999;x
Noriega Agüero;260016;PRU;1939;1941;1944;1990;2;5;0;2;0;3;0;L260016;1939;1960;1999;x
Odria Amoretti;260017;PRU;1940;1941;1943;1946;1;6;1;3;0;4;0;L260017;1940;1960;1999;x
Palacios y Montecinos;260018;PRU;1930;1930;1990;1990;2;4;4;0;0;4;0;L260018;1930;1940;1999;x
Peréz Documetis;260019;PRU;1944;1946;1990;1990;2;5;256;1;0;4;0;L260019;1944;1960;1999;x
Perez Godoy;260020;PRU;1943;1946;1950;1990;1;5;256;2;0;3;0;L260020;1943;1960;1999;x
Quesada Larrea;260021;PRU;1940;1990;1990;1990;3;4;2;0;0;5;0;L260021;1940;1946;1999;x
Ramirez Ortiz;260022;PRU;1944;1990;1990;1990;3;4;0;0;0;3;0;L260022;1944;1960;1999;x
Ramón Castillo;260023;PRU;1930;1930;1930;1990;1;6;513;1;0;4;0;L260023;1930;1938;1999;x
Rodriguez Zabalbeascoa;260024;PRU;1946;1990;1990;1990;3;4;1;0;0;2;0;L260024;1946;1960;1999;x
Reyes Tavera;260025;PRU;1945;1990;1990;1990;3;4;4;0;0;4;0;L260025;1945;1960;1999;x
Saenz Diaz;260026;PRU;1939;1942;1990;1990;2;5;4;1;0;5;0;L260026;1939;1944;1999;x
Sánchez Cerro;260027;PRU;1930;1930;1990;1990;2;4;2;1;0;2;0;L260027;1930;1937;1999;x
Tamayo de la Flor;260028;PRU;1942;1990;1990;1990;3;4;1;0;0;5;0;L260028;1942;1947;1999;x
Torres Gonzalez;260029;PRU;1945;1947;1990;1990;2;5;0;1;0;5;0;L260029;1945;1960;1999;x
Ureta Montehermoso;260030;PRU;1930;1930;1937;1990;1;6;4;1;0;4;0;L260030;1930;1938;1999;x
Velasco Astete;260031;PRU;1941;1942;1990;1990;2;6;128;1;0;5;0;L260031;1941;1945;1999;x
Vinatea Ruiz;260032;PRU;1939;1990;1990;1990;3;5;32;0;0;4;0;L260032;1939;1946;1999;x
Zubazoigoichea;260033;PRU;1930;1990;1990;1990;3;4;64;0;0;5;0;L260033;1930;1940;1999;x
Carbayal Martinez;260034;PRU;1944;1946;1990;1990;2;4;1024;1;0;5;1;L260034;1944;1960;1999;x
Jimenéz Pacheco;260035;PRU;1938;1990;1990;1990;3;4;0;0;0;5;1;L260035;1938;1944;1999;x
Lindley Lopez;260036;PRU;1946;1950;1990;1990;2;4;0;1;0;4;1;L260036;1946;1960;1999;x
Mendoza Urribe;260037;PRU;1941;1990;1990;1990;3;4;1024;0;0;5;1;L260037;1941;1960;1999;x
Navarreté la Prúel;260038;PRU;1940;1944;1990;1990;2;5;8192;1;0;5;1;L260038;1940;1947;1999;x
Nieto;260039;PRU;1930;1990;1990;1990;3;4;0;0;0;5;1;L260039;1930;1940;1999;x
Patiño Cruzatti;260040;PRU;1938;1943;1990;1990;3;5;8192;1;0;4;1;L260040;1938;1946;1999;x
Poncé Diaz;260041;PRU;1943;1990;1990;1990;3;4;0;0;0;3;1;L260041;1943;1960;1999;x
Roque Saldias;260042;PRU;1930;1930;1941;1990;1;5;0;2;0;3;1;L260042;1930;1945;1999;x
Scroth;260043;PRU;1945;1990;1990;1990;3;5;0;0;0;4;1;L260043;1945;1960;1999;x
Abelardo Quiñonés;260044;PRU;1938;1990;1990;1990;3;5;0;0;0;5;2;L260044;1938;1943;1999;x
Benites Luna;260045;PRU;1945;1990;1990;1990;3;4;0;0;0;5;2;L260045;1945;1960;1999;x
Campodonico;260046;PRU;1939;1941;1990;1990;2;5;0;1;0;5;2;L260046;1939;1946;1999;x
de Beaudiez;260047;PRU;1930;1930;1990;1990;2;6;0;1;0;5;2;L260047;1930;1939;1999;x
Lopez Flores;260048;PRU;1940;1990;1990;1990;3;5;0;0;0;2;2;L260048;1940;1960;1999;x
Navarreté la Prúel;260049;PRU;1940;1944;1990;1990;2;4;131072;1;0;5;2;L260049;1940;1947;1999;x
Polo Jimenez;260050;PRU;1930;1990;1990;1990;3;6;65536;0;0;5;2;L260050;1930;1938;1999;x
Quesada Blanco;260051;PRU;1941;1945;1990;1990;3;5;32768;2;0;3;2;L260051;1941;1960;1999;x
Secada Vigneta;260052;PRU;1930;1990;1990;1990;3;4;4096;0;0;5;2;L260052;1930;1940;1999;x
Solano Ermendíaz;260053;PRU;1938;1943;1990;1990;3;5;16384;1;0;5;2;L260053;1938;1960;1999;x
Revoredo Iglesias;260054;PRU;1937;1945;1990;1990;2;6;131072;2;0;5;2;M39142;1937;1960;1999;x
