Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alano;430000;PHI;1938;1990;1990;1990;3;3;1;0;0;5;0;L430000;1938;1942;1999;x
Arellano;430001;PHI;1940;1945;1990;1990;2;3;4;1;0;4;0;L430001;1940;1960;1999;x
Capinpin;430002;PHI;1930;1930;1930;1990;1;4;32;1;0;5;0;L430002;1930;1942;1999;x
Castañeda;430003;PHI;1944;1990;1990;1990;3;3;32;0;0;4;0;L430003;1944;1960;1999;x
de Jesús;430004;PHI;1930;1930;1938;1990;1;5;20;2;0;4;0;L430004;1930;1944;1999;x
Delos Reyes;430005;PHI;1942;1944;1990;1990;2;3;128;1;0;3;0;L430005;1942;1944;1999;x
Dizon;430006;PHI;1945;1990;1990;1990;3;3;0;0;0;4;0;L430006;1945;1960;1999;x
Duque;430007;PHI;1940;1990;1990;1990;3;3;2;0;0;5;0;L430007;1940;1942;1999;x
Ebuen;430008;PHI;1944;1946;1990;1990;2;3;16;1;0;5;0;L430008;1944;1960;1999;x
Evangelista;430009;PHI;1930;1990;1990;1990;3;3;128;0;0;5;0;L430009;1930;1942;1999;x
Francisco;430010;PHI;1930;1930;1990;1990;2;3;0;0;0;5;0;L430010;1930;1942;1999;x
Jalandoni;430011;PHI;1945;1990;1990;1990;3;4;4;0;0;5;0;L430011;1945;1960;1999;x
Jurado;430012;PHI;1946;1990;1990;1990;3;3;0;0;0;5;0;L430012;1946;1960;1999;x
Lim;430013;PHI;1930;1943;1990;1990;2;3;1;1;0;5;0;L430013;1930;1946;1999;x
Molina;430014;PHI;1943;1990;1990;1990;3;3;0;0;0;5;0;L430014;1943;1945;1999;x
Montemayor;430015;PHI;1930;1990;1990;1990;3;3;0;0;0;5;0;L430015;1930;1943;1999;x
Picar;430016;PHI;1943;1990;1990;1990;3;3;0;0;0;5;0;L430016;1943;1960;1999;x
Quezon;430017;PHI;1930;1930;1930;1990;1;3;0;0;0;5;0;L430017;1930;1942;1999;x
Santos;430018;PHI;1941;1944;1990;1990;2;3;0;0;0;5;0;L430018;1941;1960;1999;x
Segundo;430019;PHI;1938;1990;1990;1990;3;3;256;0;0;5;0;L430019;1938;1942;1999;x
Tan;430020;PHI;1943;1945;1946;1990;1;4;2;2;0;5;0;L430020;1943;1960;1999;x
Valdez;430021;PHI;1930;1990;1990;1990;3;3;2;0;0;3;0;L430021;1930;1942;1999;x
Vargas;430022;PHI;1942;1945;1990;1990;2;3;256;1;0;5;0;L430022;1942;1960;1999;x
Victoria;430023;PHI;1943;1990;1990;1990;3;3;4;0;0;4;0;L430023;1943;1947;1999;x
Alcaraz;430024;PHI;1930;1990;1990;1990;3;4;0;0;0;5;1;L430024;1930;1942;1999;x
Andrada;430025;PHI;1939;1990;1990;1990;3;3;0;0;0;5;1;L430025;1939;1944;1999;x
Apolinario;430026;PHI;1930;1990;1990;1990;3;3;0;0;0;5;1;L430026;1930;1942;1999;x
Garcia;430027;PHI;1943;1947;1990;1990;3;4;0;1;0;5;1;L430027;1943;1960;1999;x
Jurado;430028;PHI;1930;1990;1990;1990;3;3;0;0;0;5;1;L430028;1930;1941;1999;x
Mata;430029;PHI;1944;1990;1990;1990;3;3;0;0;0;4;1;L430029;1944;1960;1999;x
Nuval;430030;PHI;1940;1945;1990;1990;2;4;0;1;0;4;1;L430030;1940;1960;1999;x
Orobia;430031;PHI;1930;1939;1990;1990;2;3;1024;0;0;2;1;L430031;1930;1942;1999;x
Papa;430032;PHI;1942;1945;1990;1990;2;4;0;1;0;4;1;L430032;1942;1960;1999;x
Andrews;430033;PHI;1942;1944;1990;1990;2;4;0;1;0;3;2;L430033;1942;1960;1999;x
Basa;430034;PHI;1930;1990;1990;1990;3;3;0;0;0;5;2;L430034;1930;1942;1999;x
Cruz;430035;PHI;1940;1944;1990;1990;2;3;4096;1;0;5;2;L430035;1940;1960;1999;x
Garcia;430036;PHI;1945;1990;1990;1990;3;3;8192;0;0;5;2;L430036;1945;1960;1999;x
Gil;430037;PHI;1930;1990;1990;1990;3;3;0;0;0;3;2;L430037;1930;1941;1999;x
Mata;430038;PHI;1944;1990;1990;1990;3;3;0;0;0;4;2;L430038;1944;1960;1999;x
Pestana;430039;PHI;1930;1990;1990;1990;3;3;0;0;0;5;2;L430039;1930;1941;1999;x
Rancudi;430040;PHI;1938;1942;1990;1990;2;4;0;1;0;4;2;L430040;1938;1946;1999;x
Rogers;430041;PHI;1943;1990;1990;1990;3;3;0;0;0;3;2;L430041;1943;1960;1999;x
Villamor;430042;PHI;1930;1990;1990;1990;3;3;131072;0;0;5;2;L430042;1930;1942;1999;x
Wainwright;430044;PHI;1930;1930;1990;1990;2;5;1;1;0;5;0;L60359;1930;1942;1999;x
