Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Pepelyaev;527000;PRI;1930;1930;1930;1990;1;6;4;2;0;5;0;kai_Anatoly Pepelyaev;1925;1960;1999;x
Stark;527001;PRI;1930;1930;1930;1990;1;8;0;3;0;5;1;Starkkai;1925;1950;1999;x
Baranovsky;527002;PRI;1930;1930;1990;1990;2;6;1;2;0;5;0;Baranovsky;1925;1948;1999;x
Khanzhin;527003;PRI;1930;1930;1930;1990;1;6;580;2;0;5;0;Khanzhin;1925;1946;1999;x
Matkovsky A.F.;527004;PRI;1930;1950;1990;1990;3;6;516;2;0;5;0;Matkovsky;1925;1943;1999;x
Sakharov;527005;PRI;1930;1930;1950;1990;2;5;40;2;0;5;0;Sakharov;1925;1947;1999;x
Gulidov;527006;PRI;1930;1990;1990;1990;3;7;2;2;0;5;0;Gulidov;1925;1943;1999;x
Sychev;527007;PRI;1930;1990;1990;1990;3;6;512;2;0;5;0;Sychev;1925;1939;1999;x
Kokorev;527008;PRI;1930;1930;1990;1990;2;4;0;0;0;5;0;L527008;1925;1960;1999;x
Petrov P.P.;527009;PRI;1930;1940;1990;1990;2;7;1;3;0;5;0;Petrov;1925;1950;1999;x
Tolstov;527010;PRI;1930;1930;1990;1990;2;6;0;2;0;5;0;Tolstov;1925;1960;1999;x
Panov;527011;PRI;1930;1930;1930;1990;1;5;1;1;0;5;0;M527040;1925;1960;1999;x
Platov;527012;PRI;1930;1990;1990;1990;3;5;1;0;0;5;0;L527012;1925;1960;1999;x
Raskolnikov;527013;PRI;1930;1990;1990;1990;3;5;9;0;0;5;0;L527013;1925;1960;1999;x
Shahurin;527014;PRI;1930;1990;1990;1990;3;5;32;0;0;5;0;L527014;1925;1960;1999;x
Shakht;527015;PRI;1930;1940;1990;1990;2;5;0;1;0;5;0;L527015;1925;1960;1999;x
Shalimov;527016;PRI;1930;1942;1990;1990;2;5;16;1;0;5;0;M527035;1925;1960;1999;x
Shanin;527017;PRI;1930;1990;1990;1990;3;4;256;1;0;5;0;L527017;1925;1960;1999;x
Shardakov;527018;PRI;1930;1990;1990;1990;3;4;128;0;0;5;0;L527018;1925;1960;1999;x
Burlin;527019;PRI;1930;1990;1990;1990;3;5;513;2;0;5;0;Burlin;1925;1945;1999;x
Shein;527020;PRI;1943;1990;1990;1990;3;5;8;0;0;5;0;M527039;1943;1970;1999;x
Shestak;527021;PRI;1930;1930;1990;1990;2;5;4;0;0;5;0;L527021;1925;1960;1999;x
Shestopalov;527022;PRI;1930;1990;1990;1990;3;4;9;0;0;5;0;L527022;1925;1960;1999;x
Shimansky;527023;PRI;1930;1930;1990;1990;2;5;0;0;0;5;0;M527008;1925;1960;1999;x
Shipov;527024;PRI;1930;1944;1990;1990;2;5;64;1;0;5;0;M527007;1925;1960;1999;x
Shiryaev;527025;PRI;1930;1990;1990;1990;3;5;2;0;0;5;0;M527036;1925;1960;1999;x
Shishov;527026;PRI;1930;1941;1990;1990;2;5;8;1;0;5;0;L527026;1925;1960;1999;x
Shulgin;527027;PRI;1930;1943;1990;1990;2;5;128;1;0;5;0;L527027;1925;1960;1999;x
Shutt;527028;PRI;1930;1930;1990;1990;2;4;256;1;0;5;0;M527010;1925;1960;1999;x
Shvetsov;527029;PRI;1930;1990;1990;1990;3;5;0;0;0;5;0;L527029;1925;1960;1999;x
Terentev;527030;PRI;1930;1930;1990;1990;2;5;16;0;0;5;0;L527030;1925;1960;1999;x
Tretyak;527031;PRI;1930;1930;1990;1990;2;5;2;0;0;5;0;M527038;1925;1960;1999;x
Trubachev;527032;PRI;1930;1930;1930;1990;1;5;1;1;0;5;0;L527032;1925;1960;1999;x
Volsky;527033;PRI;1930;1930;1990;1990;2;5;513;1;0;5;0;L527033;1925;1960;1999;x
Rozanov;527034;PRI;1930;1930;1990;1990;2;6;512;3;0;5;0;Rozanov;1925;1938;1999;x
Vysoitsky;527035;PRI;1930;1930;1990;1990;2;5;16;0;0;5;0;M527037;1925;1960;1999;x
