Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Álvarez Alegría;3000;SPR;1930;1941;1990;1990;3;5;128;1;0;5;0;L3000;1930;1960;1999;x
Álvarez Santiago;3001;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3001;1937;1940;1999;x
Aranguren Roldán;3002;SPR;1930;1930;1990;1990;2;4;0;0;0;5;0;L3002;1930;1939;1999;x
Ascaso Abadía;3003;SPR;1930;1990;1990;1990;3;4;272;0;0;4;0;L3003;1930;1980;1999;x
Asensio Torrado;3004;SPR;1930;1937;1939;1990;2;5;0;2;0;3;0;L3004;1930;1960;1999;x
Barceló Jover;3005;SPR;1930;1930;1990;1990;3;4;0;0;0;4;0;L3005;1930;1939;1999;x
Batov;3007;SPR;1930;1937;1990;1990;2;6;128;1;0;4;0;L3007;1930;1960;1999;x
Beldarrain Olalde;3008;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3008;1930;1938;1999;x
Beltran;3009;SPR;1930;1990;1990;1990;3;3;0;0;0;5;0;L3009;1930;1939;1999;x
Burillo Sthole;3010;SPR;1930;1937;1990;1990;3;5;1;1;0;5;0;L3010;1930;1939;1999;x
Casado López;3011;SPR;1930;1938;1990;1990;3;5;4;1;0;2;0;L3011;1930;1960;1999;x
Castelló Manzano;3012;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3012;1937;1940;1999;x
Castelló Pantoja;3013;SPR;1930;1930;1941;1990;2;6;2;1;0;5;0;L3013;1930;1960;1999;x
Castro Delgado;3014;SPR;1930;1990;1990;1990;3;3;0;0;0;4;0;L3014;1930;1938;1999;x
Centaño de la Paz;3015;SPR;1930;1990;1990;1990;3;4;64;0;0;1;0;L3015;1930;1938;1999;x
Contreras;3016;SPR;1930;1990;1990;1990;3;4;0;0;0;4;0;L3016;1930;1939;1999;x
Cordón García;3018;SPR;1930;1937;1990;1990;2;6;4;1;0;5;0;L3018;1930;1960;1999;x
Coronel Hans;3019;SPR;1937;1990;1990;1990;3;5;1;2;0;4;0;L3019;1937;1939;1999;x
de Lezama;3020;SPR;1937;1990;1990;1990;3;4;260;0;0;5;0;L3020;1937;1960;1999;x
del Barrio Navarra;3021;SPR;1937;1990;1990;1990;3;3;0;0;0;5;0;L3021;1937;1939;1999;x
Doran;3022;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3022;1930;1939;1999;x
Durán Martínez;3023;SPR;1930;1990;1990;1990;3;5;4;0;0;5;0;L3023;1930;1944;1999;x
Durruti Dumange;3024;SPR;1930;1990;1990;1990;3;5;272;0;0;4;0;L3024;1930;1960;1999;x
El Campesino;3026;SPR;1930;1939;1990;1990;3;5;0;1;0;4;0;L3026;1930;1960;1999;x
Escobar Huertas;3027;SPR;1930;1930;1938;1990;2;4;1;1;0;5;0;L3027;1930;1940;1999;x
Escofet Alsina;3028;SPR;1937;1990;1990;1990;3;3;0;0;0;3;0;L3028;1937;1939;1999;x
Estrada Manchon;3029;SPR;1930;1930;1990;1990;2;5;2;0;0;4;0;L3029;1930;1937;1999;x
Fernández de Villa;3030;SPR;1930;1930;1938;1990;1;4;514;1;0;5;0;L3030;1930;1938;1999;x
Fernández Osorio y Tafall;3031;SPR;1930;1990;1990;1990;3;3;0;0;0;5;0;L3031;1930;1939;1999;x
Galán Rodríguez  F.;3032;SPR;1930;1990;1990;1990;3;4;8;0;0;5;0;L3032;1930;1943;1999;x
Galán Rodriguez  J.M.;3033;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3033;1930;1960;1999;x
Gallo;3241;SPR;1930;1990;1990;1990;3;0;0;0;0;3;0;L3034;1930;1939;1999;x
Gamir Ulibarri;3035;SPR;1930;1930;1941;1990;2;5;0;1;0;5;0;L3035;1930;1960;1999;x
García Gómez Caminero;3036;SPR;1930;1930;1930;1990;1;6;513;1;0;5;0;L3036;1930;1938;1999;x
Generale Goméz;3038;SPR;1937;1990;1990;1990;3;6;0;1;0;3;0;L3038;1937;1939;1999;x
Gimenéz Orge;3039;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3039;1930;1960;1999;x
Gómez Morato;3040;SPR;1930;1930;1930;1990;1;5;0;1;0;5;0;L3040;1930;1960;1999;x
Guarner Vivancos;3041;SPR;1930;1937;1990;1990;3;5;0;1;0;5;0;L3041;1930;1960;1999;x
Hernández Sarabia;3042;SPR;1930;1930;1938;1990;2;6;64;1;0;5;0;L3042;1930;1960;1999;x
Herrera Linares;3043;SPR;1930;1937;1990;1990;3;5;32;1;0;5;0;L3043;1930;1960;1999;x
Jover Cortés;3044;SPR;1930;1990;1990;1990;3;3;16;0;0;5;0;L3044;1930;1943;1999;x
Jurado Barrio;3045;SPR;1930;1930;1938;1990;2;5;64;1;0;5;0;L3045;1930;1960;1999;x
Kléber;3046;SPR;1930;1990;1990;1990;3;5;0;0;0;5;0;L3046;1930;1938;1999;x
Líster Forján;3048;SPR;1930;1939;1990;1990;3;7;22;2;0;5;0;L3048;1930;1960;1999;x
Llano de la Encomienda;3049;SPR;1930;1938;1990;1990;2;5;2;1;0;5;0;L3049;1930;1960;1999;x
Lukacz;3050;SPR;1930;1990;1990;1990;3;6;17;1;0;5;0;L3050;1930;1960;1999;x
Mangada Rosehorn;3051;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3051;1930;1946;1999;x
Martín Alonso;3052;SPR;1930;1990;1990;1990;3;5;0;0;0;5;0;L3052;1930;1943;1999;x
Martínez Cabrera;3053;SPR;1930;1930;1938;1990;2;5;1;1;0;5;0;L3053;1930;1939;1999;x
Martínez Cartón;3054;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3054;1937;1960;1999;x
Martínez de Aragón;3055;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3055;1930;1937;1999;x
Martínez Monje;3056;SPR;1930;1938;1990;1990;2;4;0;1;0;5;0;L3056;1930;1960;1999;x
Masquelet Lacaci;3057;SPR;1930;1930;1990;1990;2;6;608;1;0;5;0;L3057;1930;1948;1999;x
Matallana Gómez;3058;SPR;1930;1938;1990;1990;3;5;32;1;0;5;0;L3058;1930;1960;1999;x
Mateo Merino;3059;SPR;1938;1943;1946;1990;3;6;0;2;0;5;0;L3059;1938;1960;1999;x
Melero Blanco;3060;SPR;1937;1942;1990;1990;3;5;0;1;0;5;0;L3060;1937;1960;1999;x
Mena Roig;3061;SPR;1930;1990;1990;1990;3;5;2;0;0;5;0;L3061;1930;1946;1999;x
Menéndez Lopez;3062;SPR;1937;1942;1990;1990;3;5;0;1;0;5;0;L3062;1937;1960;1999;x
Mera Sanz;3063;SPR;1938;1990;1990;1990;3;5;16;0;0;5;0;L3063;1938;1942;1999;x
Miaja Menant;3065;SPR;1930;1930;1930;1938;0;8;3;4;0;5;0;L3065;1930;1945;1999;x
Mije;3066;SPR;1930;1937;1990;1990;2;5;0;1;0;5;0;L3066;1930;1938;1999;x
Modesto Guilloto León;3067;SPR;1938;1939;1990;1990;3;5;0;1;0;5;0;L3067;1938;1960;1999;x
Molero Lobo;3068;SPR;1930;1930;1940;1990;1;5;0;2;0;5;0;L3068;1930;1947;1999;x
Orge Jímenez;3069;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3069;1930;1960;1999;x
Ortega Gutiérrez;3070;SPR;1930;1990;1990;1990;3;5;256;1;0;5;0;L3070;1930;1945;1999;x
Ortíz Ramirez;3071;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3071;1930;1939;1999;x
Perea Capulino;3072;SPR;1937;1990;1990;1990;3;5;2;0;0;5;0;L3072;1937;1960;1999;x
Pérez Farrás;3073;SPR;1938;1942;1990;1990;3;5;0;1;0;5;0;L3073;1938;1960;1999;x
Pozas Perea;3075;SPR;1930;1937;1942;1990;2;6;3;2;0;5;0;L3075;1930;1946;1999;x
