Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Dukhonin;500000;RUS;1930;1930;1960;1990;1;6;514;2;0;5;0;Dukhonin;1930;1960;1999;x
Lokhvitski;500847;RUS;1930;1930;1990;1990;2;5;514;2;0;0;0;Kaiserreich Lokhvitski;1930;1990;1999;x
Alekseev;500001;RUS;1930;1930;1930;1990;1;6;522;2;0;5;0;L500001;1930;1940;1999;x
Barbovich;500002;RUS;1930;1990;1990;1990;3;4;128;2;0;5;0;L500002;1930;1960;1999;x
Annenkov;500003;RUS;1930;1940;1990;1990;2;7;256;3;0;5;0;Annenkov;1930;1970;1999;x
Slaschev;500004;RUS;1930;1940;1945;1990;1;8;64;3;0;5;0;Slaschev;1930;1970;1999;x
Bogaevsky;500006;RUS;1930;1930;1990;1990;2;3;128;2;0;5;0;L500006;1930;1960;1999;x
Daskevych;500007;RUS;1930;1990;1990;1990;3;4;256;2;0;5;0;L500007;1930;1960;1999;x
Erdeli;500008;RUS;1930;1930;1930;1930;0;6;5;2;0;5;0;Erdeli;1930;1960;1999;x
Denikin;500009;RUS;1930;1930;1930;1930;1;6;520;3;0;5;0;L500009;1930;1942;1999;x
Dragomirov;500010;RUS;1930;1930;1930;1990;1;4;514;1;0;5;0;L500010;1930;1948;1999;x
Drozdovski;500011;RUS;1930;1930;1939;1943;1;6;128;3;0;5;0;L500011;1930;1960;1999;x
Erogin;500012;RUS;1930;1941;1990;1990;2;3;4;1;0;5;0;L500015;1930;1960;1999;x
Shilling;500013;RUS;1930;1942;1960;1990;1;6;4;2;0;5;0;Shilling;1930;1970;1999;x
May-Maevsky;500014;RUS;1930;1930;1930;1990;1;6;512;2;0;5;0;May-Maevsky;1930;1955;1999;x
Fomin;500015;RUS;1930;1990;1990;1990;3;4;1;2;0;5;0;L9936;1930;1960;1999;x
Buzun;500016;RUS;1930;1945;1960;1990;1;8;128;2;0;5;0;Buzun;1930;1970;1999;x
Glazenap;500017;RUS;1930;1930;1990;1990;2;4;520;1;0;5;0;L500020;1930;1943;1999;x
Kazanovich;500018;RUS;1930;1930;1960;1990;1;6;32;2;0;5;0;Kazanovich;1930;1955;1999;x
Bredov;500019;RUS;1930;1930;1930;1990;1;7;256;2;0;5;0;Bredov;1930;1970;1999;x
Harzevsky;500020;RUS;1930;1942;1990;1990;3;4;128;1;0;5;0;L500024;1930;1960;1999;x
E.I.V. Kyrill;500021;RUS;1930;1930;1990;1990;0;2;0;0;0;5;0;L500026;1930;1960;1999;x
Ionov;500022;RUS;1930;1990;1990;1990;3;4;256;1;0;5;0;L500027;1930;1960;1999;x
Irchakin;500023;RUS;1930;1942;1990;1990;2;4;256;2;0;5;0;L500028;1930;1960;1999;x
Ivanrin;500024;RUS;1930;1939;1990;1990;3;5;4;1;0;5;0;L500029;1930;1960;1999;x
Kaledin;500025;RUS;1930;1938;1943;1990;1;5;8;2;0;5;0;L500030;1930;1948;1999;x
Kalinovski;500026;RUS;1930;1930;1942;1990;2;5;8;2;0;5;0;L9991;1960;1980;1999;x
Kaminski;500027;RUS;1930;1939;1990;1990;2;3;0;1;0;5;0;L9993;1960;1980;1999;x
Kazhurgin;500028;RUS;1930;1939;1990;1990;2;3;8;1;0;5;0;L500035;1930;1960;1999;x
Keller;500029;RUS;1930;1930;1941;1990;2;6;256;2;0;5;0;L500036;1930;1946;1999;x
Kirienko;500030;RUS;1930;1941;1990;1990;3;4;8;1;0;5;0;L500039;1930;1960;1999;x
Kolbyakin;500031;RUS;1930;1941;1990;1990;2;4;64;1;0;5;0;L500041;1930;1960;1999;x
Nepenin;500032;RUS;1930;1940;1990;1990;3;6;1;3;0;5;0;Nepenin;1930;1970;1999;x
Promtov;500033;RUS;1930;1930;1945;1990;2;8;0;2;0;5;0;Promtov;1930;1970;1999;x
Shteifon;500034;RUS;1930;1945;1960;1990;3;7;0;2;0;5;0;Shteifon;1930;1970;1999;x
Kornilov;500035;RUS;1930;1930;1930;1930;0;7;33554945;3;0;5;0;L500046;1930;1960;1999;x
Plyuschevsky;500036;RUS;1930;1945;1960;1990;3;8;4;3;0;5;0;Plyuschevsky;1930;1970;1999;x
Kuravets;500037;RUS;1930;1939;1990;1990;2;4;0;1;0;5;0;L500049;1930;1960;1999;x
Kutepov;500038;RUS;1930;1930;1942;1990;2;5;256;2;0;5;0;L500050;1930;1960;1999;x
Ryasnyansky;500039;RUS;1930;1945;1950;1990;2;7;128;2;0;5;0;Ryasnyansky;1930;1970;1999;x
Levitov;500040;RUS;1930;1943;1990;1990;3;5;128;1;0;5;0;L500053;1930;1960;1999;x
