Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ahmad;566000;SAR;1945;1990;1990;1990;3;3;16;0;0;5;0;L566000;1945;1960;1999;x
de Windt Brooke;566001;SAR;1930;1930;1930;1930;0;3;1;1;0;5;0;M566001;1930;1946;1999;x
Hussein;566002;SAR;1938;1943;1990;1990;2;3;0;0;0;5;0;M566017;1938;1960;1999;x
Idris;566003;SAR;1944;1990;1990;1990;3;3;32;0;0;5;0;L566003;1944;1960;1999;x
McTaggerty;566004;SAR;1930;1990;1990;1990;3;4;64;0;0;5;0;L566004;1930;1960;1999;x
Moffatt;566005;SAR;1930;1939;1990;1990;2;4;128;1;0;5;0;M566007;1930;1960;1999;x
Osbourne;566006;SAR;1930;1990;1990;1990;3;5;4;0;0;5;0;L566006;1930;1945;1999;x
Roget;566007;SAR;1939;1990;1990;1990;3;4;2;0;0;5;0;L566007;1939;1960;1999;x
Rosier;566008;SAR;1939;1942;1990;1990;2;4;0;1;0;5;0;L566008;1939;1960;1999;x
Saifuddin;566009;SAR;1945;1990;1990;1990;3;3;0;0;0;5;0;L566009;1945;1960;1999;x
Smith;566010;SAR;1938;1990;1990;1990;3;4;256;0;0;5;0;L566010;1938;1960;1999;x
ul-Zaman;566011;SAR;1938;1941;1945;1990;1;4;1;2;0;5;0;M566018;1938;1960;1999;x
Wellesley;566012;SAR;1930;1930;1940;1990;1;4;4;0;0;5;0;M566008;1930;1946;1999;x
Evans;566013;SAR;1930;1930;1990;1990;2;5;2048;0;0;5;1;M566009;1930;1960;1999;x
Muhammed;566014;SAR;1939;1945;1990;1990;3;3;4096;1;0;5;1;M566019;1939;1960;1999;x
Ahmed;566015;SAR;1938;1943;1990;1990;2;3;131072;1;0;5;2;M566020;1938;1960;1999;x
Barrington;566016;SAR;1930;1938;1990;1990;2;4;32768;1;0;5;2;M566010;1930;1960;1999;x
Jones;566017;SAR;1930;1990;1990;1990;3;4;16384;0;0;5;2;L566017;1930;1960;1999;x
Sayed;566018;SAR;1941;1990;1990;1990;3;3;4096;0;0;5;2;L566018;1941;1960;1999;x
