Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bartos;70000;SLO;1930;1930;1942;1990;2;5;0;1;0;5;0;L70000;1930;1960;1999;x
Bláha;70001;SLO;1930;1930;1944;1990;2;4;0;1;0;3;0;L70001;1930;1960;1999;x
Catlos;70002;SLO;1930;1930;1930;1930;0;5;0;2;0;5;0;L70002;1930;1960;1999;x
Eminger;70003;SLO;1930;1990;1990;1990;3;4;1;0;0;4;0;L70003;1930;1960;1999;x
Golian;70004;SLO;1930;1930;1930;1990;1;5;4;1;0;3;0;L70004;1930;1960;1999;x
Gruber;70005;SLO;1945;1947;1990;1990;3;6;0;1;0;3;0;L70005;1945;1960;1999;x
Jurech;70006;SLO;1930;1930;1943;1990;2;5;128;1;0;3;0;L70006;1930;1960;1999;x
Kubela;70007;SLO;1930;1945;1990;1990;3;5;0;1;0;4;0;L70007;1930;1960;1999;x
Kuna;70008;SLO;1944;1990;1990;1990;3;5;128;0;0;5;0;L70008;1944;1960;1999;x
Lendvay;70009;SLO;1941;1945;1990;1990;3;4;0;1;0;4;0;L70009;1941;1960;1999;x
Malar;70010;SLO;1930;1930;1944;1990;2;6;0;2;0;5;0;L70010;1930;1960;1999;x
Pilfousek;70011;SLO;1938;1990;1990;1990;3;6;0;0;0;4;0;L70011;1938;1960;1999;x
Rychtrmoc;70012;SLO;1930;1930;1990;1990;2;5;0;0;0;5;0;L70012;1930;1960;1999;x
Sidor;70013;SLO;1941;1990;1990;1990;3;4;0;0;0;5;0;L70013;1941;1960;1999;x
Stefanik;70014;SLO;1930;1930;1930;1930;1;6;1;2;0;5;0;L70014;1930;1944;1999;x
Svoboda;70015;SLO;1944;1945;1946;1947;1;7;4;3;0;5;0;L70015;1944;1960;1999;x
Turanec;70016;SLO;1930;1942;1990;1990;3;6;128;2;0;4;0;L70016;1930;1960;1999;x
Kubela;70017;SLO;1930;1945;1990;1990;2;5;0;0;0;4;1;L70017;1939;1960;1999;x
Lendvay;70018;SLO;1941;1990;1990;1990;3;4;0;0;0;4;1;L70018;1941;1960;1999;x
Hanovac;70019;SLO;1939;1990;1990;1990;3;4;0;0;0;5;2;L70019;1939;1960;1999;x
Kovarik;70020;SLO;1930;1990;1990;1990;3;5;0;0;0;5;2;L70020;1930;1944;1999;x
Kukacsza;70021;SLO;1945;1990;1990;1990;3;4;0;0;0;5;2;L70021;1945;1960;1999;x
Mezlar;70022;SLO;1945;1990;1990;1990;3;4;0;0;0;5;2;L70022;1945;1960;1999;x
Pulanick;70023;SLO;1930;1930;1990;1990;2;5;0;0;0;4;2;L70023;1930;1960;1999;x
Reznak;70024;SLO;1940;1990;1990;1990;3;4;4096;0;0;4;2;L70024;1940;1960;1999;x
Snejdarek;70025;SLO;1930;1930;1930;1990;1;6;516;1;0;5;0;L70025;1930;1960;1999;x
Sadek;70026;SLO;1945;1990;1990;1990;3;6;16;0;0;5;0;L70026;1945;1960;1999;x
Nosko;70027;SLO;1945;1945;1990;1990;2;5;4;1;0;5;0;L70027;1945;1960;1999;x
Hassik;70028;SLO;1930;1945;1990;1990;2;4;0;1;0;5;0;L70028;1936;1960;1999;x
Smik;70029;SLO;1930;1945;1990;1990;2;5;8192;0;0;5;2;L70029;1936;1960;1999;x
Ondrejovic;70030;SLO;1930;1950;1990;1990;2;6;0;0;0;5;0;L70030;1936;1960;1999;x
Cyprich;70031;SLO;1930;1939;1990;1990;1;5;16384;2;0;5;2;L70031;1936;1960;1999;x
Markus;70032;SLO;1930;1939;1990;1990;1;7;4;2;0;5;0;L70032;1936;1960;1999;x
Zelenak;70033;SLO;1930;1939;1990;1990;2;4;0;1;0;5;2;L70033;1936;1960;1999;x
Bozík;70034;SLO;1930;1950;1990;1990;1;6;0;1;0;5;2;L70034;1936;1960;1999;x
Ferjencík;70035;SLO;1930;1946;1990;1990;2;5;0;3;0;5;0;L70035;1936;1960;1999;x
Nalepka;70036;SLO;1930;1946;1990;1990;2;6;272;0;0;5;0;L70036;1936;1960;1999;x
Perko;70037;SLO;1930;1946;1990;1990;3;7;0;2;0;5;0;L70037;1936;1960;1999;x
Reiková;70038;SLO;1930;1954;1990;1990;2;4;32;1;0;5;0;L70038;1936;1960;1999;x
Usiak;70039;SLO;1930;1954;1990;1990;1;5;0;1;0;5;0;L70039;1936;1960;1999;x
Zingor;70040;SLO;1930;1954;1990;1990;1;5;8;1;0;5;0;L70040;1936;1960;1999;x
